rank,cihui,pinyin,mismatch_parsed,invalid_parsed,has_subdefs
85339,虚辞,xūcí,False,False,False
85515,梢公,shāogōng,False,True,False
85627,启衅,qǐxìn,False,True,False
86104,答茬儿,dāchár,False,True,False
86376,钻劲儿,zuānjìnr,False,True,False
86556,玳玳花,dàidàihuā,False,True,False
86881,慑伏,shèfú,False,True,False
87305,妆束,zhuāngshù,False,True,False
87315,拧劲儿,nìngjìnr,False,True,False
87510,伏帖,fútiē,False,False,False
87821,妄下雌黄,wàngxià-cíhuáng,False,False,False
87970,苕帚,tiáozhou,False,True,False
88052,鸠合,jiūhé,False,True,False
88194,於戏,wūhū,False,True,False
88448,相似形,xiāngsìxíng,False,True,False
88633,黔驴之技,qiánlǘzhījì,False,False,False
88903,重趼,chóngjiǎn,False,False,False
89045,蜚短流长,fēiduǎn-liúcháng,False,True,False
89219,崇论闳议,chónglùn-hóngyì,False,True,False
89370,倢伃,jiéyú,False,True,False
89944,杂遝,zátà,False,True,False
