rank,hanzi,pinyin,mismatch_parsed,invalid_parsed,has_subdefs,raw_html
5510,菔,fú,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>菔</x-hw><x-pr> fú</x-pr>
<dt>见“<a href=""entry://莱菔"" type=""see"">莱（lái）菔</a>”<x-f>。</x-f>
"
5539,螬,cáo,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>螬</x-hw><x-pr> cáo</x-pr>
<dt>见“<a href=""x-dictionary:r:000B144:com.apple.dictionary.zh_CN.SDCC#xpointer(//*[@id='000B146'])"" title=""蛴"" type=""see"">蛴（qí）螬</a>”<x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>统读 cáo，不读 zāo<x-f>。</x-f></t-note>
"
5541,樨,xī,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>樨</x-hw><x-pr> xī</x-pr>
<dt>见“<a href=""entry://木樨"" type=""see"">木樨（xi）</a>”<x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>统读 xī，不读 xū<x-f>。</x-f></t-note>
"
5550,稣,sū,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>稣</x-hw><x-pr> sū</x-pr>（穌）
<dt><x-sn>①</x-sn>同 “苏3”<x-f>。</x-f>现在一般写作“苏”<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl2>○</sbl2>见“<a href=entry://耶稣"" type=""see"">耶稣（yēsū）</a>”<x-f>。</x-f>
"
5556,橼,yuán,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>橼</x-hw><x-pr> yuán</x-pr>（櫞）
<dt>见“<a href=""x-dictionary:r:0007A5C:com.apple.dictionary.zh_CN.SDCC#xpointer(//*[@id='0007A5D'])"" title=""枸"" type=""see"">枸（jǔ）橼</a>”<x-f>。</x-f>
"
5592,跶,da,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>跶</x-hw><x-pr> da</x-pr>（躂）<br>见“蹦跶”<x-f>。</x-f>
"
5595,碡,zhou,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>碡</x-hw><x-pr> zhou</x-pr>
<dt>见“<a href=""x-dictionary:r:00091C4:com.apple.dictionary.zh_CN.SDCC#xpointer(//*[@id='00091C6'])"" title=""碌"" type=""see"">碌（liù）碡</a>”<x-f>。</x-f>
"
5619,肭,nà,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>肭</x-hw><x-pr> nà</x-pr>
<dt>见“<a href=""entry://腽肭"" type=""see"">腽（wà）肭</a>”<x-f>。</x-f>
"
5654,蠊,lián,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>蠊</x-hw><x-pr> lián</x-pr>
<dt>见“<a href=""x-dictionary:r:0004119:com.apple.dictionary.zh_CN.SDCC#xpointer(//*[@id='000411A'])"" title=""蜚"" type=""see"">蜚（fěi）蠊</a>”<x-f>。</x-f>
"
5657,鹕,hú,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>鹕</x-hw><x-pr> hú</x-pr>（鶘）
<dt>见“<a href=""x-dictionary:r:000DE26:com.apple.dictionary.zh_CN.SDCC#xpointer(//*[@id='000DE28'])"" title=""鹈"" type=""see"">鹈（tí）鹕</a>”<x-f>。</x-f>
"
