rank,hanzi,pinyin,mismatch_parsed,invalid_parsed,has_subdefs
3504,麽,mó,False,False,False
3507,唔,wú,False,True,False
3519,摺,zhé,False,False,False
3573,摒,bìng,False,False,False
3610,苓,líng,False,False,False
3612,啕,táo,False,False,False
3621,惚,hū,False,False,False
3643,躇,chú,False,False,False
3659,痫,xián,False,False,False
3681,斓,lán,False,False,False
3683,忑,tè,False,False,False
3701,芷,zhǐ,False,False,False
3741,竺,zhú,False,False,False
3748,恿,yǒng,False,False,False
3759,儡,lěi,False,False,False
3771,遢,tā,False,False,False
3776,觎,yú,False,False,False
3795,馀,yú,False,True,False
3814,唷,yāo,False,True,False
3844,娑,suō,False,False,False
3851,蔺,lìn,False,False,False
3885,萸,yú,False,False,False
3904,氲,yūn,False,True,False
3915,咤,zhà,False,True,False
3945,蒡,bàng,False,True,False
3959,珀,pò,False,False,False
3969,滢,yíng,False,False,False
3971,蓿,xu,False,False,False
3980,豉,chǐ,False,False,False
3995,槿,jǐn,False,False,False
4003,臾,yú,False,False,False
4023,獗,jué,False,False,False
4088,篌,hóu,False,False,False
4115,敖,áo,False,False,False
4133,傥,tǎng,False,False,False
4159,啷,lāng,False,False,False
4161,猁,lì,False,False,False
4162,妤,yú,False,False,False
4165,逅,hòu,False,False,False
4216,榈,lǘ,False,False,False
4230,闵,mǐn,False,False,False
4248,魉,liǎng,False,True,False
4256,礴,bó,False,False,False
4276,楂,chá,False,True,False
4279,胱,guāng,False,False,False
4288,醐,hú,False,False,False
4296,鹂,lí,False,False,False
4298,娌,lǐ,False,True,False
4299,裟,shā,False,False,False
4333,蜊,lí,False,True,False
4380,螂,láng,False,True,False
4417,徉,yáng,False,False,False
4419,鸠,jiū,False,True,False
4444,龊,chuò,False,False,False
4458,鸪,gū,False,False,False
4474,跹,xiān,False,False,False
4475,苷,gān,False,False,False
4477,圄,yǔ,False,False,False
4485,阪,bǎn,False,False,False
4504,珞,luò,False,False,False
4507,疸,da,False,True,False
4552,蔻,kòu,False,False,False
4557,娲,wā,False,False,False
4561,琶,pá,False,False,False
4575,芪,qí,False,True,False
4581,蟮,shàn,False,False,False
4596,咛,níng,False,True,False
4599,缈,miǎo,False,False,False
4603,耦,ǒu,False,False,False
4607,鳟,zūn,False,False,False
4619,苒,rǎn,False,False,False
4622,轾,zhì,False,True,False
4631,杷,pá,False,True,False
4633,逦,lǐ,False,False,False
4640,腩,nǎn,False,False,False
4649,忻,xīn,False,False,False
4672,亍,chù,False,False,False
4677,窕,tiǎo,False,False,False
4693,狳,yú,False,False,False
4697,掇,duō,False,False,False
4711,聍,níng,False,False,False
4727,垅,lǒng,False,False,False
4745,蕤,ruí,False,False,False
4754,蜢,měng,False,False,False
4791,峋,xún,False,True,False
4842,旎,nǐ,False,True,False
4848,蹰,chú,False,True,False
4865,崟,yín,False,False,False
4868,蚧,jiè,False,False,False
4876,旯,lá,False,True,False
4881,蝣,yóu,False,False,False
4921,膑,bìn,False,False,False
4929,哳,zhā,False,True,False
4932,崃,lái,False,False,False
4944,瑁,mào,False,False,False
4955,稞,kē,False,True,False
4973,鹚,cí,False,False,False
4978,檗,bò,False,False,False
4992,荽,suī,False,False,False
5019,酐,gān,False,False,False
5023,鍪,móu,False,True,False
5026,佗,tuó,False,False,False
5036,窣,sū,False,True,False
5054,乩,jī,False,False,False
5055,轳,lú,False,False,False
5069,髅,lóu,False,False,False
5075,茆,máo,False,False,False
5086,犸,mǎ,False,True,False
5098,顼,xū,False,False,False
5120,蘅,héng,False,False,False
5126,貅,xiū,False,False,False
5151,孓,jué,False,False,False
5173,螅,xī,False,True,False
5189,萏,dàn,False,True,False
5207,劂,jué,False,False,False
5215,魆,xū,False,False,False
5239,蛄,gǔ,False,True,False
5247,螋,sōu,False,False,False
5248,椤,luó,False,True,False
5257,芏,dù,False,False,False
5278,鹋,miáo,False,False,False
5293,埚,guō,False,False,False
5294,蝥,máo,False,False,False
5331,蟥,huáng,False,False,False
5334,褛,lǚ,False,False,False
5352,薷,rú,False,False,False
5365,龉,yǔ,False,False,False
5375,鹩,liáo,False,False,False
5388,檎,qín,False,True,False
5405,裢,lián,False,False,False
5412,颥,rú,False,False,False
5439,魈,xiāo,False,False,False
5471,苈,lì,False,False,False
5489,铘,yé,False,False,False
