rank,hanzi,pinyin,mismatch_parsed,invalid_parsed,has_subdefs
1481,莉,lì,False,True,False
1789,璃,lí,False,False,False
1876,萄,táo,False,False,False
1913,圾,jī,False,False,False
2245,斌,bīn,False,False,False
2326,谭,tán,False,False,False
2509,尬,gà,False,True,False
2542,蓉,róng,False,False,False
2590,咐,fù,False,False,False
2591,匈,xiōng,False,True,False
2631,丙,bǐng,False,False,False
2819,凰,huáng,False,True,False
2864,榄,lǎn,False,False,False
2927,肪,fáng,False,False,False
2943,钮,niǔ,False,False,False
2946,徊,huái,False,False,False
3070,嗦,suō,False,False,False
3089,咙,lóng,False,False,False
3123,痪,huàn,False,False,False
3213,鹃,juān,False,True,False
3261,瑙,nǎo,False,False,False
3274,蝠,fú,False,False,False
3293,檬,méng,False,True,False
3333,湃,pài,False,False,False
3334,悴,cuì,False,False,False
3338,蟆,má,False,True,False
3340,狈,bèi,False,False,False
3347,皿,mǐn,False,False,False
3396,雳,lì,False,False,False
3397,俐,lì,False,False,False
3404,蹋,tà,False,False,False
3424,鸯,yāng,False,True,False
3426,鹉,wǔ,False,False,False
3430,岖,qū,False,True,False
3440,窿,lóng,False,False,False
3456,蜓,tíng,False,False,False
3463,躏,lìn,False,False,False
3471,蟀,shuài,False,False,False
3492,蚪,dǒu,False,False,False
3495,蚣,gōng,False,False,False
