rank,hanzi,pinyin,mismatch_parsed,invalid_parsed,has_subdefs,raw_html
3504,麽,mó,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>麽</x-hw><x-pr> mó</x-pr>
<dt><x-sn>①</x-sn>见“<a href=""entry://幺麽"" type=""see"">幺（yāo）麽</a>”<x-f>。</x-f>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-gram>名</x-gram>姓<x-f>。</x-f></dt>
<dt>另见 me“<a href=""entry://么"" type=""seealso"">么</a>”<x-f>。</x-f>
"
3507,唔,wú,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>唔</x-hw><x-pr> wú</x-pr><br>见“<a href=""entry://咿唔"" type=""see"">咿（yī）唔</a>”<x-f>。</x-f>
"
3519,摺,zhé,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>摺</x-hw><x-pr> zhé</x-pr>
<dt>同 “折”<x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>“摺”简化为“折”，但在“摺”和“折”意义可能混淆时，《简化字总表》规定仍用“摺”<x-f>。</x-f></t-note>另见 zhé“折”<x-f>。</x-f>
"
3573,摒,bìng,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>摒</x-hw><x-pr> bìng</x-pr>
<dt>义同“屏（bǐng）”①<x-f>。</x-f></dt><t-note><x-lb>用法说明</x-lb>“摒除” “摒弃”跟“屏（bǐng）除” “屏（bǐng）弃”同义，因为“摒” “屏”都有“排除”义；但“屏声” “屏息”不能写作“摒声” “摒息”，因为“摒”无“抑止”义<x-f>。</x-f></t-note>
"
3610,苓,líng,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>苓</x-hw><x-pr> líng</x-pr>
<dt><x-sn>①</x-sn>见“<a href=""x-dictionary:r:00044D2:com.apple.dictionary.zh_CN.SDCC#xpointer(//*[@id='00044D3'])"" title=""茯"" type=""see"">茯（fú）苓</a>”<x-f>。</x-f>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-gram>名</x-gram>姓<x-f>。</x-f></dt><t-note><x-lb>用法说明</x-lb>跟“芩（qín）”不同<x-f>。</x-f></t-note>
"
3612,啕,táo,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>啕</x-hw><x-pr> táo</x-pr>
<dt>见“<a href=""entry://号啕"" type=""see"">号（háo）啕</a>”<x-f>。</x-f>
"
3621,惚,hū,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>惚</x-hw><x-pr> hū</x-pr>
<dt>见“<a href=""entry://恍惚"" type=""see"">恍惚</a>”<x-f>。</x-f>
"
3643,躇,chú,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>躇</x-hw><x-pr> chú</x-pr>
<dt>见“<a href=""entry://踌躇"" type=""see"">踌（chóu）躇</a>”<x-f>。</x-f>
"
3659,痫,xián,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>痫</x-hw><x-pr> xián</x-pr>（癇）
<dt>见“<a href=""entry://癫痫"" type=""see"">癫（diān）痫</a>”<x-f>。</x-f>
"
3681,斓,lán,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>斓</x-hw><x-pr> lán</x-pr>（斕）
<dt>见“<a href=""entry://斑斓"" type=""see"">斑斓</a>”<x-f>。</x-f>
"
3683,忑,tè,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>忑</x-hw><x-pr> tè</x-pr>
<dt>见“<a href=""x-dictionary:r:000DB6A:com.apple.dictionary.zh_CN.SDCC#xpointer(//*[@id='000DB6B'])"" title=""忐"" type=""see"">忐（tǎn）忑</a>”<x-f>。</x-f>
"
3701,芷,zhǐ,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>芷</x-hw><x-pr> zhǐ</x-pr>
<dt><x-sn>①</x-sn>见“<a href=""entry://白芷"" type=""see"">白芷</a>”<x-f>。</x-f>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-gram>名</x-gram>姓<x-f>。</x-f></dt>
"
3741,竺,zhú,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>竺</x-hw><x-pr> zhú</x-pr>
<dt><x-sn>①</x-sn>见“<a href=""entry://天竺"" type=""see"">天竺</a>”<x-f>。</x-f>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-gram>名</x-gram>姓<x-f>。</x-f></dt>
"
3748,恿,yǒng,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>恿</x-hw><x-pr> yǒng</x-pr>（*慂*惥）
<dt>见“<a href=""x-dictionary:r:000D73B:com.apple.dictionary.zh_CN.SDCC#xpointer(//*[@id='000D73D'])"" title=""怂"" type=""see"">怂（sǒng）恿</a>”<x-f>。</x-f>
"
3759,儡,lěi,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>儡</x-hw><x-pr> lěi</x-pr>
<dt>见“<a href=""entry://傀儡"" type=""see"">傀（kuǐ）儡</a>”<x-f>。</x-f>
"
3771,遢,tā,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>遢</x-hw><x-pr> tā</x-pr>
<dt>见“<a href=""x-dictionary:r:000857B:com.apple.dictionary.zh_CN.SDCC#xpointer(//*[@id='000857C'])"" title=""邋"" type=""see"">邋遢（lāta）</a>”<x-f>。</x-f>
"
3776,觎,yú,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>觎</x-hw><x-pr> yú</x-pr>（覦）
<dt>见“<a href=""entry://觊觎"" type=""see"">觊（jì）觎</a>”<x-f>。</x-f>
"
