rank,cihui,pinyin,mismatch_parsed,invalid_parsed,has_subdefs
80412,一枕黄粱,yīzhěn-huángliáng,False,False,False
80500,大概齐,dàgàiqí,False,True,False
80801,趼子,jiǎnzi,False,True,False
80968,纸煤,zhǐméi,False,False,False
80977,蚂蜂,mǎfēng,False,True,False
81464,磨不开,mòbukāi,False,True,False
81901,竦然,sǒngrán,False,True,False
82276,形旁,xíngpáng,False,False,False
82770,砂包,shābāo,False,True,False
82995,嗤溜,chīliū,False,True,False
83230,澹然,dànrán,False,True,False
83266,跳踉,tiàoliáng,False,True,False
83315,警省,jǐngxǐng,False,False,False
83523,璧还,bìhuán,False,False,False
83619,熟石膏,shúshígāo,False,False,False
83704,钉书机,dìngshūjī,False,True,False
84103,伥鬼,chāngguǐ,False,False,False
84415,澈底,chèdǐ,False,True,False
84722,蓝盈盈,lányíngyíng,False,True,False
84930,铫子,diàozi,False,True,False
84940,梓里,zǐlǐ,False,False,False
