hanzi,unicode_codepoint,gif_filename
愎,24846,24846.gif
意,24847,24847.gif
愕,24853,24853.gif
愚,24858,24858.gif
感,24863,24863.gif
愠,24864,24864.gif
愣,24867,24867.gif
愤,24868,24868.gif
愧,24871,24871.gif
愫,24875,24875.gif
愿,24895,24895.gif
慈,24904,24904.gif
慌,24908,24908.gif
慎,24910,24910.gif
慑,24913,24913.gif
慕,24917,24917.gif
慢,24930,24930.gif
慧,24935,24935.gif
慨,24936,24936.gif
慰,24944,24944.gif
慵,24949,24949.gif
慷,24951,24951.gif
憋,24971,24971.gif
憎,24974,24974.gif
憔,24980,24980.gif
憧,24999,24999.gif
憨,25000,25000.gif
憩,25001,25001.gif
憬,25004,25004.gif
憾,25022,25022.gif
懂,25026,25026.gif
懈,25032,25032.gif
懊,25034,25034.gif
懑,25041,25041.gif
懒,25042,25042.gif
懦,25062,25062.gif
懵,25077,25077.gif
戈,25096,25096.gif
戊,25098,25098.gif
戌,25100,25100.gif
戍,25101,25101.gif
戎,25102,25102.gif
戏,25103,25103.gif
成,25104,25104.gif
我,25105,25105.gif
戒,25106,25106.gif
戕,25109,25109.gif
或,25110,25110.gif
戗,25111,25111.gif
战,25112,25112.gif
戚,25114,25114.gif
戛,25115,25115.gif
戟,25119,25119.gif
戡,25121,25121.gif
截,25130,25130.gif
戮,25134,25134.gif
戳,25139,25139.gif
戴,25140,25140.gif
户,25143,25143.gif
戾,25150,25150.gif
房,25151,25151.gif
所,25152,25152.gif
扁,25153,25153.gif
扇,25159,25159.gif
扈,25160,25160.gif
扉,25161,25161.gif
手,25163,25163.gif
才,25165,25165.gif
扎,25166,25166.gif
扑,25169,25169.gif
扒,25170,25170.gif
打,25171,25171.gif
扔,25172,25172.gif
托,25176,25176.gif
扛,25179,25179.gif
扣,25187,25187.gif
扦,25190,25190.gif
执,25191,25191.gif
扩,25193,25193.gif
扪,25194,25194.gif
扫,25195,25195.gif
扬,25196,25196.gif
扭,25197,25197.gif
扮,25198,25198.gif
扯,25199,25199.gif
扰,25200,25200.gif
扳,25203,25203.gif
扶,25206,25206.gif
批,25209,25209.gif
扼,25212,25212.gif
找,25214,25214.gif
承,25215,25215.gif
技,25216,25216.gif
抄,25220,25220.gif
抉,25225,25225.gif
把,25226,25226.gif
抑,25233,25233.gif
抒,25234,25234.gif
