rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,new_sn
45034,1,扳手,bānshou,,,名,用来拧紧或旋松螺钉、螺母等的工具,,1
45034,2,扳手,bānshou,,,名,器具上供用手扳动的部分,,2
45061,2,爬升,páshēng,,,动,泛指上升,原油价格持续爬升。,1
45061,1,爬升,páshēng,,,动,（飞行器）向上飞,飞机在继续爬升｜垂直爬升,2
45061,3,爬升,páshēng,,,动,比喻升职（多含贬义）,他爬升得很快,3
45066,1,蜗居,wōjū,,,名,像蜗牛壳那样的居室。谦称自己窄小的住所,躲进蜗居，以书为伴。,1
45066,2,蜗居,wōjū,,,动,像蜗牛那样居住（在窄小的房子里）,蜗居于斗室,2
45077,1,比例尺,bǐlìchǐ,,,名,地图、机械图等图上长度与它所表示的实际长度之比。有数字比例尺和直线比例尺等,,1
45077,2,比例尺,bǐlìchǐ,,,名,一种制图工具。其刻度按长度单位缩小或放大若干倍后刻成。常见的是三棱比例尺,,2
45106,2,讣告,fùgào,,,名,报告丧事的通知,刊登讣告,1
45106,1,讣告,fùgào,,,动,〈文〉报告丧事,特此讣告,2
45108,2,空余,kòngyú,,,形,剩余的；闲置的,时间很空余｜空余设备,1
45108,1,空余,kòngyú,,,动,剩余；空着没有被利用,空余半小时做习题。,2
45153,1,厮混,sīhùn,,,动,苟且相处；鬼混,不许你和他们厮混。,1
45153,2,厮混,sīhùn,,,动,混杂,严禁把盗版书和正版书厮混在一起出售。,2
45169,2,行令,xínglìng,,,动,行酒令,喝酒行令,1
45169,1,行令,xínglìng,,,动,发布命令,政府行令,2
45207,1,老脸,lǎoliǎn,,,名,老年人的面子,你把我这老脸都给丢尽了｜他连老脸也不要了。,1
45207,2,老脸,lǎoliǎn,,,名,厚脸皮,,2
45242,1,竞渡,jìngdù,,,动,比赛划船,龙舟竞渡,1
45242,2,竞渡,jìngdù,,,动,比赛游泳渡过江河湖泊,万名健儿竞渡长江。,2
45246,1,发狠,fāhěn,,,动,下狠心；横下心来,他一发狠，用多年的积蓄买了一台电脑。,1
45246,2,发狠,fāhěn,,,动,发怒；生气,她正发狠呢，你可别再火上浇油。,2
45279,1,绵软,miánruǎn,,,形,柔软,金丝绒手感绵软,1
45279,2,绵软,miánruǎn,,,形,（身体）软弱无力,浑身绵软,2
45292,1,风花雪月,fēng-huā-xuě-yuè,,,,原指古典文学作品中常描写的四种美好的自然景象；后多借指词藻华丽而内容空泛、格调低下的诗文,风花雪月，无病呻吟。,-1
45292,2,风花雪月,fēng-huā-xuě-yuè,,,,借指男女情爱方面的事,,-1
45325,1,外家,wàijiā,,,名,外祖父母家,,1
45325,2,外家,wàijiā,,,名,旧指有妻男子在别处纳妾所组成的家庭,,2
45325,3,外家,wàijiā,,,名,跟有妻男子非法成家的女子是该男子的外家,,3
45355,2,羊皮纸,yángpízhǐ,,,名,像羊皮一样的又厚又结实的纸。能防水、防油，多用于包装,,1
45355,1,羊皮纸,yángpízhǐ,,,名,羊皮制成的纸样的薄片，欧洲中世纪用于书写重要文件,,2
45366,2,清规戒律,qīngguī-jièlǜ,,,,泛指繁琐的规章制度,,1
45366,1,清规戒律,qīngguī-jièlǜ,,,,佛教、道教等要求信徒必须遵守的规则和戒条,,2
45369,1,吞吃,tūnchī,,,动,【吞】不经咀嚼或细嚼，整个地往下咽,蛇吞吃老鼠,1
45369,2,吞吃,tūnchī,,,动,【吞没】侵吞；私占,吞吃粮款,2
45379,1,回环,huíhuán,,,动,反复循环,世事回环,1
45379,2,回环,huíhuán,,,动,环绕,长廊回环,2
45379,3,回环,huíhuán,,,名,修辞手法，通过词语的循环往复使用，表达两种事物相互制约或彼此依存的关系。如“人人为我，我为人人”,,3
45383,1,贫嘴,pínzuǐ,,,形,爱说不得体的玩笑话或废话,贫嘴不等于幽默｜贫嘴薄舌,1
45383,2,贫嘴,pínzuǐ,,,名,贫嘴的人,,2
45400,1,影壁,yǐngbì,,,名,大门内或屏门内对房屋院落起屏蔽作用的墙壁（也有木制的，可以移动）,,1
45400,2,影壁,yǐngbì,,,名,照壁,,2
45400,3,影壁,yǐngbì,,,名,有浮雕的墙壁，是壁塑艺术的一种,,3
45419,1,复音,fùyīn,,,名,由许多纯音组成的声音。一般乐器发出的声音都是复音,,1
45419,2,复音,fùyīn,,,名,回复的信息,,2
45447,2,连写,liánxiě,,,动,指用汉语拼音字母给普通话的复音词注音时，两个或两个以上音节连起来书写。如“guójiā（国家）”、“jiāotōngxiàn（交通线）”,,1
45447,1,连写,liánxiě,,,动,写字时笔画连续不断,草书讲究连写,2
