rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,new_sn
40033,1,脊梁骨,jǐlianggǔ,,,名,脊柱,,1
40033,2,脊梁骨,jǐlianggǔ,,,名,比喻志气、骨气等,做人要有脊梁骨,2
40033,3,脊梁骨,jǐlianggǔ,,,名,比喻事物的关键部分或支撑事物的中坚力量,这条路是全市公路网的脊梁骨｜他是咱们村的脊梁骨。,3
40070,1,树桩,shùzhuāng,,,名,树墩,,1
40070,2,树桩,shùzhuāng,,,名,可以做盆景的粗矮的根木,,2
40081,1,补益,bǔyì,,,名,益处；好处,植树造林，对改善环境大有补益。,1
40081,2,补益,bǔyì,,,动,使产生或得到益处,补益后人｜补益社会,2
40090,1,细软,xìruǎn,,,形,纤细柔软,一头细软的秀发,1
40090,2,细软,xìruǎn,,,名,指贵重而又便于携带的珠宝、绸帛等,,2
40138,2,宵夜,xiāoyè,,,名,夜宵,吃宵夜,1
40138,1,宵夜,xiāoyè,,,名,〈文〉夜间,,2
40151,1,是味儿,shìwèir,,,形,味道纯正；地道,这个菜烧得是味儿。,1
40151,2,是味儿,shìwèir,,,形,心里感到舒服,心里挺不是味儿,2
40158,1,查检,chájiǎn,,,动,查阅检索（书报、档案等）,按音序查检比较方便。,1
40158,2,查检,chájiǎn,,,动,检查,登机前要查检随身带的物品。,2
40160,2,盆栽,pénzāi,,,名,借指盆栽的花木,,1
40160,1,盆栽,pénzāi,,,动,用花盆栽培,,2
40181,1,传家宝,chuánjiābǎo,,,名,家庭里代代相传的珍贵物品,这部善本书是他家的传家宝。,1
40181,2,传家宝,chuánjiābǎo,,,名,比喻传承下来的好传统、好作风等,勤俭是我们的传家宝。,2
40200,1,偏瘫,piāntān,,,名,半边身体瘫痪的病症，多由脑部疾病引起,,1
40200,2,偏瘫,piāntān,,,动,患偏瘫,,2
40202,1,留宿,liúsù,,,动,留客人住宿,主人诚恳留宿，我们就住下了。,1
40202,2,留宿,liúsù,,,动,留下来住宿,,2
40213,1,童稚,tóngzhì,,,名,〈文〉儿童；小孩,三尺童稚｜童稚无邪,1
40213,2,童稚,tóngzhì,,,形,幼稚,他的脸显得非常童稚。,2
40219,2,夯土,hāngtǔ,,,名,夯实的土,,1
40219,1,夯土,hāngtǔ,,,动,用夯把土砸实,夯土筑墙,2
40222,1,打鬼,dǎguǐ,,,动,迷信指驱逐妖邪,为了打鬼，借助钟馗。,1
40222,2,打鬼,dǎguǐ,,,动,藏传佛教举行的一种仪式，僧人扮天神以驱逐邪魔,,2
40232,1,挑子,tiāozi,,,名,扁担和它两头所挑的东西,一副挑子,1
40232,2,挑子,tiāozi,,,量,【挑】用于成挑儿的东西,挑着一挑子白菜,2
40238,1,铁环,tiěhuán,,,名,小的铁圈,大门上装有一对铁环。,1
40238,2,铁环,tiěhuán,,,名,一种玩具，细铁条制成的环，直径约50厘米，用特制的铁钩推着向前滚动,,2
40261,1,短平快,duǎn-píng-kuài,,,,排球的一种快攻打法。二传手传出弧度小、速度快的球后，扣球手在相距两米左右处，迅速跃起并扣出高速、平射的过网球,,1
40261,2,短平快,duǎn-píng-kuài,,,,比喻建设项目投资少，周期短，见效快,短平快工程｜短平快科研课题,2
40269,1,男孩儿,nánháir,,,名,男性小孩子；现也泛指青少年男性,,1
40269,2,男孩儿,nánháir,,,名,儿子,,2
40283,2,沙盘,shāpán,,,名,在木盘上用泥沙堆成的地形模型。军事上用来研究作战方案,,1
40283,1,沙盘,shāpán,,,名,盛着细沙的盘子，可用来在上面写字,,2
40291,2,重出,chóngchū,,,动,重新出现,重出江湖,1
40291,1,重出,chóngchū,,,动,重复出现（多指文字、文句）,删去重出的字句,2
