rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,new_sn
30001,1,蔗糖,zhètáng,,,名,有机化合物，白色结晶，有甜味。甘蔗和甜菜里含有丰富的蔗糖,,1
30001,2,蔗糖,zhètáng,,,名,特指用甘蔗汁熬成的糖,,2
30026,2,住家,zhùjiā,,,名,居民家庭,大院里有六七户住家。,1
30026,1,住家,zhùjiā,,,动,家住（某处）,他在城里住家,2
30045,2,寨子,zhàizi,,,名,【寨】四周有栅栏或围墙的村子；村子,,1
30045,1,寨子,zhàizi,,,名,防守用的栅栏、围墙,,2
30047,1,平年,píngnián,,,名,公历没有闰日（即2月只有28天）或农历没有闰月（即1年只有12个月）的年份,,1
30047,2,平年,píngnián,,,名,农业收成一般的年份（跟“丰年”、“歉年”相区别）,,2
30049,2,戛然,jiárán,,,形,形容声音突然停止,歌声戛然而止,1
30049,3,戛然,jiárán,,,动,事情突然停止,促销活动戛然而止。,2
30049,1,戛然,jiárán,,,形,形容鸟的叫声,戛然长鸣,3
30064,2,旱作,hànzuò,,,动,在旱地上种植,小麦适宜旱作,1
30064,1,旱作,hànzuò,,,名,旱地农作物的简称,,2
30069,2,娃子,wázi,,,名,某些地区对孩子的称呼,,1
30069,1,娃子,wázi,,,名,旧时我国西南凉山等地的少数民族对奴隶的称呼,,2
30074,2,湖光,húguāng,,,名,湖的景色,湖光山色,1
30074,1,湖光,húguāng,,,名,湖水闪烁的光芒,湖光闪闪,2
30087,1,灵验,língyàn,,,形,效应神奇,这药还真灵验，抹上就不疼了。,1
30087,2,灵验,língyàn,,,形,形容预言能够变成现实,算命先生的话并不灵验。,2
30106,1,剪辑,jiǎnjí,,,动,把拍摄完毕的镜头按创作构思的要求进行选择、剪裁、整理、组接、编排成结构完整的影片或电视片,,1
30106,2,剪辑,jiǎnjí,,,名,经过剪辑而成的作品,电影录音剪辑,2
30111,1,启蒙运动,qǐméng yùndòng,,,,指18世纪法国大革命前法国资产阶级进步思想家反对封建制度和宗教神学的思想革命运动。代表人物有伏尔泰、孟德斯鸠、卢梭、狄德罗等。在政治上主张开明专制或民主政体，为法国资产阶级革命作了舆论准备,,1
30111,2,启蒙运动,qǐméng yùndòng,,,,泛指通过宣传教育，使社会接受新事物而得到进步的运动,,2
30115,2,跟班,gēnbān,,,动,随同某一集体（劳动、学习等）,领导下车间跟班劳动。,1
30115,1,跟班,gēnbān,,,名,旧指跟随在官员身边供使唤的人,,2
30120,1,凋零,diāolíng,,,动,（草木）枯萎零落,秋风肃杀，草木凋零。,1
30120,2,凋零,diāolíng,,,动,凋敝,百业凋零,2
30135,2,满天飞,mǎntiānfēi,,,形,形容到处都是,广告满天飞,1
30135,1,满天飞,mǎntiānfēi,,,形,形容到处跑；到处传播,天南海北满天飞,2
30145,1,吊桥,diàoqiáo,,,名,桥面可以吊起或放下的桥。多建在通航的河道上或护城河上以及军事据点前面,,1
30145,2,吊桥,diàoqiáo,,,名,悬索桥,,2
30146,2,放炮,fàngpào,,,动,燃放爆竹,,1
30146,5,放炮,fàngpào,,,动,比喻发表抨击性的言论,要多听意见，不怕大家放炮。,2
30146,4,放炮,fàngpào,,,动,密闭充气的物体爆裂,轮胎放炮了,3
30146,3,放炮,fàngpào,,,动,点燃火药炸开土石等,打眼放炮,4
30146,1,放炮,fàngpào,,,动,发射炮弹,,5
30160,1,筒子,tǒngzi,,,名,筒状的东西,裤筒子｜塑料筒子,1
30160,2,筒子,tǒngzi,,,名,未经缝制的毛皮大衣或上衣的原料,羊皮筒子,2
30164,1,气短,qìduǎn,,,形,呼吸短促,登山感到有点儿气短。,1
30164,2,气短,qìduǎn,,,形,志气消沉,人穷不气短,2
30191,2,悠远,yōuyuǎn,,,形,（时间）久远,悠远的岁月,1
30191,1,悠远,yōuyuǎn,,,形,（距离）遥远,路途悠远,2
