rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,new_sn
85016,1,照面儿,zhàomiànr,,,名,短暂的碰面,打了个照面儿,1
85016,2,照面儿,zhàomiànr,,,动,露面,他三天没照面儿了。,2
85256,2,哑场,yǎchǎng,,,动,开会时没人发言或中断发言,领导一问，大家一下子哑了场。,1
85256,1,哑场,yǎchǎng,,,动,戏剧表演中突然中断一切声响,,2
85831,1,打蔫儿,dǎniānr,,,动,植物枝叶萎缩下垂,久旱无雨，树叶都打蔫儿了。,1
85831,2,打蔫儿,dǎniānr,,,动,比喻情绪低落，精神不振,小伙子别打蔫儿，吸取教训接着干。,2
85859,2,烟嘴儿,yānzuǐr,,,名,吸纸烟用的短管,,1
85859,1,烟嘴儿,yānzuǐr,,,名,烟袋上端嘴衔的部分,,2
86575,3,挨边儿,āibiānr,,,形,形容接近道理和实际,越扯越不挨边儿,1
86575,1,挨边儿,āibiānr,,,动,靠近边缘,挨边儿走,2
86575,2,挨边儿,āibiānr,,,动,接近（某数）,他80岁挨边儿了。,3
86839,2,宫扇,gōngshàn,,,名,团扇。古代宫中多用，故称,,1
86839,1,宫扇,gōngshàn,,,名,古时宫廷仪仗的一种，皇帝宝座后面交叉着的又叫障扇,,2
86866,2,玩儿票,wánrpiào,,,动,比喻做非本职的工作,这几年，他突然玩儿票搞起了文艺创作。,1
86866,1,玩儿票,wánrpiào,,,动,票友参加戏曲表演,,2
87020,1,蓄志,xùzhì,,,动,怀有某种志向或志愿,蓄志改革,1
87020,2,蓄志,xùzhì,,,名,怀有的某种志向或志愿,蓄志高远,2
87030,1,轻悠悠,qīngyōuyōu,,,形,形容轻轻飘动的样子,小船在水面上轻悠悠地漂荡。,1
87030,2,轻悠悠,qīngyōuyōu,,,形,（声音）轻柔悠扬,夜风中飘来轻悠悠的琴声。,2
87132,2,铺衬,pūchen,,,名,指做袼褙、打补丁用的旧布块儿,,1
87132,1,铺衬,pūchèn,,,动,铺垫衬托,有了次要人物的铺衬，主人公的形象更加突出。,2
87299,2,补假,bǔjià,,,动,该休假时因工作需要而未休假，过后补给假日,周末你去值班，过两天给你补假。,1
87299,1,补假,bǔjià,,,动,补办正式请假手续,走得太急，回来再补假。,2
87417,1,缺嘴,quēzuǐ,,,名,唇裂，一种先天畸形,,1
87417,2,缺嘴,quēzuǐ,,,动,指饮食在较长时间里得不到满足,伙食不好，孩子缺嘴得厉害。,2
87477,1,床帷,chuángwéi,,,名,床帐,,1
87477,2,床帷,chuángwéi,,,名,借指夫妇之间的性生活或男女私情,,2
87939,2,出份子,chūfènzi,,,,送礼金给办红白事的人家并参加庆贺或吊唁,,1
87939,1,出份子,chūfènzi,,,,集资送礼时，每人按一定份额出钱,小王结婚，全科的人出份子送给他一幅油画。,2
88004,1,挂累,guàlěi,,,动,心里牵挂,这件事总让他挂累着｜心里又多了一份挂累。,1
88004,2,挂累,guàlěi,,,动,连累,不可挂累无辜,2
88094,1,药捻子,yàoniǎnzi,,,名,用来点燃火药、爆竹的导火线,,1
88094,2,药捻子,yàoniǎnzi,,,名,带药的纱布条或纸捻。外科治疗时放入伤口或疮口内，以助提脓、消炎等,,2
88132,2,诈尸,zhàshī,,,动,指突然发出近乎疯狂的行为（骂人的话）,老实呆会儿吧，别在这儿诈尸了!,1
88132,1,诈尸,zhàshī,,,动,停放的尸体突然动起来。是由尚未完全死亡的局部神经痉挛所致,,2
88170,1,抢嘴,qiǎngzuǐ,,,动,抢着说话（多指不该说话的时候）,大人说话时，小孩子不要抢嘴。,1
88170,2,抢嘴,qiǎngzuǐ,,,动,抢着吃,赶走抢嘴的鸡,2
88245,1,瘠瘦,jíshòu,,,形,瘦削,瘠瘦的身影｜瘠瘦的面颊,1
88245,2,瘠瘦,jíshòu,,,形,不肥沃,这里土地瘠瘦，干旱少雨。,2
88433,1,本主儿,běnzhǔr,,,名,当事人,让本主儿谈谈事件的原委。,1
88433,2,本主儿,běnzhǔr,,,名,东西的原主,失物各归本主儿｜汽车本主儿已同意转让。,2
88672,1,下毛毛雨,xiàmáomaoyǔ,,,,落蒙蒙细雨,,1
88672,2,下毛毛雨,xiàmáomaoyǔ,,,,比喻进行轻微的批评；也比喻在开展某项工作前透露一点儿消息，让有关人员思想上有所准备,今天给大家下毛毛雨，后天再正式动员。,2
89020,1,刺溜,cīliū,,,拟声,模拟迅速滑动的声音,刺溜一下从旁边滑过去了。,1
89020,2,刺溜,cīliū,,,动,（脚底下）滑动,刺溜了个跟头,2
89429,1,衬领,chènlǐng,,,名,衬在领子里的材料,这种衬衫的衬领是硬的。,1
89429,2,衬领,chènlǐng,,,名,扣或缝在衣领内侧的活领子,,2
89619,1,全始全终,quánshǐ-quánzhōng,,,,善始善终,,1
89619,2,全始全终,quánshǐ-quánzhōng,,,,（做事）从头坚持到尾，有始有终,,2
89708,1,忙活,mánghuór,,,动,忙着活儿,我正忙活儿呢，没时间聊天儿,1
89708,2,忙活,mánghuór,,,名,需要赶快干的活儿,这是件忙活儿，今天一定得干完,2
89724,2,死劲儿,sǐjìnr,,,副,使出最大力量地；集中全部注意力地,死劲儿踢了他一脚｜死劲儿盯住他,1
89724,1,死劲儿,sǐjìnr,,,名,所能使出的最大力量,他拼死劲儿把落水者托出水面。,2
89748,1,倒插笔,dàochābǐ,,,动,写字不按照正确的笔顺写,,1
89748,2,倒插笔,dàochābǐ,,,动,倒叙,,2
