rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,new_sn
50011,2,诏令,zhàolìng,,,名,皇帝发布的命令,,1
50011,1,诏令,zhàolìng,,,动,皇帝发布命令,诏令天下,2
50012,1,隐逸,yǐnyì,,,动,隐居避世,隐逸山林,1
50012,2,隐逸,yǐnyì,,,名,隐居的人,山野隐逸，海滨遗老。,2
50023,2,包皮,bāopí,,,名,特指阴茎前部包着龟头的外皮,,1
50023,1,包皮,bāopí,,,名,包装的外皮,,2
50038,2,打算盘,dǎsuànpan,,,,盘算；打主意,处处打算盘为公家省钱。,1
50038,1,打算盘,dǎsuànpan,,,,拨打算盘珠子计算,,2
50081,1,漫灌,mànguàn,,,动,粗放的灌溉方法，即不筑畦埝，让水顺着地势自然流淌,,1
50081,2,漫灌,mànguàn,,,动,洪水流入（低洼地区）,县城曾两次被洪水漫灌。,2
50083,1,敬奉,jìngfèng,,,动,恭敬地供奉,敬奉神佛,1
50083,2,敬奉,jìngfèng,,,动,恭敬地进献,敬奉薄礼,2
50085,1,寥落,liáoluò,,,形,稀少零落,晨星寥落,1
50085,2,寥落,liáoluò,,,形,沉寂冷落,深夜，独步在寥落的小街上。,2
50092,2,进益,jìnyì,,,名,进项,,1
50092,1,进益,jìnyì,,,名,指学识、修养的提高,学识大有进益,2
50105,1,竖直,shùzhí,,,形,直立向上的,顺着竖直的烟囱向上爬。,1
50105,2,竖直,shùzhí,,,动,使垂直,,2
50122,2,同路人,tónglùrén,,,名,比喻在一定阶段或一定程度上目标相同的人,革命的同路人,1
50122,1,同路人,tónglùrén,,,名,一路同行的人,路途遥远，找了个同路人作伴儿。,2
50128,1,暗害,ànhài,,,动,耍阴谋陷害,被坏人暗害入狱,1
50128,2,暗害,ànhài,,,动,秘密杀害,惨遭暗害,2
50129,1,素净,sùjing,,,形,（颜色）淡雅,室内装修得很素净。,1
50129,2,素净,sùjing,,,形,（味道）清淡,老人爱吃素净一点儿的菜。,2
50150,2,腌菜,yāncài,,,名,腌制的蔬菜,端上四碟不同品种的腌菜。,1
50150,1,腌菜,yāncài,,,动,腌制蔬菜,,2
50187,1,虐杀,nüèshā,,,动,用残忍的手段杀害,绑匪虐杀人质,1
50187,2,虐杀,nüèshā,,,动,虐待致死,严禁虐杀野生动物。,2
50216,3,陪送,péisòng,,,动,结婚时娘家送给新娘嫁妆,娘家陪送了一台彩电。,1
50216,1,陪送,péisong,,,名,陪送的嫁妆,女儿出嫁时，没给太多的陪送。,2
50216,2,陪送,péisòng,,,动,陪伴护送,由两名工作人员陪送他到医院就诊。,3
50217,2,掌灯,zhǎngdēng,,,动,点灯,到了掌灯时分,1
50217,1,掌灯,zhǎngdēng,,,动,举着灯,掌灯细看,2
50220,1,试播,shìbō,,,动,电台、电视台新建或开设新的频道，在正式启用前进行试验性播放,,1
50220,2,试播,shìbō,,,动,新节目在小范围内试验性播放,,2
50220,3,试播,shìbō,,,动,小范围内试验性播种，以检验新种子或新播种方法的效果,,3
50258,1,合照,hézhào,,,动,一起照相,咱们合照一张吧,1
50258,2,合照,hézhào,,,名,一起照的相片,拍张合照,2
50264,2,改换门庭,gǎihuàn-méntíng,,,,比喻另择新主或另找依靠,,1
50264,1,改换门庭,gǎihuàn-méntíng,,,,改变、提高家庭的社会地位,,2
50268,2,伸腿,shēntuǐ,,,动,指人死亡（含谐谑意）,,1
50268,1,伸腿,shēntuǐ,,,动,插足；介入,哪里有利，他就往哪里伸腿。,2
50294,1,工休,gōngxiū,,,动,工作一段时间后休息,明天我工休,1
50294,2,工休,gōngxiū,,,名,工作一个阶段后的休息时间,利用工休植树造林。,2
50294,3,工休,gōngxiū,,,名,工间短暂的休息时间,利用工休10分钟开个碰头儿会。,3
50302,2,下装,xiàzhuāng,,,名,穿在下身的服装。如裤子、裙子等,,1
50302,1,下装,xiàzhuāng,,,动,卸装,,2
50311,1,章句,zhāngjù,,,名,古书的章节和句子,,1
50311,2,章句,zhāngjù,,,名,分章析句解说古书的训诂体式（多用于书名）,《楚辞章句》,2
50334,3,自立门户,zìlì-ménhù,,,,脱离合作或从属状态，单独经营,子公司已经自立门户，独立经营。,1
50334,1,自立门户,zìlì-ménhù,,,,离开父母，自己成立家庭，独立谋生,兄弟几个都自立门户了。,2
50334,2,自立门户,zìlì-ménhù,,,,在学术、技艺等方面自己另立新派,他很早就自立门户，创立了新流派。,3
50340,3,坯子,pīzi,,,名,比喻将来可能具有某种才能的人,他天生是个演员坯子。,1
50340,1,坯子,pīzi,,,名,【坯】用黏土、高岭土等原料加工成形，还没有入窑烧制的砖瓦、陶瓷等的半成品,砖坯子,2
50340,2,坯子,pīzi,,,名,【坯】泛指半成品,印章坯子｜钢印坯子,3
50347,1,尺码,chǐmǎ,,,名,尺寸,你穿多大尺码的鞋?,1
50347,2,尺码,chǐmǎ,,,名,指标准,不能用一个尺码去衡量所有的事物。,2
50377,2,说梦话,shuōmènghuà,,,,比喻说荒唐的、脱离实际的话,睁着眼睛说梦话,1
