rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,new_sn
35273,1,鹿角,lùjiǎo,,,名,鹿的角；特指雄性梅花鹿、马鹿等已骨化的角，可以做药材,,1
35273,2,鹿角,lùjiǎo,,,名,鹿寨,,2
35287,2,避风港,bìfēnggǎng,,,名,比喻可以躲避激烈斗争或麻烦的场所,他把医院当避风港。,1
35287,1,避风港,bìfēnggǎng,,,名,专供船舶躲避风暴的港湾,,2
35288,2,萧瑟,xiāosè,,,形,冷落凄凉,一片萧瑟的景象,1
35288,1,萧瑟,xiāosè,,,拟声,模拟风吹树木的声音,秋风萧瑟,2
35298,1,卷宗,juànzōng,,,名,案卷,,1
35298,2,卷宗,juànzōng,,,名,保存文件的特制纸夹子,,2
35300,1,历朝,lìcháo,,,名,以往各个朝代,历朝文物典章,1
35300,2,历朝,lìcháo,,,名,指同一朝代各个君主的在位时期,,2
35306,1,白文,báiwén,,,名,指有注解的古书的正文（不含注解）,白文用大字排印，注疏排双行小字。,1
35306,2,白文,báiwén,,,名,指只印正文而不印注解的古籍,,2
35306,3,白文,báiwén,,,名,指印章、碑碣上的阴文,,3
35318,2,队旗,duìqí,,,名,特指中国少年先锋队的旗帜，即绘有五角星加火炬的红旗,,1
35318,1,队旗,duìqí,,,名,以队命名的组织的旗帜,开赛前两队交换队旗。,2
35330,2,提携,tíxié,,,动,扶植；提拔,全靠你提携｜提携后进,1
35330,3,提携,tíxié,,,动,互相帮助,彼此提携,2
35330,1,提携,tíxié,,,动,搀扶；带领,提携幼儿,3
35346,1,寨主,zhàizhǔ,,,名,旧指聚居山林的强盗的首领,,1
35346,2,寨主,zhàizhǔ,,,名,旧指村寨首领,,2
35348,1,批注,pīzhù,,,动,加上批语或注释,边读边批注,1
35348,2,批注,pīzhù,,,名,批注的文字,书上写满了批注,2
35350,2,外带,wàidài,,,动,另外加上,他看大门，外带看车。,1
35350,1,外带,wàidài,,,名,外胎的通称,,2
35359,1,屠夫,túfū,,,名,以宰杀牲畜为业的人,,1
35359,2,屠夫,túfū,,,名,比喻残杀人民的人,,2
35364,2,棉絮,miánxù,,,名,用棉花絮成的棉衣、被褥等的胎,,1
35364,1,棉絮,miánxù,,,名,棉花的纤维,,2
35377,2,枪法,qiāngfǎ,,,名,使用长枪、长矛（古兵器，现均为武术器械）的技艺,,1
35377,1,枪法,qiāngfǎ,,,名,开枪射击的技能、技巧,他的枪法很准,2
35378,2,穿孔,chuānkǒng,,,动,打眼儿,利用激光穿孔,1
35378,1,穿孔,chuānkǒng,,,动,肠、胃等器官的壁因病变而出现孔洞,胃穿孔,2
35391,1,小教,xiǎojiào,,,名,小学教育,小教工作,1
35391,2,小教,xiǎojiào,,,名,小学教师,当了10年的小教。,2
35407,1,暗礁,ànjiāo,,,名,水面下的不容易发现的礁石，常成为航行的障碍,,1
35407,2,暗礁,ànjiāo,,,名,比喻潜藏的障碍或危险,要警惕前进道路上的暗礁。,2
35410,2,传票,chuánpiào,,,名,司法机关传唤有关人员到案的书面通知,,1
35410,1,传票,chuánpiào,,,名,会计工作中据以登记账目的凭证,,2
35416,2,兜风,dōufēng,,,动,（坐车、乘船或骑马等）绕圈子游逛,骑着摩托车四处兜风。,1
35416,1,兜风,dōufēng,,,动,（帆、篷、伞等）阻挡风,帐篷破了，不兜风。,2
35423,1,换手,huànshǒu,,,动,改用另一只手,换手投篮,1
35423,2,换手,huànshǒu,,,动,更换人手；特指变更股票、债券等的持有人,让他一个人干完，不要换手｜换手频频，成交量明显增大。,2
35427,2,专修,zhuānxiū,,,动,专门学习（某一学科）,专修英语｜专修班,1
35427,1,专修,zhuānxiū,,,动,专门修理,专修空调机,2
35446,2,话匣子,huàxiázi,,,名,比喻爱说话的人,你这个话匣子，说起话来没完没了。,1
35446,1,话匣子,huàxiázi,,,名,旧指留声机；后也指收音机,,2
35455,2,上色,shàngshǎi,,,动,涂上颜色,这家具没上色,1
35455,1,上色,shàngsè,,,形,上等（货物）,上色绸缎,2
35457,2,内耗,nèihào,,,名,比喻部门、单位因内部的矛盾和不协调而造成人力、物力方面的消耗,有些单位内耗严重，令人痛心。,1
35457,1,内耗,nèihào,,,名,机器或其他装置除对外做功需消耗能量外，由于自身振动等原因，还要损耗的一部分能量,,2
35464,1,安全系数,ānquán xìshù,,,,工程设计中用以反映结构安全程度的系数，即工程的受力部分实际能承受的力与容许承受的力之间的比值,,1
35464,2,安全系数,ānquán xìshù,,,,比喻做某事的安全可靠程度,安装“防火墙”可以提高电脑使用的安全系数。,2
35472,1,闹腾,nàoteng,,,动,吵嚷；喧闹,你们别闹腾了，真烦人!,1
35472,2,闹腾,nàoteng,,,动,逗趣儿打闹,几个年轻人又说又笑，闹腾了半天。,2
35472,3,闹腾,nàoteng,,,动,大家一起动手做,他们几个闹腾了一阵子，还真把厂子建起来了。,3
35517,2,应召,yìngzhào,,,动,响应号召,应召入伍｜应召回国,1
35517,1,应召,yìngzhào,,,动,接受召见,应召来到会客室,2
35525,2,群居,qúnjū,,,动,许多人聚在一起,喜欢独处，不爱群居。,1
35525,1,群居,qúnjū,,,动,原始社会的一种生活状态，人们按氏族成群地居住在一起,群居穴处,2
35540,1,软绵绵,ruǎnmiánmián,,,形,形容软软的样子,软绵绵的草地,1
35540,2,软绵绵,ruǎnmiánmián,,,形,形容身体软弱无力的样子,浑身软绵绵的，没有一点儿力气。,2
35540,3,软绵绵,ruǎnmiánmián,,,形,情意缠绵,软绵绵的话语,3
35541,1,杀毒,shādú,,,动,杀死病毒；消毒,紫外线能杀毒,1
35541,2,杀毒,shādú,,,动,用特殊软件检查并清除电子计算机中的病毒,杀毒软件,2
35547,2,财权,cáiquán,,,名,经济的支配权,企业的财权在董事长手里。,1
35547,1,财权,cáiquán,,,名,财产权,,2
35557,1,小户,xiǎohù,,,名,人口少的家庭,三口之家的小户,1
35557,2,小户,xiǎohù,,,名,旧指贫寒的人家,,2
35560,1,别针,biézhēn,,,名,用来把小而轻的布制品或纸制品固定在衣物上的针，弯曲成环状，有弹性，有针尖的一端可以自由开合,,1
35560,2,别针,biézhēn,,,名,别在衣领或胸襟上的饰物，多用金、银、玉石等制成,,2
35563,1,文辞,wéncí,,,名,指文章中遣词造句的情况,文辞鄙陋｜华美的文辞,1
35563,2,文辞,wéncí,,,名,借指文章,文辞与绘画兼长,2
35564,2,独步,dúbù,,,动,比喻在某一领域里超过所有的人,独步戏剧界,1
35564,1,独步,dúbù,,,动,独自一个人行走,独步街头,2
35568,1,奶头,nǎitóu,,,名,乳头,,1
35568,2,奶头,nǎitóu,,,名,奶嘴,,2
35572,1,殉葬,xùnzàng,,,动,陪葬；随同死者一起埋葬。远古时代除用器物殉葬外，还有用活人殉葬的野蛮风俗，后来逐渐改为以俑殉葬,,1
35572,2,殉葬,xùnzàng,,,动,比喻人甘愿随同已经没落或消亡的旧思想、旧制度、旧事物一起灭亡,,2
35580,1,花哨,huāshao,,,形,色彩艳丽,这么花哨的衣服我不敢穿。,1
35580,2,花哨,huāshao,,,形,变化大；样式多,鼓点打得真花哨,2
35605,2,试金石,shìjīnshí,,,名,比喻准确可靠的检测方法和依据,实践是检验真理的试金石。,1
35605,1,试金石,shìjīnshí,,,名,用来简单测定黄金纯度的黑色的、坚硬致密的硅质岩石。用黄金在上面画一条纹，根据纹路颜色的深浅可以目测黄金成色,,2
35606,1,插花,chāhuā,,,动,把各种花卉按照设计的造型插在花篮、花瓶里,,1
35606,2,插花,chāhuā,,,名,指花卉造型艺术,一门插花就够你学的。,2
35606,3,插花,chāhuā,,,动,交错；夹杂,别把两件事情插花着做。,3
35609,1,品第,pǐndì,,,动,评定等级和次序,,1
35609,2,品第,pǐndì,,,名,评定的等级和次序,,2
35613,1,晃荡,huàngdang,,,动,晃悠摆动,水面有风浪，小船直晃荡。,1
35613,2,晃荡,huàngdang,,,动,游逛；不干正事,你成天在街上晃荡，也不找点儿正事干。,2
35620,1,节余,jiéyú,,,动,节约使剩余,年终节余经费近千万元。,1
35620,2,节余,jiéyú,,,名,节余的财物,节余已存入银行,2
35621,2,游街,yóujiē,,,动,簇拥着英雄人物等在街上游行，以示表彰,戴朵大红花游街,1
35621,1,游街,yóujiē,,,动,押解犯罪分子或敌对分子等在街上游行，以示惩戒。我国现已废止这种做法,,2
35622,1,五毒,wǔdú,,,名,指蛇、蝎、蜈蚣、壁虎、蟾蜍等五种动物,,1
35622,2,五毒,wǔdú,,,名,1952年开展的“五反”运动中指资本家在经济活动中的五种违法行为,,2
35628,1,海螺,hǎiluó,,,名,软体动物，有硬壳，个儿比田螺大，生活在海洋中。壳可以做号角或工艺品。,,1
35628,2,海螺,hǎiluó,,,名,指海螺壳。,吹起海螺,2
35639,1,还礼,huánlǐ,,,动,向给自己敬礼的人敬礼，以示回敬,团长向战士还礼,1
35639,2,还礼,huánlǐ,,,动,回赠礼品,,2
35651,2,朱雀,zhūquè,,,名,二十八宿中南方七宿的统称,,1
35651,3,朱雀,zhūquè,,,名,道教称镇守南方的神,,2
35651,1,朱雀,zhūquè,,,名,鸟，形似麻雀，雄鸟多为红色，雌鸟橄榄褐色。生活在山林中，主食树木、杂草的种子等,,3
35653,1,标准时,biāozhǔnshí,,,名,同一时区内各地共同使用的时间。一般以这个时区中间的一条子午线的时间为标准时,,1
35653,2,标准时,biāozhǔnshí,,,名,一个国家各地共同使用的时间。一般以首都所在时区的标准时为准。如我国的标准时为北京时间，即以东经120°子午线为标准的时间,,2
35657,2,水灵,shuǐling,,,形,美丽鲜亮而有神,这小闺女长得挺水灵。,1
35657,1,水灵,shuǐling,,,形,（水果、蔬菜）鲜嫩多汁,顶花带刺儿的黄瓜多水灵。,2
35664,1,狂乱,kuángluàn,,,形,昏乱；错乱,举止狂乱,1
35664,2,狂乱,kuángluàn,,,形,猛烈而无序,柳枝在大风中狂乱地摇摆。,2
35669,2,公营,gōngyíng,,,形,国家或集体经营的,公营经济,1
35669,1,公营,gōngyíng,,,动,国家或集体投资经营（跟“民营”、“私营”相区别）,,2
35671,2,轩昂,xuān'áng,,,形,精神昂扬，气度不凡,气宇轩昂,1
35671,1,轩昂,xuān'áng,,,形,高大,人民大会堂轩昂雄伟。,2
35685,1,伟岸,wěi'àn,,,形,身材魁梧,伟岸的身躯,1
35685,2,伟岸,wěi'àn,,,形,形容貌、气度等非凡,雄奇伟岸的古长城。,2
35690,1,发酸,fāsuān,,,动,（食品）产生酸味,剩粥发酸了,1
35690,2,发酸,fāsuān,,,动,（肢体）感到酸痛无力,累得两腿发酸,2
35690,3,发酸,fāsuān,,,动,产生悲伤、难过的感觉,心里发酸｜听得我鼻子发酸，眼泪都要流出来了。,3
35691,1,标号,biāohào,,,名,标示某些产品性能的数字,这种水泥标号为400号。,1
35691,2,标号,biāohào,,,名,标点符号的一类，用来标明语句的性质和作用。如引号、括号、破折号等,,2
35701,1,费钱,fèiqián,,,动,花费钱,就用我的吧，不用费钱再买了。,1
35701,2,费钱,fèiqián,,,动,耗费很多钱,住高级宾馆太费钱。,2
35726,1,花冠,huāguān,,,名,花朵上由若干花瓣组合而成的那一部分,,1
35726,2,花冠,huāguān,,,名,用花编制成的环状头饰；特指新娘头上帽状的华美妆饰,,2
35728,1,败将,bàijiàng,,,名,败军的将领,残兵败将,1
35728,2,败将,bàijiàng,,,名,比喻竞赛中的失利者,在围棋擂台赛中，他们都是我的手下败将。,2
35755,1,闻见,wénjiàn,,,动,听到和看到,早已闻见,1
35755,3,闻见,wénjiàn,,,动,嗅到,闻见一股香味儿,2
35755,2,闻见,wénjiàn,,,名,〈文〉所见所闻；知识,诚请先生赐教，以广闻见。,3
35765,2,绝情,juéqíng,,,形,形容无情无义,这样做未免太绝情了。,1
35765,1,绝情,juéqíng,,,动,断绝情谊,他俩已经绝情，没有挽回余地了。,2
35768,1,佛光,fóguāng,,,名,佛教指佛给世间带来的光明,佛光普照,1
35768,2,佛光,fóguāng,,,名,佛像顶上的光芒,,2
35768,3,佛光,fóguāng,,,名,指高山峰顶在有云雾的天气中，阳光将山顶的轮廓（包括游人影像）投射在云雾上的一种光学现象,,3
35778,1,让座,ràngzuò,,,动,让出座位,给老人让座是社会文明的表现。,1
35778,2,让座,ràngzuò,,,动,请客人入座,主人让座，宾客入席。,2
35789,1,傻气,shǎqì,,,形,愚笨；糊涂,你真傻气，这点意思还看不出来?,1
35789,2,傻气,shǎqì,,,名,【傻劲儿】愚笨、糊涂的样子,,2
35833,1,转行,zhuǎnháng,,,动,改行,,1
35833,2,转行,zhuǎnháng,,,动,移行,,2
35835,2,重臣,zhòngchén,,,名,朝廷中居重要职位、声望很高的大臣,,1
35835,1,重臣,zhòngchén,,,名,权臣,,2
35838,1,监考,jiānkǎo,,,动,监视考场，维持考场纪律,,1
35838,2,监考,jiānkǎo,,,名,担任监考工作的人,,2
35839,2,导购,dǎogòu,,,名,从事导购工作的人员,,1
35839,1,导购,dǎogòu,,,动,向顾客介绍商品，引导顾客购物,,2
35840,1,官名,guānmíng,,,名,官衔名称,,1
35840,2,官名,guānmíng,,,名,旧指人的正式名字；学名,,2
35841,1,肥美,féiměi,,,形,脂肪多而味道鲜美,肥美的羊肉,1
35841,2,肥美,féiměi,,,形,肥壮；丰茂,牛羊肥美｜水草肥美,2
35841,3,肥美,féiměi,,,形,肥沃,土地肥美,3
35866,2,少不得,shǎobudé,,,动,免不了,这次谈判，少不得要有一场争辩。,1
35866,1,少不得,shǎobudé,,,动,不能缺少,这句话中的逗号少不得。,2
35869,1,丑角,chǒujué,,,名,戏曲里的一个行当。扮演滑稽或反面人物，鼻梁上抹一块儿白粉，相貌丑陋而举止可笑。（也说小花脸、三花脸）,,1
35869,2,丑角,chǒujué,,,名,比喻品德不好、表现卑劣的人,政坛丑角,2
35877,2,纠结,jiūjié,,,形,形容心里矛盾，不知该怎么办,这件事是使我心里最为纠结的｜那种纠结的心情无法形容。,1
35877,1,纠结,jiūjié,,,动,缠绕联结,紫藤和爬山虎纠结在一起｜几桩事情纠结在一起，理也理不清。,2
35902,2,气闷,qìmèn,,,形,形容心情烦闷，不畅快,她心里气闷得很,1
35902,1,气闷,qìmèn,,,形,因空气不流通等原因而感到憋闷,屋里烟雾腾腾让人感到气闷。,2
35903,2,外卖,wàimài,,,名,外卖的饭菜,这家餐馆的外卖比别处好。,1
35903,1,外卖,wàimài,,,动,餐馆把饭菜卖给顾客带走或应约送货上门,外卖烧鸡｜经营外卖业务,2
35907,1,泉源,quányuán,,,名,泉水的源头,,1
35907,2,泉源,quányuán,,,名,借指知识、力量、感情等的根源和来由,,2
35911,1,防潮,fángcháo,,,动,防止受潮,保存药品必须防潮。,1
35911,2,防潮,fángcháo,,,动,防备潮水泛滥,筑堤防潮,2
35936,1,出勤,chūqín,,,动,按规定的时间上班,统计一下这个月的出勤率。,1
35936,2,出勤,chūqín,,,动,为办理公务而外出,班长出勤去了,2
35945,1,高抬,gāotái,,,动,高高抬起,高抬贵手,1
35945,2,高抬,gāotái,,,动,过高抬举（客套话）,别高抬我，我不是专家。,2
35950,2,海市蜃楼,hǎishì-shènlóu,,,,比喻虚无缥缈的事物,,1
