rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,new_sn
75016,1,宝号,bǎohào,,,名,敬词，称对方的商号,,1
75016,2,宝号,bǎohào,,,名,敬词，称对方的名字,,2
75042,1,填房,tiánfáng,,,名,旧指前妻死后续娶的妻子,,1
75042,2,填房,tiánfáng,,,动,旧指女子嫁给死了妻子的男人,,2
75046,1,修眉,xiūméi,,,动,修整眉毛,,1
75046,2,修眉,xiūméi,,,名,长长的眉毛,凤眼修眉,2
75179,2,气眼,qìyǎn,,,名,【气孔】泛指能使气体通过的孔,,1
75179,1,气眼,qìyǎn,,,名,【气孔】铸件内部或表面的孔洞，由铸造过程中进入空气形成（凡有气孔的铸件，质量都大受影响）,,2
75190,1,汉姓,hànxìng,,,名,汉族人的姓,,1
75190,2,汉姓,hànxìng,,,名,特指汉族以外的人使用的汉族人的姓,这个外国留学生还有一个汉姓欧阳。,2
75212,2,雄杰,xióngjié,,,名,才智杰出的人,洒泪祭雄杰,1
75212,1,雄杰,xióngjié,,,形,才智杰出,雄杰之才,2
75243,2,提挈,tíqiè,,,动,帮助；扶持；提拔,互相提挈｜承蒙前辈提挈,1
75243,1,提挈,tíqiè,,,动,〈文〉统率；带领,提挈全军,2
75250,1,饬令,chìlìng,,,动,命令（多用于公文）,饬令遵行,1
75250,2,饬令,chìlìng,,,名,下达命令的公文,一道饬令,2
75251,1,磨烦,mòfan,,,动,纠缠不休（多指向人要求什么）,这孩子老磨烦着买吃的。,1
75251,2,磨烦,mòfan,,,动,动作迟缓，拖延时间,大家越着急，他越磨烦。,2
75324,1,烂账,lànzhàng,,,名,头绪混乱、无法理清的账目,,1
75324,2,烂账,lànzhàng,,,名,指拖欠很久、难以收回的账,,2
75375,1,细故,xìgù,,,名,细小而不易引人注意的原因或条件,问其细故｜查明细故,1
75375,2,细故,xìgù,,,名,〈文〉无关紧要的小事,细故末节,2
75442,1,野雉,yězhì,,,名,雉1,,1
75442,2,野雉,yězhì,,,名,旧指妓女,,2
75445,2,淆乱,xiáoluàn,,,动,扰乱,淆乱视听,1
75445,1,淆乱,xiáoluàn,,,形,混乱；杂乱,是非淆乱｜天下淆乱,2
75447,1,收揽,shōulǎn,,,动,招纳，笼络,收揽人才｜收揽人心,1
75447,2,收揽,shōulǎn,,,动,承揽,上门收揽业务,2
