id,topic,hanzi,frequency_rank
520,HSK3,新鲜,2918
521,HSK3,同事,3038
522,HSK3,干净,3088
523,HSK3,图书馆,3183
524,HSK3,奶奶,3193
525,HSK3,季节,3211
526,HSK3,可爱,3282
527,HSK3,花园,3334
528,HSK3,鼻子,3707
529,HSK3,帽子,3730
530,HSK3,耳朵,3792
531,HSK3,周末,4092
532,HSK3,舒服,4177
533,HSK3,年级,4335
534,HSK3,礼物,4382
535,HSK3,面包,4413
536,HSK3,空调,4428
537,HSK3,厨房,4430
538,HSK3,地图,4477
539,HSK3,啤酒,4529
540,HSK3,安静,4702
541,HSK3,邻居,4765
542,HSK3,练习,4810
543,HSK3,上网,4860
544,HSK3,地铁,4926
545,HSK3,难过,4942
546,HSK3,帮忙,5092
547,HSK3,眼镜,5110
548,HSK3,爷爷,5347
549,HSK3,一共,5411
550,HSK3,冰箱,5447
551,HSK3,着急,5556
552,HSK3,月亮,5597
553,HSK3,叔叔,5991
554,HSK3,熊猫,6140
555,HSK3,句子,6930
556,HSK3,护照,7511
557,HSK3,感冒,7749
558,HSK3,裤子,8157
559,HSK3,迟到,8199
560,HSK3,衬衫,8516
561,HSK3,洗澡,8751
562,HSK3,阿姨,8834
563,HSK3,电梯,8905
564,HSK3,普通话,9116
565,HSK3,发烧,9354
566,HSK3,蛋糕,10347
567,HSK3,复习,10370
568,HSK3,打扫,10586
569,HSK3,筷子,10610
570,HSK3,词语,10748
571,HSK3,照相机,10862
572,HSK3,盘子,11174
573,HSK3,香蕉,12080
574,HSK3,铅笔,12800
575,HSK3,面条,13064
576,HSK3,裙子,13428
577,HSK3,字典,14060
578,HSK3,黑板,15300
579,HSK3,果汁,17412
580,HSK3,菜单,21086
581,HSK3,洗手间,25076
582,HSK4,发展,2
583,HSK4,经济,3
584,HSK4,记者,6
585,HSK4,进行,13
586,HSK4,社会,14
587,HSK4,国际,15
588,HSK4,市场,21
589,HSK4,以,29
590,HSK4,对,33
591,HSK4,方面,34
592,HSK4,组织,35
593,HSK4,发,37
594,HSK4,过,42
595,HSK4,管理,43
596,HSK4,技术,46
597,HSK4,通过,51
598,HSK4,代表,56
599,HSK4,行,58
600,HSK4,成为,61
601,HSK4,情况,63
602,HSK4,生活,65
603,HSK4,活动,67
604,HSK4,而,70
605,HSK4,起来,74
606,HSK4,发生,82
607,HSK4,与,83
608,HSK4,其中,84
609,HSK4,由于,85
610,HSK4,等,88
611,HSK4,部分,101
612,HSK4,之,102
613,HSK4,计划,104
614,HSK4,科学,109
615,HSK4,当,111
616,HSK4,许多,114
617,HSK4,教育,120
618,HSK4,提供,121
619,HSK4,报道,129
620,HSK4,继续,133
621,HSK4,基础,134
622,HSK4,精神,135
623,HSK4,因此,139
624,HSK4,积极,140
625,HSK4,增长,150
626,HSK4,规定,157
627,HSK4,增加,161
628,HSK4,包括,163
629,HSK4,支持,164
630,HSK4,安全,166
631,HSK4,无,167
632,HSK4,内,171
633,HSK4,场,172
634,HSK4,所有,179
635,HSK4,现代,181
636,HSK4,条件,182
637,HSK4,保护,184
638,HSK4,共同,187
639,HSK4,最后,188
640,HSK4,各,195
641,HSK4,获得,195
642,HSK4,负责,198
643,HSK4,由,200
644,HSK4,民族,205
645,HSK4,使用,209
646,HSK4,实际,211
647,HSK4,不过,212
648,HSK4,十分,213
649,HSK4,不仅,215
650,HSK4,干,226
651,HSK4,成功,226
652,HSK4,任何,235
653,HSK4,世纪,241
654,HSK4,结果,244
655,HSK4,能力,246
656,HSK4,严重,247
657,HSK4,调查,249
658,HSK4,接受,251
659,HSK4,自然,252
660,HSK4,一切,257
661,HSK4,目的,264
662,HSK4,完全,268
663,HSK4,重点,278
664,HSK4,可是,282
665,HSK4,坚持,285
666,HSK4,交,289
667,HSK4,过程,291
668,HSK4,甚至,292
669,HSK4,责任,296
670,HSK4,当时,298
671,HSK4,死,299
672,HSK4,法律,299
673,HSK4,艺术,301
674,HSK4,全部,302
675,HSK4,收入,304
676,HSK4,质量,306
677,HSK4,收,314
678,HSK4,原因,315
679,HSK4,指,323
680,HSK4,任务,325
681,HSK4,农村,326
682,HSK4,内容,335
683,HSK4,拉,347
684,HSK4,直接,348
685,HSK4,经验,352
686,HSK4,光,356
687,HSK4,取,361
688,HSK4,却,362
689,HSK4,正式,364
690,HSK4,当地,365
691,HSK4,然而,367
692,HSK4,随着,374
693,HSK4,竞争,377
694,HSK4,访问,378
695,HSK4,知识,379
696,HSK4,价格,382
697,HSK4,扩大,383
698,HSK4,省,386
699,HSK4,台,389
700,HSK4,按照,393
701,HSK4,标准,394
702,HSK4,重视,395
703,HSK4,深,397
704,HSK4,谈,401
705,HSK4,保证,404
706,HSK4,方法,410
707,HSK4,超过,417
708,HSK4,意见,419
709,HSK4,困难,431
710,HSK4,连,434
711,HSK4,于是,436
712,HSK4,组成,440
713,HSK4,交流,442
714,HSK4,算,447
715,HSK4,引起,449
716,HSK4,往,452
717,HSK4,真正,454
718,HSK4,只要,460
719,HSK4,尽管,463
720,HSK4,后来,468
721,HSK4,首先,469
722,HSK4,公里,480
723,HSK4,讨论,482
724,HSK4,交通,485
725,HSK4,作者,491
726,HSK4,满,495
727,HSK4,专业,495
728,HSK4,举办,497
729,HSK4,群,501
730,HSK4,推,502
731,HSK4,范围,503
732,HSK4,试,505
733,HSK4,火,507
734,HSK4,反对,511
735,HSK4,生命,513
736,HSK4,留,517
737,HSK4,消息,523
738,HSK4,联系,524
739,HSK4,著名,525
740,HSK4,减少,529
741,HSK4,友好,531
742,HSK4,改变,537
743,HSK4,断,552
744,HSK4,响,569
745,HSK4,底,577
746,HSK4,亚洲,577
747,HSK4,考虑,578
748,HSK4,轻,579
749,HSK4,够,580
750,HSK4,另外,590
751,HSK4,安排,604
752,HSK4,反映,606
753,HSK4,说明,608
754,HSK4,仍然,613
755,HSK4,特点,622
756,HSK4,丰富,630
757,HSK4,香,631
758,HSK4,关键,631
759,HSK4,份,642
760,HSK4,尤其,650
761,HSK4,原来,651
762,HSK4,制造,654
763,HSK4,重新,655
764,HSK4,破,659
765,HSK4,亿,662
766,HSK4,首都,664
767,HSK4,并且,671
768,HSK4,富,681
769,HSK4,严格,691
770,HSK4,教授,693
771,HSK4,修,694
772,HSK4,理解,695
773,HSK4,呀,696
774,HSK4,苦,699
775,HSK4,也许,700
776,HSK4,正常,702
777,HSK4,速度,704
778,HSK4,血,707
779,HSK4,适应,711
780,HSK4,正确,716
781,HSK4,吸引,720
782,HSK4,掉,722
783,HSK4,座,723
784,HSK4,母亲,724
785,HSK4,证明,725
786,HSK4,方向,726
787,HSK4,材料,739
788,HSK4,亮,752
789,HSK4,普遍,756
790,HSK4,无论,761
791,HSK4,假,762
792,HSK4,文章,767
793,HSK4,态度,770
794,HSK4,优秀,778
795,HSK4,及时,781
796,HSK4,父亲,782
797,HSK4,困,785
798,HSK4,感觉,788
799,HSK4,高级,796
800,HSK4,符合,798
801,HSK4,至少,802
802,HSK4,专门,813
803,HSK4,儿童,823
804,HSK4,肯定,827
805,HSK4,解释,852
806,HSK4,即使,869
807,HSK4,职业,875
808,HSK4,乱,877
809,HSK4,梦,882
810,HSK4,嘴,883
811,HSK4,实在,884
812,HSK4,顿,886
813,HSK4,食品,898
814,HSK4,紧张,900
815,HSK4,抱,902
816,HSK4,小说,903
817,HSK4,最好,910
818,HSK4,往往,920
819,HSK4,邀请,923
820,HSK4,顺利,929
821,HSK4,数量,942
822,HSK4,弄,950
823,HSK4,通知,956
824,HSK4,永远,959
825,HSK4,脱,961
826,HSK4,弹,969
827,HSK4,语言,983
