rank,hanzi,pinyin,raw_html
3537,嗷,áo,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>嗷</x-hw><x-pr> áo</x-pr>
<dt>见下。<a href=""entry://嗷嗷"">嗷嗷</a><x-f>，</x-f><a href=""entry://嗷嗷待哺"">嗷嗷待哺</a><x-f>。</x-f>
"
3540,逍,xiāo,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>逍</x-hw><x-pr> xiāo</x-pr>
<dt>见下。<a href=""entry://逍遥"">逍遥</a><x-f>，</x-f><a href=""entry://逍遥法外"">逍遥法外</a><x-f>。</x-f>
"
3550,孢,bāo,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>孢</x-hw><x-pr> bāo</x-pr>
<dt>见下。<a href=""entry://孢子"">孢子</a><x-f>，</x-f><a href=""entry://孢子植物"">孢子植物</a><x-f>。</x-f>
"
3560,孜,zī,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>孜</x-hw><x-pr> zī</x-pr>
<dt>见下。<a href=""entry://孜然"">孜然</a><x-f>，</x-f><a href=""entry://孜孜"">孜孜</a><x-f>。</x-f>
"
3582,柯,kē,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>柯</x-hw><x-pr> kē</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>斧头的柄<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>名</x-g>草木的枝茎<x-f>。</x-f></dt><dd><x-ex>茎<x-key>柯</x-key></x-ex></dd>
<dt><x-sn>③</x-sn><sbl2>○</sbl2><x-g>名</x-g>姓<x-f>。</x-f></dt>
"
3649,韦,wéi,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>韦</x-hw><x-pr> wéi</x-pr>（韋）
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>去毛后经过熟制的兽皮<x-f>。</x-f></dt><dd><x-ex><x-key>韦</x-key>索</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>皮带；皮绳<x-f>。</x-f></dt><dd><x-ex>佩<x-key>韦</x-key></x-ex></dd>
<dt><x-sn>③</x-sn><sbl2>○</sbl2><x-g>名</x-g>姓<x-f>。</x-f></dt><t-note><x-lb>用法说明</x-lb>统读 wéi，不读 wěi<x-f>。</x-f></t-note>
"
3652,芊,qiān,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>芊</x-hw><x-pr> qiān</x-pr>
<dt>见下。<a href=""entry://芊绵"">芊绵</a><x-f>，</x-f><a href=""entry://芊芊"">芊芊</a><x-f>。</x-f>
"
3665,踌,chóu,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>踌</x-hw><x-pr> chóu</x-pr>（躊）
<dt>见下。<a href=""entry://踌躇"">踌躇</a><x-f>，</x-f><a href=""entry://踌躇不前"">踌躇不前</a><x-f>，</x-f><a href=""entry://踌躇满志"">踌躇满志</a><x-f>。</x-f>
"
3703,辄,zhé,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>辄</x-hw><x-pr> zhé</x-pr>（輒*輙）
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>副</x-gram>表示后一行为紧接着前一行为发生，相当于“就”<x-f>。</x-f></dt><dd><x-ex>浅尝<x-key>辄</x-key>止</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>副</x-g>表示同一行为多次重复，相当于“往往” “总是”<x-f>。</x-f></dt><dd><x-ex>动<x-key>辄</x-key>得咎</x-ex></dd><t-note><x-lb>用法说明</x-lb>右边是“耴”，不是“取”<x-f>。</x-f></t-note>
"
