rank,cihui,pinyin,raw_html
5013,的士,dīshì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>的士</x-hw><x-pr> dīshì</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 taxi 音译<x-f>。</x-f></x-etym>出租汽车①<x-f>。</x-f></dt>
"
5269,包袱,bāofu,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>包袱</x-hw><x-pr> bāofu</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>包裹衣物等用的布<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><x-g>名</x-g> 包有衣物等的布包<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>手上拎着一个<x-key>包袱</x-key><x-f>。</x-f></x-ex></dd>
<dt><x-sn>③</x-sn><x-g>名</x-g> 比喻精神上的压力或负担<x-f>。</x-f></dt><dd><x-ex>顾虑重重，<x-key>包袱</x-key>沉重<x-f>。</x-f></x-ex></dd>
<dt><x-sn>④</x-sn><x-g>名</x-g> 指相声等曲艺中的笑料<x-f>。</x-f></dt><dd><x-ex>抖<x-key>包袱</x-key>（把笑料说出来）<x-f>。</x-f></x-ex></dd>
"
5385,欧佩克,ōupèikè,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>欧佩克</x-hw><x-pr> ōupèikè</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语缩写 OPEC 音译<x-f>。</x-f></x-etym>石油输出国组织。成立于1960年9月14日，成员国有伊朗、伊拉克、科威特、沙特阿拉伯、委内瑞拉等。它的宗旨是协调和统一各成员国的石油政策和策略，以维护各自和共同的利益<x-f>。</x-f></dt>
"
5466,说不定,shuōbudìng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>说不定</x-hw><x-pr> shuōbudìng</x-pr>
<dt><x-sn>①</x-sn><x-gram>动</x-gram>说不确切<x-f>。</x-f></dt><dd><x-ex>他来不来，现在还<x-key>说不定</x-key><x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn> <x-g>副</x-g> 可能；没准<x-er>儿</x-er><x-f>。</x-f><dd><x-ex><x-key>说不定</x-key>哪一天他会突然回来<x-f>。</x-f></x-ex></dd>
"
5844,小子,xiǎozi,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>小子</x-hw><x-pr> xiǎozǐ</x-pr>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>年幼的人<x-f>。</x-f></dt><dd><x-ex>后生<x-key>小子</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><x-g>名</x-g> 长辈对晚辈的称呼或晚辈在长辈面前的自称<x-f>。</x-f></dt><dd><x-ex><x-key>小子</x-key>前来听训</x-ex><x-ex><x-lb> | </x-lb><x-key>小子</x-key>不才，请前辈指教<x-f>。</x-f></x-ex></dd></dt><hr><dt class='title'><x-hw>小子</x-hw><x-pr> xiǎozi</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>〈口〉儿子<x-f>。</x-f></dt><dd><x-ex>我有一个闺女，一个<x-key>小子</x-key><x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn><x-g>名</x-g> 〈口〉泛指男孩<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>生了个胖<x-key>小子</x-key></x-ex></dd>
<dt><x-sn>③</x-sn><x-g>名</x-g> 对人的蔑称<x-f>。</x-f></dt><dd><x-ex>这<x-key>小子</x-key>真不是个东西!</x-ex></dd>
"
5854,方程,fāngchéng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>方程</x-hw><x-pr> fāngchéng</x-pr>
<dt><x-gram>名</x-gram>数学上指含有未知数的等式。如x+2＝5，x-1＝y+3<x-f>。</x-f>（也说方程式<x-f>。</x-f>）
"
6045,耶稣,yēsū,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>耶稣</x-hw><x-pr> yēsū</x-pr>
<dt><x-gram>名</x-gram><x-etym>拉丁语 Jesus 音译<x-f>。</x-f></x-etym>基督教信奉的救世主，也称基督。《新约全书》说他是天主（上帝）的儿子，为救世人而降生于世。因在犹太各地传教而触怒犹太教统治者，被钉死在十字架上，死后复活升天<x-f>。</x-f></dt>
"
6234,纳米,nàmǐ,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>纳米</x-hw><x-pr> nàmǐ</x-pr>
<dt><x-gram>量</x-gram><x-etym>英语 nanometer 音译<x-f>。</x-f></x-etym>长度计量单位。1纳米是10-9米<x-f>。</x-f>
"
6370,成份,chéngfèn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>成份</x-hw><x-pr> chéngfèn</x-pr>
<dt>现在规范词形写作“<a href=""entry://成分"" type=""normalized"">成分</a>”<x-f>。</x-f>
"
6498,雷达,léidá,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>雷达</x-hw><x-pr> léidá</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 radar 音译<x-f>。</x-f></x-etym>利用电磁波反射原理来探测目标位置、距离、运动速率和方向的装置。广泛应用于军事、天文、气象、航海、航空和航天等领域<x-f>。</x-f></dt>
"
6682,因特网,yīntèwǎng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>因特网</x-hw><x-pr> yīntèwǎng</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 Internet 音意合译<x-f>。</x-f></x-etym>目前全球最大的由众多计算机网络互联而成的开放性网络。由美国的阿帕（ARPA）网发展演变而来<x-f>。</x-f></dt>
"
6798,一味,yīwèi,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>一味</x-hw><x-pr> yīwèi</x-pr>
<dt><x-gram>副</x-gram>单纯地；一个劲<x-er>儿</x-er>地<x-f>。</x-f><dd><x-ex><x-key>一味</x-key>地蛮干</x-ex></dd>
"
6976,纳粹,nàcuì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>纳粹</x-hw><x-pr> nàcuì</x-pr>
<dt><x-gram>名</x-gram><x-etym>德语缩写词 Nazi 音译<x-f>。</x-f></x-etym>即德意志民族社会主义工人党，第一次世界大战后希特勒在德国建立的法西斯主义政党<x-f>。</x-f></dt>
"
6990,星星,xīngxīng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>星星</x-hw><x-pr> xīngxing</x-pr>
<dt><x-gram>名</x-gram>星①<x-f>。</x-f></dt></dt><hr><dt class='title'><x-hw>星星</x-hw><x-pr> xīngxīng</x-pr>
<dt><x-gram>名</x-gram>比喻细小的、分散的点<x-er>儿</x-er>或别的东西<x-f>。</x-f><dd><x-ex><x-key>星星</x-key>之火，可以燎原<x-f>。</x-f></x-ex></dd>
"
