rank,cihui,pinyin,raw_html
30316,勤快,qínkuai,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>勤快</x-hw><x-pr> qínkuai</x-pr>〈口〉
<dt><x-gram>形</x-gram>手脚勤，爱干活<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>她很<x-key>勤快</x-key>，什么活<x-er>儿</x-er>都抢着干<x-f>。</x-f></x-ex></dd>
"
30401,葱白,cōngbái,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>葱白</x-hw><x-pr> cōngbái</x-pr>
<dt><x-gram>形</x-gram>形容颜色像葱白<x-er>儿</x-er>那样浅青<x-f>。</x-f>
"
30514,入托,rùtuō,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>入托</x-hw><x-pr> rùtuō</x-pr>
<dt><x-gram>动</x-gram>把小孩<x-er>儿</x-er>送进托儿所<x-f>。</x-f>
"
30562,风风火火,fēngfēng-huǒhuǒ,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>风风火火</x-hw><x-pr> fēngfēng-huǒhuǒ</x-pr>
<dt><x-sn>①</x-sn> 形容动作匆匆忙忙、冒冒失失，像风和火一样<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn> 形容有活力，有冲劲<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>青年突击队工作搞得<x-key>风风火火</x-key><x-f>。</x-f></x-ex></dd>
"
30602,行囊,xíngnáng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>行囊</x-hw><x-pr> xíngnáng</x-pr>〈文〉
<dt><x-gram>名</x-gram>出门时携带的包<x-er>儿</x-er>、袋子等<x-f>。</x-f><dd><x-ex>解开<x-key>行囊</x-key></x-ex></dd><t-note><x-lb>用法说明</x-lb>跟“行李”不同。“行李”泛指一切旅行携带品；“行囊”仅指随身携带的包<x-er>儿</x-er>或袋子<x-f>。</x-f></t-note>
"
30688,游刃有余,yóurèn-yǒuyú,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>游刃有余</x-hw><x-pr> yóurèn-yǒuyú</x-pr>
<dt>《庄子·养生主》记载：有个厨师解牛技术非常熟练，刀刃在牛骨缝隙之间自由移动，没有一点<x-er>儿</x-er>阻碍。后用“游刃有余”比喻做事从容，毫不费力<x-f>。</x-f>
"
30774,牛排,niúpái,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>牛排</x-hw><x-pr> niúpái</x-pr>
<dt><x-gram>名</x-gram>大而厚的牛肉片<x-er>儿</x-er>；也指用这种牛肉片做成的菜肴，是西餐中的一道常见菜<x-f>。</x-f>
"
30803,合身,héshēn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>合身</x-hw><x-pr> héshēn</x-pr>
<dt><x-gram>形</x-gram>衣服的大小肥瘦<x-er>儿</x-er>合适<x-f>。</x-f>（也说合体<x-f>。</x-f>）
"
30814,炒勺,chǎosháo,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>炒勺</x-hw><x-pr> chǎosháo</x-pr>
<dt><x-gram>名</x-gram>一种带把<x-er>儿</x-er>（bàr）的像勺子一样的炒菜锅<x-f>。</x-f>
"
30867,乔迁,qiáoqiān,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>乔迁</x-hw><x-pr> qiáoqiān</x-pr>
<dt><x-gram>动</x-gram>《诗经·小雅·伐木》：“出自幽谷，迁于乔木。”意思是鸟从深谷飞出，迁移到高大的树上。后用作敬词，祝贺人搬入新居、晋升职位或改善境遇等<x-f>。</x-f><dd><x-ex><x-key>乔迁</x-key>新居</x-ex></dd>
"
