rank,cihui,pinyin,raw_html
10124,海洛因,hǎiluòyīn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>海洛因</x-hw><x-pr> hǎiluòyīn</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 heroin 音译<x-f>。</x-f></x-etym>有机化合物，由吗啡制成的白色晶体，医学上用作镇静药、麻醉药。常用成瘾，比吗啡的成瘾性更大。作为毒品，俗称白面<x-er>儿</x-er><x-f>。</x-f>
"
10182,一星儿,yīxīngr,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>一星<x-er>儿</x-er></x-hw><x-pr> yīxīngr</x-pr>〈口〉
<dt>极少的一点<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>这伙<x-er>儿</x-er>歹徒没有<x-key>一星儿</x-key>人性<x-f>。</x-f></x-ex></dd>
"
10231,吉普,jípǔ,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>吉普</x-hw><x-pr> jípǔ</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 jeep 音译<x-f>。</x-f></x-etym>一种前后轮都能驱动的中、小型越野汽车<x-f>。</x-f></dt>（也说吉普车<x-f>。</x-f>）
"
10272,丫头,yātou,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>丫头</x-hw><x-pr> yātou</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>旧时儿童梳在头顶两旁上翘的抓髻；借指女孩<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>几年不见，这<x-key>丫头</x-key>越发长得水灵了<x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn><x-g>名</x-g> 丫环<x-f>。</x-f></dt><t-note><x-lb>用法说明</x-lb>不宜写作“鸦头”<x-f>。</x-f></t-note>
"
10299,卷烟,juǎnyān,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>卷烟</x-hw><x-pr> juǎnyān</x-pr>
<dt><x-sn>①</x-sn><x-gram>动</x-gram>用纸把烟丝或烟末<x-er>儿</x-er>卷成细杆状或喇叭状<x-f>。</x-f>
<dt><x-sn>②</x-sn><x-g>名</x-g> 卷成细杆状或喇叭状的烟，包括香烟、雪茄。俗称烟卷<x-er>儿</x-er><x-f>。</x-f>
"
10500,作准,zuòzhǔn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>作准</x-hw><x-pr> zuòzhǔn</x-pr>
<dt><x-gram>动</x-gram>作数；算数<x-er>儿</x-er>；兑现<x-f>。</x-f><dd><x-ex>你说话可得<x-key>作准</x-key>啊<x-f>。</x-f></x-ex></dd>
"
10610,筷子,kuàizi,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>筷子</x-hw><x-pr> kuàizi</x-pr>
<dt><x-gram>名</x-gram>成双的夹取饭菜或其他物品的细长棍<x-er>儿</x-er>，多用竹、木制成<x-f>。</x-f>
"
11030,沉寂,chénjì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>沉寂</x-hw><x-pr> chénjì</x-pr>
<dt><x-sn>①</x-sn><x-gram>形</x-gram>十分寂静，没有一点<x-er>儿</x-er>声响<x-f>。</x-f><dd><x-ex><x-key>沉寂</x-key>的山林</x-ex></dd>
<dt><x-sn>②</x-sn> <x-g>形</x-g> 没有任何消息<x-f>。</x-f></dt><dd><x-ex>音信<x-key>沉寂</x-key></x-ex></dd>
"
11110,安琪儿,ānqí'ér,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>安琪儿</x-hw><x-pr> ānqí'ér</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 angel 音译<x-f>。</x-f></x-etym>天使<x-f>。</x-f></dt>
"
11236,芭蕾舞,bālěiwǔ,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>芭蕾舞</x-hw><x-pr> bālěiwǔ</x-pr>
<dt><x-gram>名</x-gram>一种欧洲古典舞蹈；也指欧洲古典舞剧。起源于意大利，形成于法国，以舞蹈为主要表现手段。女演员舞蹈时穿特制的舞鞋，常用脚尖着地<x-f>（</x-f>芭蕾：法语ballet音译<x-f>）</x-f><x-f>。</x-f>（也说芭蕾<x-f>。</x-f>）
"
