rank,sn,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
76,6,第,dì,,,副,〈文〉表示动作不受条件限制或不必考虑条件，相当于“只管” 第 举兵（只管起兵），吾从此助公 连接分句，表示转折关系，相当于“但是” 乃知此物世上多有， 第 人不识耳,
223,11,安,ān,,,代,〈文〉表示疑问，询问处所，相当于“哪里” 沛公 安 在? 表示反问，相当于“怎么”、“哪里” 燕雀 安 知鸿鹄之志哉?,
352,7,调,diào,,,名,标示乐音音高的名称。乐曲用什么音作 do（基音），就是什么调，比如现代乐谱中用A作 do 就是A调，传统乐谱中用“工”作基音就是“工”字调,
526,8,哪,né,,,名,梵语音译词“哪吒俱伐罗（Nalakūvara 或 Nalakūbara）”的简称。原为佛教中的护法神，传说是毗沙门天王之子；后来成为神话小说《西游记》《封神演义》中的一个人物,
786,6,介,jiè,,,名,〈文〉铠甲 介 胄 甲壳 介 虫 带甲壳的水生动物 鳞 介,
933,1,额,é,,,名,人的头发以下眉毛以上的部位；某些动物头部大致与此相当的部位。通称额头。俗称脑门 儿 、脑门子,
1014,6,固,gù,,,副,〈文〉本来；原来 人 固 有一死 固然 人 固 不易知，知人亦未易也,
1162,1,莱,lái,,,名,〈文〉藜 丛生的野草 草 莱 郊外休耕的田地；荒地 田 莱,
1475,6,仁,rén,,,名,像仁 儿 的东西 虾 仁 儿,
1692,4,狠,hěn,,,同,“ 很 ”,
1734,1,玻,bō,,,,见下。 玻璃 玻璃布 玻璃钢 玻璃幕墙 玻璃丝 玻璃体 玻璃纤维 玻璃小鞋 玻璃纸 玻璃砖,
1767,4,傅,fù,,,动,〈文〉依附；附着 皮之不存，毛将安 傅 ? 涂抹；使附着 傅 粉,
1849,1,桃,táo,,,名,桃树，落叶小乔木，叶子长椭圆形，开白色或红色花。花色艳丽，可供观赏。果实叫桃 儿 或桃子，近球形或扁球形，多数表面有茸毛，肉厚汁多，味甜，是常见水果。核仁可以做药材,
1907,1,垃,lā,,,,见下。 垃圾 垃圾电站 垃圾股 垃圾新闻 垃圾邮件 垃圾债券,
1928,1,荐,jiàn,,,名,〈文〉草席；草垫子 草 荐 野兽、牲口吃的草 麋鹿食 荐,
1936,4,庞,páng,,,名,脸盘 儿 面 庞,
2033,1,葡,pú,,,,见下。 葡萄 葡萄干 葡萄灰 葡萄酒 葡萄球菌 葡萄胎 葡萄糖 葡萄紫,
2044,3,抑,yì,,,连,〈文〉连接分句，表示选择关系，相当于“还是” 黄帝者，人邪， 抑 非人邪? 连连接分句，表示转折关系，相当于“可是” 吾不忘也， 抑 未有以致罪焉,
2077,1,豫,yù,,,形,〈文〉安乐；安逸 忧劳可以兴国，逸 豫 可以亡身 欢快；高兴 面有不 豫 之色,
2114,3,柴,chái,,,形,〈口〉又干又瘦 老人病得很重，人都变 柴 了 （食物）纤维粗而多，嚼不烂 肉 柴 了不好吃 质量、能力等低下 这筐西瓜怎么那么 柴 ，不是生的，就是烂的,
2237,1,辟,bì,,,名,〈文〉天子；国君 复 辟 征召；特指官府征聘荐举并授予官职 征 辟,
2338,1,苹,píng,,,,见下。 苹果 苹果绿,
2352,1,迄,qì,,,动,〈文〉到；至 自古 迄 今 表示从某一时间开始直到现在，相当于“一直” 迄 无音信,
2402,1,咪,mī,,,,见下。 咪表 咪咪,
2531,1,彬,bīn,,,,见下。 彬彬 彬彬有礼,
2568,1,芙,fú,,,,见下。 芙蕖 芙蓉,
2708,1,磊,lěi,,,,见下。 磊磊 磊落,
2763,3,阀,fá,,,名,英语 valve 音译 ，管道或机器中起调节、控制作用的装置,
2814,1,桔,jié,,,,见下。 桔槔 桔梗,
2866,1,慷,kāng,,,,见下。 慷慨 慷慨陈词 慷慨激昂 慷慨解囊 慷他人之慨,
2875,1,蝴,hú,,,,见下。 蝴蝶 蝴蝶斑 蝴蝶花 蝴蝶结 蝴蝶装,
2911,1,菩,pú,,,,见下。 菩萨 菩提 菩提树,
2912,1,橄,gǎn,,,,见下。 橄榄 橄榄绿 橄榄帽 橄榄球 橄榄色 橄榄油 橄榄枝,
3023,1,黯,àn,,,形,〈文〉昏暗；阴暗 露明星 黯 心神沮丧 悄无语， 黯 沉吟,
3101,1,兢,jīng,,,,见下。 兢兢 兢兢业业,
3108,1,翩,piān,,,动,〈文〉轻快地飞 蜂舞蝶 翩 形容动作轻快 翩 然,
3132,1,蜘,zhī,,,,见下。 蜘蛛 蜘蛛网 蜘蛛痣,
3228,1,澎,péng,,,,见下。 澎汃 澎湃,
3298,1,柠,níng,,,,见下。 柠檬 柠檬酸 柠檬汁,
3315,1,蝙,biān,,,,见下。 蝙蝠 蝙蝠衫 蝙蝠袖,
3329,1,琉,liú,,,,见下。 琉璃 琉璃瓦,
3349,1,菠,bō,,,,见下。 菠菜 菠薐菜 菠萝 菠萝蜜,
3409,1,鹦,yīng,,,,见下。 鹦哥 鹦哥绿 鹦鹉 鹦鹉螺 鹦鹉学舌,
3418,1,霹,pī,,,,见下。 霹雳 霹雳舞,
3465,1,蜻,qīng,,,,见下。 蜻蜓 蜻蜓点水,
