rank,cihui,pinyin,raw_html
45053,闻风丧胆,wénfēng-sàngdǎn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>闻风丧胆</x-hw><x-pr> wénfēng-sàngdǎn</x-pr>
<dt>听到一点<x-er>儿</x-er>动静就吓破了胆。形容对某事物极其恐惧<x-f>。</x-f>
"
45060,维他命,wéitāmìng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>维他命</x-hw><x-pr> wéitāmìng</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 vitamin 音译<x-f>。</x-f></x-etym>维生素的旧称<x-f>。</x-f></dt>
"
45260,童养媳,tóngyǎngxí,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>童养媳</x-hw><x-pr> tóngyǎngxí</x-pr>
<dt><x-gram>名</x-gram>旧指被迫让人领养、长大后做这家儿媳的小女孩<x-er>儿</x-er>；也指有这种身世的妇女<x-f>。</x-f>
"
45395,妞妞,niūniu,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>妞妞</x-hw><x-pr> niūniu</x-pr>〈口〉
<dt><x-gram>名</x-gram>对小女孩<x-er>儿</x-er>的昵称<x-f>。</x-f>
"
45514,肉松,ròusōng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>肉松</x-hw><x-pr> ròusōng</x-pr>
<dt><x-gram>名</x-gram>牛、猪等的瘦肉经过预煮、撇油、焙煎、脱水、炒松等工序而制成的绒状或碎末<x-er>儿</x-er>状的肉食品<x-f>。</x-f>
"
45602,小肚儿,xiǎodǔr,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>小肚<x-er>儿</x-er></x-hw><x-pr> xiǎodǔr</x-pr>
<dt><x-gram>名</x-gram>一种球状熟食，用经过加工处理的猪膀胱装入和着淀粉的肉末<x-er>儿</x-er>蒸制而成<x-f>。</x-f>
"
45899,溜之大吉,liūzhī-dàjí,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>溜之大吉</x-hw><x-pr> liūzhī-dàjí</x-pr>
<dt>偷偷离开；一走了事<x-er>儿</x-er>（含谐谑意）<x-f>。</x-f>
"
45916,寒伧,hánchen,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>寒伧</x-hw><x-pr> hánchen</x-pr>
<dt>现在规范词形写作“<a href=""entry://寒碜"" type=""normalized"">寒碜</a>”<x-f>。</x-f>
"
46013,卡特尔,kǎtè'ěr,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>卡特尔</x-hw><x-pr> kǎtè'ěr</x-pr>
<dt><x-gram>名</x-gram><x-etym>法语 cartel 音译<x-f>。</x-f></x-etym>资本主义垄断组织的一种形式。生产同类商品的企业为了垄断市场和获取高额利润，通过订立各种协定而形成的同盟<x-f>。</x-f></dt>
"
46173,冷冻食品,lěngdòng shípǐn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>冷冻食品</x-hw><x-pr> lěngdòng shípǐn</x-pr>
<dt>经过快速降温冻结的食品，如冰棍<x-er>儿</x-er>、速冻蔬菜、速冻饺子等<x-f>。</x-f>
"
46425,炸酱,zhájiàng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>炸酱</x-hw><x-pr> zhájiàng</x-pr>
<dt><x-gram>名</x-gram>把黄酱、甜面酱、豆瓣<x-er>儿</x-er>酱等放在沸油中煎炸，并佐以肉丁、葱花等做成的调味品<x-f>。</x-f>
"
46435,险遭,xiǎnzāo,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>险遭</x-hw><x-pr> xiǎnzāo</x-pr>
<dt><x-gram>动</x-gram>差一点<x-er>儿</x-er>遭到（不幸的事）<x-f>。</x-f><dd><x-ex><x-key>险遭</x-key>暗算</x-ex></dd>
"
46533,头陀,tóutuó,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>头陀</x-hw><x-pr> tóutuó</x-pr>
<dt><x-gram>名</x-gram><x-etym>梵语 Dhūta 音译<x-f>。</x-f></x-etym>指僧人；特指四方云游乞食的僧人<x-f>。</x-f></dt>
"
46541,钢钎,gāngqiān,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>钢钎</x-hw><x-pr> gāngqiān</x-pr>
<dt><x-gram>名</x-gram>在岩石上凿孔用的工具，多用六棱或八棱的钢棍<x-er>儿</x-er>制成，一头有尖<x-er>儿</x-er><x-f>。</x-f>
"
