rank,cihui,pinyin,raw_html
85094,歧路亡羊,qílù-wángyáng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>歧路亡羊</x-hw><x-pr> qílù-wángyáng</x-pr>
<dt>《列子·说符》中说，有人丢了羊，没有找着，原因是路上岔道<x-er>儿</x-er>太多，不知道该往哪条岔道<x-er>儿</x-er>去找。比喻情况纷繁复杂，如果不能掌握正确方向，则难免误入歧途或一无所获<x-f>。</x-f><t-note><x-lb>用法说明</x-lb>“歧”不要误写作“岐”<x-f>。</x-f></t-note>
"
85223,贰心,èrxīn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>贰心</x-hw><x-pr> èrxīn</x-pr>
<dt>现在规范词形写作“<a href=""entry://二心"" type=""normalized"">二心</a>”<x-f>。</x-f>
"
85249,图穷匕首见,tú qióng bǐshǒu xiàn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>图穷匕首见</x-hw><x-pr> tú qióng bǐshǒu xiàn</x-pr>
<dt>《战国策·燕策三》记载：荆轲受燕太子丹之命去刺杀秦王时，向秦王献上内藏匕首的燕国督亢地图，地图打开后露出了匕首。比喻事情发展到最后，真相才完全显露出来（多含贬义）<x-f>。</x-f>（也说图穷匕见<x-f>。</x-f>）<t-note><x-lb>用法说明</x-lb>“见”这里不读 jiàn<x-f>。</x-f></t-note>
"
85254,脚炉,jiǎolú,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>脚炉</x-hw><x-pr> jiǎolú</x-pr>
<dt><x-gram>名</x-gram>冬天烘脚用的小铜炉。扁圆，有提梁。炉中烧炭、锯末或谷糠，通过盖<x-er>儿</x-er>上的小孔散热<x-f>。</x-f>
"
85427,鱼秧,yúyāng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>鱼秧</x-hw><x-pr> yúyāng</x-pr>
<dt><x-gram>名</x-gram>比鱼苗大一点<x-er>儿</x-er>的小鱼<x-f>。</x-f>
"
85587,一得之愚,yīdézhīyú,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>一得之愚</x-hw><x-pr> yīdézhīyú</x-pr>
<dt>谦词，称自己对某问题的一点<x-er>儿</x-er>见解。由“愚者千虑，必有一得”变化而来<x-f>。</x-f>
"
85654,塄坎,léngkǎn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>塄坎</x-hw><x-pr> léngkǎn</x-pr>
<dt><x-gram>名</x-gram>某些地区指田地边缘的坡<x-er>儿</x-er>或田埂子<x-f>。</x-f><t-note><x-lb>用法说明</x-lb>不宜写作“棱坎”<x-f>。</x-f></t-note>
"
85791,份儿饭,fènrfàn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>份<x-er>儿</x-er>饭</x-hw><x-pr> fènrfàn</x-pr>
<dt><x-gram>名</x-gram>由一定的主食和副食搭配成一份<x-er>儿</x-er>，论份<x-er>儿</x-er>出售的饭菜<x-f>。</x-f>
"
85884,剜肉补疮,wānròu-bǔchuāng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>剜肉补疮</x-hw><x-pr> wānròu-bǔchuāng</x-pr>
<dt>唐·聂夷中《咏田家》：“二月卖新丝，五月粜新谷。医得眼前疮，剜却心头肉。”后用“剜肉补疮”比喻用有害的手段来救急，而不顾后果<x-f>。</x-f>（也说剜肉医疮<x-f>。</x-f>）
"
86089,左证,zuǒzhèng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>左证</x-hw><x-pr> zuǒzhèng</x-pr>
<dt>现在规范词形写作“<a href=""entry://佐证"" type=""normalized"">佐证</a>”<x-f>。</x-f>
"
