rank,hanzi,pinyin,raw_html
5530,唛,mài,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>唛</x-hw><x-pr> mài</x-pr>（嘜）
<dt><x-gram>名</x-gram><x-etym>英语 mark 音译<x-f>。</x-f></x-etym>某些地区指进出口货物的包装上所做的标记，内容包括批号、件号、抵运港口、目的地、收货人、生产国名及地名、合同号码、货名、数量等；也指商标<x-f>。</x-f></dt>（也说唛头<x-f>。</x-f>）
"
5594,踟,chí,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>踟</x-hw><x-pr> chí</x-pr>
<dt>见下。<a href=""entry://踟躇"">踟躇</a><x-f>，</x-f><a href=""entry://踟蹰"">踟蹰</a><x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>不读 zhī<x-f>。</x-f></t-note>
"
5652,颛,zhuān,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>颛</x-hw><x-pr> zhuān</x-pr>（顓）
<dt>见下。<a href=""entry://颛孙"">颛孙</a><x-f>，</x-f><a href=""entry://颛顼"">颛顼</a><x-f>。</x-f>
"
5692,鹁,bó,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>鹁</x-hw><x-pr> bó</x-pr>（鵓）
<dt>见下。<a href=""entry://鹁鸽"">鹁鸽</a><x-f>，</x-f><a href=""entry://鹁鸪"">鹁鸪</a><x-f>。</x-f>
"
5743,狷,juàn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>狷</x-hw><x-pr> juàn</x-pr>（*獧）
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>形</x-gram>急躁；偏激<x-f>。</x-f></dt><dd><x-ex><x-key>狷</x-key>急</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>形</x-g>耿直<x-f>。</x-f></dt><dd><x-ex><x-key>狷</x-key>直</x-ex></dd>
"
5828,蒟,jǔ,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>蒟</x-hw><x-pr> jǔ</x-pr>
<dt>见下。<a href=""entry://蒟酱"">蒟酱</a><x-f>，</x-f><a href=""entry://蒟蒻"">蒟蒻</a><x-f>。</x-f>
"
5880,蚍,pí,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>蚍</x-hw><x-pr> pí</x-pr>
<dt>见下。<a href=""entry://蚍蜉"">蚍蜉</a><x-f>，</x-f><a href=""entry://蚍蜉撼树"">蚍蜉撼树</a><x-f>。</x-f>
"
5935,胼,pián,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>胼</x-hw><x-pr> pián</x-pr>
<dt>见下。<a href=""entry://胼手胝足"">胼手胝足</a><x-f>，</x-f><a href=""entry://胼胝"">胼胝</a><x-f>，</x-f><a href=""entry://胼胝体"">胼胝体</a><x-f>。</x-f>
"
6001,珐,fà,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>珐</x-hw><x-pr> fà</x-pr>（*琺）
<dt>见下。<a href=""entry://珐琅"">珐琅</a><x-f>，</x-f><a href=""entry://珐琅质"">珐琅质</a><x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>不读 fǎ<x-f>。</x-f></t-note>
"
6008,醵,jù,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>醵</x-hw><x-pr> jù</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>动</x-gram>凑钱聚饮<x-f>。</x-f></dt><dd><x-ex>共<x-key>醵</x-key>为筵</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>动</x-g>凑钱；集资<x-f>。</x-f></dt><dd><x-ex><x-key>醵</x-key>资八千</x-ex></dd>
"
