rank,cihui,pinyin,raw_html
212,不过,bùguò,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>不过</x-hw><x-pr> bùguò</x-pr>
<dt><x-sn>①</x-sn><x-gram>副</x-gram>表示不超过某一范围，相当于“仅” “只”<x-f>。</x-f></dt><dd><x-ex><x-key>不过</x-key>七八里路</x-ex><x-ex><x-lb> | </x-lb>别多想，他<x-key>不过</x-key>说说罢了<x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn> <x-g>副</x-g> 用在某些形容词性词语后，表示程度最高<x-f>。</x-f></dt><dd><x-ex>这个人精明<x-key>不过</x-key></x-ex><x-ex><x-lb> | </x-lb>你能来，再好<x-key>不过</x-key><x-f>。</x-f></x-ex></dd>
<dt><x-sn>③</x-sn>连用在复句后一分句的开头<x-er>儿</x-er>，表示轻微的转折<x-f>。</x-f><dd><x-ex>担子确实重了点<x-er>儿</x-er>，<x-key>不过</x-key>我相信你能挑得起<x-f>。</x-f></x-ex></dd>
<dt><x-lb>用法说明</x-lb>见“<a href=""entry://只是"" type=""see"">只是</a>”<x-f>。</x-f>
"
809,此间,cǐjiān,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>此间</x-hw><x-pr> cǐjiān</x-pr>〈文〉
<dt><x-gram>名</x-gram>此地；这<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>据<x-key>此间</x-key>传闻</x-ex></dd>
"
904,意思,yìsi,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>意思</x-hw><x-pr> yìsi</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>用语言文字等表达出来的思想内容<x-f>。</x-f></dt><dd><x-ex>不明白这句话的<x-key>意思</x-key><x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn><x-g>名</x-g> 意义②<x-f>。</x-f></dt><dd><x-ex>抬杠没什么<x-key>意思</x-key></x-ex></dd>
<dt><x-sn>③</x-sn><x-g>名</x-g> 想法；意见<x-f>。</x-f></dt><dd><x-ex>表明他的<x-key>意思</x-key></x-ex></dd>
<dt><x-sn>④</x-sn><x-g>名</x-g> 趣味；意味<x-f>。</x-f></dt><dd><x-ex>很有<x-key>意思</x-key></x-ex></dd>
<dt><x-sn>⑤</x-sn><x-g>名</x-g> 心意<x-f>。</x-f></dt><dd><x-ex>这点<x-er>儿</x-er>礼品，只是表示一下<x-key>意思</x-key><x-f>。</x-f></x-ex></dd>
<dt><x-sn>⑥</x-sn><x-g>动</x-g> 表示一点<x-er>儿</x-er>心意<x-f>。</x-f><dd><x-ex>送点<x-er>儿</x-er>慰问品<x-key>意思</x-key><x-key>意思</x-key><x-f>。</x-f></x-ex></dd>
<dt><x-sn>⑦</x-sn><x-g>名</x-g> 某种动向或迹象<x-f>。</x-f></dt><dd><x-ex>他们没有妥协的<x-key>意思</x-key><x-f>。</x-f></x-ex></dd>
<dt><x-sn>⑧</x-sn><x-g>名</x-g> 情意<x-f>。</x-f></dt><dd><x-ex>他们俩有那么点<x-er>儿</x-er><x-key>意思</x-key><x-f>。</x-f></x-ex></dd>
<dt><x-lb>用法说明</x-lb>㊀见“<a href=""entry://意义"" type=""see"">意义</a>”<x-f>。</x-f>㊁⑥一般须叠用<x-f>。</x-f>
"
1131,好像,hǎoxiàng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>好像</x-hw><x-pr> hǎoxiàng</x-pr>
<dt><x-sn>①</x-sn><x-gram>动</x-gram>有点<x-er>儿</x-er>像；类似<x-f>。</x-f><dd><x-ex>草原上的羊群，<x-key>好像</x-key>绿波里倒映着的白云<x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn> <x-g>副</x-g> 表示不很肯定，相当于“似乎” “大概”<x-f>。</x-f></dt><dd><x-ex>他<x-key>好像</x-key>明白我的意思了<x-f>。</x-f></x-ex></dd>
<dt><x-lb>用法说明</x-lb>㊀“像”这里不要误写作“象”。㊁见“<a href=""entry://似乎"" type=""see"">似乎</a>”<x-f>。</x-f>
"
2199,小康,xiǎokāng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>小康</x-hw><x-pr> xiǎokāng</x-pr>
<dt><x-gram>名</x-gram>《礼记·礼运》中指稍逊于儒家心目中的理想社会“大同”的一种社会局面；今指中等生活水平的家庭经济状况；也指中等发达国家水平的社会经济状况<x-f>。</x-f><dd><x-ex><x-key>小康</x-key>社会</x-ex></dd>
"
2203,基因,jīyīn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>基因</x-hw><x-pr> jīyīn</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 gene 音译<x-f>。</x-f></x-etym>生物体携带和传递遗传信息的基本单位。存在于细胞核内的染色体上<x-f>。</x-f></dt>
"
2832,回头,huítóu,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>回头</x-hw><x-pr> huítóu</x-pr>
<dt><x-sn>①</x-sn><x-gram>动</x-gram>向后扭头<x-f>。</x-f></dt><dd><x-ex><x-key>回头</x-key>看</x-ex><x-ex><x-lb> | </x-lb>回了一下头</x-ex></dd>
<dt><x-sn>②</x-sn><x-g>动</x-g> 返回来<x-f>。</x-f></dt><dd><x-ex><x-key>回头</x-key>重做一遍</x-ex></dd>
<dt><x-sn>③</x-sn><x-g>动</x-g> 比喻悔改<x-f>。</x-f></dt><dd><x-ex>浪子<x-key>回头</x-key>金不换</x-ex></dd>
<dt><x-sn>④</x-sn><sbl2>○</sbl2><x-g>副</x-g>过一段时间；稍等一会<x-er>儿</x-er><x-f>。</x-f><dd><x-ex><x-key>回头</x-key>我再找你</x-ex></dd>
"
2853,颗粒,kēlì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>颗粒</x-hw><x-pr> kēlì</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>小而圆或小碎块<x-er>儿</x-er>状的东西<x-f>。</x-f><dd><x-ex><x-key>颗粒</x-key>饱满</x-ex></dd>
<dt><x-sn>②</x-sn><x-g>名</x-g> 指一颗一粒（粮食）<x-f>。</x-f></dt><dd><x-ex><x-key>颗粒</x-key>归仓</x-ex></dd>
"
2995,不懈,bùxiè,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>不懈</x-hw><x-pr> bùxiè</x-pr>
<dt><x-gram>形</x-gram>不偷懒；不松劲<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>常备<x-key>不懈</x-key></x-ex></dd>
"
3088,干净,gānjìng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>干净</x-hw><x-pr> gānjìng</x-pr>
<dt><x-sn>①</x-sn><x-gram>形</x-gram>清洁；不脏<x-f>。</x-f></dt><x-dd>▷</x-dd><x-ex>把手洗<x-key>干净</x-key></x-ex><x-lb> | </x-lb>◇嘴<x-key>干净</x-key>点<x-er>儿</x-er>，别骂人<x-f>。</x-f>
<dt><x-sn>②</x-sn> <x-g>形</x-g> 一点<x-er>儿</x-er>不剩<x-f>。</x-f><dd><x-ex>东西都搬<x-key>干净</x-key>了</x-ex></dd>
<dt><x-sn>③</x-sn> <x-g>形</x-g> 形容说话、做事干脆利落，不拖泥带水<x-f>。</x-f></dt><dd><x-ex>动作<x-key>干净</x-key>利落</x-ex></dd>
"
3222,凡是,fánshì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>凡是</x-hw><x-pr> fánshì</x-pr>
<dt><x-gram>副</x-gram>凡1③<x-f>。</x-f><dd><x-ex><x-key>凡是</x-key>应该做的，都要努力去做<x-f>。</x-f></x-ex></dd>
"
3550,开口,kāikǒu,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>开口</x-hw><x-pr> kāikǒu</x-pr>
<dt><x-sn>①</x-sn><x-gram>动</x-gram>张开嘴；借指说话、演唱、提出请求等<x-f>。</x-f></dt><dd><x-ex>没等别人说完，他就先<x-key>开口</x-key>了</x-ex><x-ex><x-lb> | </x-lb>不好意思<x-key>开口</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><x-g>动</x-g> 打开口子；裂开口子；留出口子<x-f>。</x-f></dt><dd><x-ex><x-key>开口</x-key>引水</x-ex><x-ex><x-lb> | </x-lb>豆荚<x-key>开口</x-key>了</x-ex><x-ex><x-lb> | </x-lb>这件毛衣<x-key>开口</x-key>太低<x-f>。</x-f></x-ex></dd>
<dt><x-sn>③</x-sn><sbl2>○</sbl2><x-g>动</x-g>开刃<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>这把刀还没<x-key>开口</x-key></x-ex></dd>
"
3764,男性,nánxìng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>男性</x-hw><x-pr> nánxìng</x-pr>
<dt><x-sn>①</x-sn><x-gram>区别</x-gram>男1①<x-f>。</x-f><dd><x-ex><x-key>男性</x-key>公民</x-ex></dd>
<dt><x-sn>②</x-sn><x-g>名</x-g> 指男子<x-f>。</x-f></dt><dd><x-ex>公司新增了三名职员，两名<x-key>男性</x-key>，一名女性<x-f>。</x-f></x-ex></dd>
"
3818,基督,jīdū,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>基督</x-hw><x-pr> jīdū</x-pr>
<dt><x-gram>名</x-gram><x-etym>希腊语 Khristos 音译<x-f>。</x-f></x-etym>救世主。基督教认为耶稣是救世主，故用来专称耶稣<x-f>。</x-f></dt>
"
3897,垄断,lǒngduàn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>垄断</x-hw><x-pr> lǒngduàn</x-pr>
<dt><x-gram>动</x-gram>《孟子·公孙丑下》：“必求龙（垄）断而登之，以左右望而罔市利。”意思是站在集市的高地上操纵贸易。后指把持和独占（多用于经济贸易方面）<x-f>。</x-f><dd><x-ex><x-key>垄断</x-key>行业</x-ex></dd>
"
3988,耶和华,yēhéhuá,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>耶和华</x-hw><x-pr> yēhéhuá</x-pr><br><x-gram>名</x-gram><x-etym>希伯来语 Yěhōwāh 音译<x-f>。</x-f></x-etym>犹太教中最高的神。基督教指上帝<x-f>。</x-f></dt>
"
4277,坦克,tǎnkè,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>坦克</x-hw><x-pr> tǎnkè</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 tank 音译<x-f>。</x-f></x-etym>装有火炮、机枪和旋转炮塔的履带式装甲战车。具有进攻与防护相结合的特点<x-f>。</x-f></dt>（也说坦克车<x-f>。</x-f>）
"
4798,沙发,shāfā,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>沙发</x-hw><x-pr> shāfā</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 sofa 音译<x-f>。</x-f></x-etym>装有弹簧或软垫的带靠背的坐具<x-f>。</x-f></dt>
"
4816,穆斯林,mùsīlín,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>穆斯林</x-hw><x-pr> mùsīlín</x-pr>
<dt><x-gram>名</x-gram><x-etym>阿拉伯语 Muslim 音译<x-f>。</x-f></x-etym>伊斯兰教教徒的通称<x-f>。</x-f></dt>
"
