rank,cihui,pinyin,raw_html
80024,优盘,yōupán,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>优盘</x-hw><x-pr> yōupán</x-pr><br><x-gram>名</x-gram>闪存盘。因连接在电子计算机 USB 接口上使用，故称<x-f>（</x-f>优：英文字母U的音译<x-f>）</x-f><x-f>。</x-f>
"
80111,音值,yīnzhí,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>音值</x-hw><x-pr> yīnzhí</x-pr>
<dt><x-gram>名</x-gram>音素的实际读音。通常要用国际音标表示。如汉语普通话 zhā 这个音节中的a和 zhāi 这个音节中的a音值不同。用国际音标表示，前者为[A]，后者则为[a]<x-f>。</x-f></dt>
"
80418,复辅音,fùfǔyīn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>复辅音</x-hw><x-pr> fùfǔyīn</x-pr>
<dt><x-gram>名</x-gram>同一个音节中连在一起的两个或两个以上的辅音。如英语 strong 中的“str”。现代汉语普通话中没有复辅音<x-f>。</x-f></dt>
"
80538,曼陀林,màntuólín,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>曼陀林</x-hw><x-pr> màntuólín</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 mandoline 音译<x-f>。</x-f></x-etym>弦乐器，琴身呈半梨形，有四对金属弦，用玳瑁、象牙或塑料制的拨子弹奏。也译作曼德林<x-f>。</x-f></dt>
"
80578,麦糠,màikāng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>麦糠</x-hw><x-pr> màikāng</x-pr>
<dt><x-gram>名</x-gram>紧贴在麦粒外面的皮<x-er>儿</x-er>，一般在脱粒时就被分离出来<x-f>。</x-f>
"
80627,肉馅儿,ròuxiànr,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>肉馅<x-er>儿</x-er></x-hw><x-pr> ròuxiànr</x-pr>
<dt><x-gram>名</x-gram>以细碎的肉为主制成的馅<x-er>儿</x-er><x-f>。</x-f><dd><x-ex><x-key>肉馅儿</x-key>包子</x-ex></dd>
"
80714,囫囵个儿,húlúngèr,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>囫囵个<x-er>儿</x-er></x-hw><x-pr> húlúngèr</x-pr>〈口〉
<dt><x-gram>形</x-gram>整个<x-er>儿</x-er>；完整不破碎<x-f>。</x-f><dd><x-ex>药片别咬碎，<x-key>囫囵个儿</x-key>吞下去<x-f>。</x-f></x-ex></dd>
"
80739,菜包子,càibāozi,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>菜包子</x-hw><x-pr> càibāozi</x-pr>
<dt><x-gram>名</x-gram>指主要用蔬菜做馅<x-er>儿</x-er>的包子。有时用作骂人的话，比喻无用的人<x-f>。</x-f>
"
81157,非条件反射,fēitiáojiàn fǎnshè,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>非条件反射</x-hw><x-pr> fēitiáojiàn fǎnshè</x-pr>
<dt>正常的人和动物生来就有的反射功能。如食物入口便引起唾液分泌<x-f>。</x-f></dt>（也说无条件反射<x-f>。</x-f>）
<dt>“<a type=""参见"" href=""x-dictionary:r:000DFF9:com.apple.dictionary.zh_CN.SDCC"" title=""条件反射"">条件反射</a>”<x-f>。</x-f>
"
81369,多音字,duōyīnzì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>多音字</x-hw><x-pr> duōyīnzì</x-pr><br><x-gram>名</x-gram>不止一个读音的字。如“重”在“沉重” “重视”等词中读 zhòng，在“重叠” “重复”等词中读 chóng，“重”是多音字<x-f>。</x-f></dt>
"
81589,记事儿,jìshìr,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>记事<x-er>儿</x-er></x-hw><x-pr> jìshìr</x-pr>
<dt><x-gram>动</x-gram>（小孩<x-er>儿</x-er>）开始具有记忆能力<x-f>。</x-f><dd><x-ex>在他<x-key>记事儿</x-key>以前，爷爷就去世了<x-f>。</x-f></x-ex></dd>
"
