rank,cihui,pinyin,raw_html
60002,出摊儿,chūtānr,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>出摊<x-er>儿</x-er></x-hw><x-pr> chūtānr</x-pr>
<dt><x-gram>动</x-gram>摆出摊<x-er>儿</x-er>卖货<x-f>。</x-f><dd><x-ex>天刚亮就<x-key>出摊儿</x-key></x-ex></dd>
"
60068,童便,tóngbiàn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>童便</x-hw><x-pr> tóngbiàn</x-pr>
<dt><x-gram>名</x-gram>中医指12岁以下健康男孩<x-er>儿</x-er>的尿，可以做药材<x-f>。</x-f>
"
60191,枣泥,zǎoní,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>枣泥</x-hw><x-pr> zǎoní</x-pr>
<dt><x-gram>名</x-gram>煮熟的枣<x-er>儿</x-er>除去皮、核捣成的泥状物，可做馅<x-er>儿</x-er><x-f>。</x-f><dd><x-ex><x-key>枣泥</x-key>馅<x-er>儿</x-er>点心</x-ex></dd>
"
60293,翻云覆雨,fānyún-fùyǔ,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>翻云覆雨</x-hw><x-pr> fānyún-fùyǔ</x-pr>
<dt>唐·杜甫《贫交行》：“翻手作云覆手雨，纷纷轻薄何须数。”后用“翻云覆雨”比喻反复无常或玩弄权术<x-f>。</x-f>（也说翻手为云，覆手为雨<x-f>。</x-f>）<t-note><x-lb>用法说明</x-lb>“覆”不要误写作“复”<x-f>。</x-f></t-note>
"
60302,腰花,yāohuā,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>腰花</x-hw><x-pr> yāohuā</x-pr>
<dt><x-gram>名</x-gram>划出交叉刀痕并切成小块<x-er>儿</x-er>的猪、羊等的腰子（肾），供烹调后食用<x-f>。</x-f><dd><x-ex>炒<x-key>腰花</x-key></x-ex></dd>
"
60311,冤家路窄,yuānjiā-lùzhǎi,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>冤家路窄</x-hw><x-pr> yuānjiā-lùzhǎi</x-pr>
<dt>仇人或不愿相见的人，却偏偏碰到一块<x-er>儿</x-er>。比喻矛盾回避不了<x-f>。</x-f>
"
60370,顶针,dǐngzhen,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>顶针</x-hw><x-pr> dǐngzhen</x-pr>
<dt><x-gram>名</x-gram>做针线活<x-er>儿</x-er>用的一种圆箍状用具，用金属或其他材料制成，上面有很多小窝。套在手指上，用来顶住针鼻<x-er>儿</x-er>，使针容易扎进，而手指不致顶伤<x-f>。</x-f>
"
60451,的确良,díquèliáng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>的确良</x-hw><x-pr> díquèliáng</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 Dacron 音译<x-f>。</x-f></x-etym>涤纶纯纺或混纺织品，耐磨，易洗易干，不变形<x-f>。</x-f></dt>
"
60547,削足适履,xuēzú-shìlǚ,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>削足适履</x-hw><x-pr> xuēzú-shìlǚ</x-pr>
<dt>脚大鞋小，为了穿上鞋而把脚削去一点<x-er>儿</x-er>。比喻无原则地迁就现成条件或不顾客观条件生搬硬套<x-f>。</x-f>
"
60622,联绵,liánmián,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>联绵</x-hw><x-pr> liánmián</x-pr>
<dt>现在规范词形写作“<a href=""entry://连绵"" type=""normalized"">连绵</a>”<x-f>。</x-f>
"
60640,党同伐异,dǎngtóng-fáyì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>党同伐异</x-hw><x-pr> dǎngtóng-fáyì</x-pr>
<dt>跟自己意见相同的人就结为一伙<x-er>儿</x-er>、互相偏袒，跟自己意见不同的人就排斥、打击<x-f>。</x-f>
"
60700,倒彩,dàocǎi,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>倒彩</x-hw><x-pr> dàocǎi</x-pr>
<dt><x-gram>名</x-gram>倒好<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>喝<x-key>倒彩</x-key></x-ex></dd>
"
60702,松仁,sōngrén,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>松仁</x-hw><x-pr> sōngrén</x-pr>
<dt><x-gram>名</x-gram>松子里面的仁<x-er>儿</x-er>。味芳香，可榨油或食用<x-f>。</x-f>
"
60919,黄金分割,huángjīn fēngē,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>黄金分割</x-hw><x-pr> huángjīn fēngē</x-pr>
<dt>造型艺术中最容易给人美感的构图法则。分割的方法是把一条线分成两部分，全长跟其中较长的一部分的比等于这一部分跟余下部分的比，即a∶b＝b∶（a-b）。这一部分约等于全长的0.618<x-f>。</x-f>（也说中外比<x-f>。</x-f>）
"
61189,串门儿,chuànménr,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>串门<x-er>儿</x-er></x-hw><x-pr> chuànménr</x-pr>
<dt><x-gram>动</x-gram>到别人家去闲坐聊天<x-er>儿</x-er><x-f>。</x-f><x-dd>▷</x-dd><x-ex>他常到邻家去<x-key>串门儿</x-key>，拉家常<x-f>。</x-f></x-ex>（也说串门子<x-f>。</x-f>）
"
61433,切糕,qiēgāo,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>切糕</x-hw><x-pr> qiēgāo</x-pr>
<dt><x-gram>名</x-gram>用糯米粉或黄米面加上豆沙等蒸制而成的糕。块<x-er>儿</x-er>大，食用时按需切开，故称<x-f>。</x-f>
"
61504,伸腰,shēnyāo,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>伸腰</x-hw><x-pr> shēnyāo</x-pr>
<dt><x-gram>动</x-gram>挺直腰板<x-er>儿</x-er><x-f>。</x-f><dd><x-ex><x-key>伸腰</x-key>踢腿</x-ex></dd>
"
