rank,cihui,pinyin,raw_html
75210,花糕,huāgāo,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>花糕</x-hw><x-pr> huāgāo</x-pr>
<dt><x-gram>名</x-gram>一种传统糕点。用油、糖和（huó）面，叠成上小下大的多层圆饼（也有仅两层的），层与层之间铺上果料<x-er>儿</x-er>，经烘烤或蒸制而成<x-f>。</x-f>
"
75222,倒赔,dàopéi,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>倒赔</x-hw><x-pr> dàopéi</x-pr>
<dt><x-gram>动</x-gram>不但没赚着，反而赔了本<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>这批货没赚着钱，还<x-key>倒赔</x-key>几百元<x-f>。</x-f></x-ex></dd>
"
75446,吊线,diàoxiàn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>吊线</x-hw><x-pr> diàoxiàn</x-pr>
<dt><x-gram>动</x-gram>木工、瓦工干活<x-er>儿</x-er>时，在绳线下端吊重物而形成垂线，以求得垂直线或垂直面<x-f>。</x-f>
"
75536,米粉肉,mǐfěnròu,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>米粉肉</x-hw><x-pr> mǐfěnròu</x-pr>
<dt><x-gram>名</x-gram>肉片<x-er>儿</x-er>加米粉、作料等蒸熟而成的菜肴<x-f>。</x-f>（也说粉蒸肉<x-f>。</x-f>）
"
75537,纱笼,shālóng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>纱笼</x-hw><x-pr> shālóng</x-pr>
<dt><x-gram>名</x-gram><x-etym>马来语 saro ṅ音译<x-f>。</x-f></x-etym>东南亚一带人用来围裹腰腿的下装。样子像长裙，男女老少都穿<x-f>。</x-f></dt>
"
75545,串味儿,chuànwèir,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>串味<x-er>儿</x-er></x-hw><x-pr> chuànwèir</x-pr>
<dt><x-gram>动</x-gram>不同的食品或食品与其他物品长时间放在一起，因气味互相影响而变味<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>放入冰箱的食品应包好或盖好，以免<x-key>串味儿</x-key><x-f>。</x-f></x-ex></dd>
"
75658,污七八糟,wūqībāzāo,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>污七八糟</x-hw><x-pr> wūqībāzāo</x-pr>
<dt>现在规范词形写作“<a href=""entry://乌七八糟"" type=""normalized"">乌七八糟</a>”<x-f>。</x-f>
"
75881,生拉硬拽,shēnglā-yìngzhuài,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>生拉硬拽</x-hw><x-pr> shēnglā-yìngzhuài</x-pr>
<dt><x-sn>①</x-sn>使劲<x-er>儿</x-er>拉扯，强迫别人顺从自己<x-f>。</x-f>
<dt><x-sn>②</x-sn>比喻牵强附会，把没有联系的事硬拉扯在一起<x-f>。</x-f></dt>
"
75917,快板儿,kuàibǎnr,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>快板<x-er>儿</x-er></x-hw><x-pr> kuàibǎnr</x-pr>
<dt><x-gram>名</x-gram>一种曲艺，把要说的内容编成韵语，一边说，一边用竹板打节拍，节奏较快。有单口、对口、快板<x-er>儿</x-er>群（三人以上表演）之分<x-f>。</x-f>（也说快板<x-er>儿</x-er>书<x-f>。</x-f>）
"
75971,星星之火，可以燎原,xīngxīngzhīhuǒ，kěyǐ-liáoyuán,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>星星之火，可以燎原</x-hw><x-pr> xīngxīngzhīhuǒ，kěyǐ-liáoyuán</x-pr>
<dt>一点点火星<x-er>儿</x-er>可以引起烧遍原野的大火；比喻开始时显得弱小的新生事物，富有强大的生命力，能够逐步发展壮大<x-f>。</x-f>
"
