rank,cihui,pinyin,raw_html
90099,热炒热卖,rèchǎo-rèmài,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>热炒热卖</x-hw><x-pr> rèchǎo-rèmài</x-pr>
<dt>刚炒熟的食物趁热卖掉；比喻刚学到一点<x-er>儿</x-er>东西马上就去教别人<x-f>。</x-f>（也说现炒现卖<x-f>。</x-f>）
"
90194,尺短寸长,chǐduǎn-cùncháng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>尺短寸长</x-hw><x-pr> chǐduǎn-cùncháng</x-pr>
<dt>《楚辞·卜居》：“尺有所短，寸有所长。”意思是尺比寸长，用于更长处却显得短；寸比尺短，用于更短处却显得长。后用“尺短寸长”比喻每个人或事物各有各的长处和短处<x-f>。</x-f>（也说尺有所短，寸有所长<x-f>。</x-f>）
"
90300,棒儿香,bàngrxiāng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>棒<x-er>儿</x-er>香</x-hw><x-pr> bàngrxiāng</x-pr>
<dt><x-gram>名</x-gram>用细竹棍<x-er>儿</x-er>或细木棍<x-er>儿</x-er>做芯子的香，便于插着燃点<x-f>。</x-f>
"
90401,豆花儿,dòuhuār,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>豆花<x-er>儿</x-er></x-hw><x-pr> dòuhuār</x-pr>
<dt><x-gram>名</x-gram>某些地区指在煮开的豆浆中加入适量盐卤而凝结成的半固体，比豆腐脑<x-er>儿</x-er>略老一些<x-f>。</x-f>
"
90444,抹得开,mòdekāi,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>抹得开</x-hw><x-pr> mòdekāi</x-pr>〈口〉
<dt><x-gram>动</x-gram>
<dt><x-sn>①</x-sn>面子上下得来<x-f>。</x-f></dt><dd><x-ex>你能<x-key>抹得开</x-key>就别答应<x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn>想得通<x-f>。</x-f></dt><dd><x-ex>这点<x-er>儿</x-er>不愉快的事我<x-key>抹得开</x-key><x-f>。</x-f></x-ex></dd>
"
90650,斗趣儿,dòuqùr,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>斗趣<x-er>儿</x-er></x-hw><x-pr> dòuqùr</x-pr>
<dt><a href=""entry://逗趣儿"" type=""normalized"">现在规范词形写作“逗趣<x-er>儿</x-er>”</a><x-f>。</x-f>
"
90680,拐脖儿,guǎibór,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>拐脖<x-er>儿</x-er></x-hw><x-pr> guǎibór</x-pr>
<dt><x-gram>名</x-gram>弯成直角的管道，用来连接两节管道使改变方向。如烟筒的拐脖<x-er>儿</x-er>，水暖管道的拐脖<x-er>儿</x-er><x-f>。</x-f>
"
90942,罗圈儿揖,luóquānryī,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>罗圈<x-er>儿</x-er>揖</x-hw><x-pr> luóquānryī</x-pr>〈口〉
<dt><x-gram>名</x-gram>身体转着圈<x-er>儿</x-er>向四周人们行的作揖礼<x-f>。</x-f>
"
90966,拔火罐儿,báhuǒguànr,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>拔火罐<x-er>儿</x-er></x-hw><x-pr> báhuǒguànr</x-pr>
<dt><x-sn>①</x-sn><x-gram>动</x-gram>拔罐<x-er>儿</x-er><x-f>。</x-f>
<dt><x-sn>②</x-sn><x-g>名</x-g> 拔火用的上细下粗的短烟筒，罩在家用煤炉的炉口上，能把火苗往上吸，使火烧旺<x-f>。</x-f></dt>
"
91017,一得之功,yīdézhīgōng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>一得之功</x-hw><x-pr> yīdézhīgōng</x-pr>
<dt>一点<x-er>儿</x-er>很小的成绩<x-f>。</x-f>
"
