rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
25099,1,三三两两,sānsān-liǎngliǎng,,,,形容三个一群、两个一伙 儿 ；也形容零零散散,
25346,2,小叶,xiǎoyè,,,名,指小叶 儿 茶，用茶树的细嫩叶子焙制而成,
25515,1,调教,tiáojiào,,,动,调理教养（多指对小孩 儿 ） 他把儿子 调教 得很懂礼貌 有目的地训练（动物） 他把猴子 调教 得真乖,
25963,1,图腾,túténg,,,名,英语 totem 音译 ，原始社会的人认为跟本氏族有血缘关系并以此作为标志的某种自然物（多为动物）,
26058,1,连用,liányòng,,,动,连在一块 儿 使用 同义词 连用 连续使用 连用 了三组排比句,
26087,1,宙斯,zhòusī,,,名,英语 zeus 音译 ，希腊神话中的主神,
26512,1,桃仁,táorén,,,名,桃核 儿 （húr）里的仁 儿 。可以做药材 核桃的仁 儿 。可制食品，也可以做药材,
26597,1,夏娃,xiàwá,,,名,希伯来语 ḥawwāh 音译 ，《圣经》故事中人类始祖亚当之妻,
26661,1,血本,xuèběn,,,名,做买卖的老本 儿 （有来之不易、是多年心血积累的意思） 不惜 血本,
26888,1,原由,yuányóu,,,,现在规范词形写作“ 缘由 ”,
27127,1,一小撮,yīxiǎocuō,,,,可用手指撮取的一点 儿 ，形容为数很少（用于人时含贬义） 一小撮 盐︱ 一小撮 坏人,
27169,1,麦克风,màikèfēng,,,名,英语 microphone 音译 ，传声器,
27309,1,苦力,kǔlì,,,名,干重活 儿 付出的劳力 卖 苦力 旧时指受雇干重活 儿 的劳动者 当 苦力,
27370,1,迪斯科,dísikē,,,名,英语 disco 音译 ，自娱性舞蹈，起源于美国黑人舞，节奏快而强烈，动作幅度大，四肢并用，无固定规范，随着音乐节奏的变化即兴发挥。可单人跳，也可双人或集体跳,
27432,1,台面,táimiàn,,,名,桌面 儿 ；明面 儿 这都是 台面 上的话 赌博时放在桌面上的赌金总数 台面 不小,
27441,1,绝收,juéshōu,,,动,没有一点 儿 收成 灾害严重，土地 绝收,
27569,1,土坯,tǔpī,,,名,把和好的黏土加上麦秸等放在模型里制成的土块 儿 （多为长方形），晒干后可以用来垒灶、盘炕、砌墙等,
27582,1,比丘,bǐqiū,,,名,梵语 Bhikṣu 音译 ，佛教指和尚,
27606,1,花生米,huāshēngmǐ,,,名,落花生去壳后的仁 儿 （也说花生豆 儿 、花生仁 儿 ）,
27611,1,一厢情愿,yīxiāng-qíngyuàn,,,,只从自己的主观愿望出发，不考虑对方是否同意或客观条件是否允许（一厢：一方面，一头 儿 ） 不能把合作开发的计划建立在 一厢情愿 的基础上,
27725,1,嘉年华,jiāniánhuá,,,名,英语 carnival 音译 ，，狂欢节,
27764,1,立等,lìděng,,,动,站着等候，表示等候的时间很短；略等一会 儿 立等 可取 急着等待（办某事） 立等 答复,
27775,1,摊贩,tānfàn,,,名,摆摊 儿 售货的小商贩,
27817,1,好端端,hǎoduānduān,,,形,好好 儿 的；无缘无故的 前天还 好端端 的，怎么今天就病了呢?,
28036,1,弥撒,mísa,,,名,拉丁语 missa 音译。天主教、东正教的主要宗教仪式。用面饼和葡萄酒象征耶稣的身体和血来祭祀天主。,
28082,1,打瞌睡,dǎkēshuì,,,,打盹 儿 ；处于半睡半醒状态,
28141,1,逃之夭夭,táozhī-yāoyāo,,,,《诗经·周南·桃夭》中“桃之夭夭”指桃树茂盛。“桃”与“逃”谐音，后借指逃跑（“夭夭”此处无义） 敌军早已 逃之夭夭,
28263,1,豆浆,dòujiāng,,,名,一种豆制食品。黄豆泡透加水磨后去渣而成。煮开后可直接食用，也可以再加工成豆腐、豆腐脑 儿 等,
28408,1,涤纶,dílún,,,名,英语 Terylene 音译 ，合成纤维的一种。弹性好，强力高，耐皱性好。多用来织的确良，做绝缘材料和绳索等,
28533,1,木乃伊,mùnǎiyī,,,名,阿拉伯语 mūmiyā 音译 ，古代埃及人用防腐剂、香料等处理后保存下来的不腐的尸体；常用来比喻僵化了的事物,
28587,1,玛利亚,mǎlìyà,,,名,英语 Mary 音译。《圣经》中指耶稣的母亲。据《福音书》记载，她是童贞女，由“圣灵感孕”而生耶稣。天主教、东正教尊之为“童贞圣母”。,
28612,1,团团转,tuántuánzhuàn,,,动,来回转圈 儿 。多用来表示忙碌、焦急 急得他 团团转,
29159,1,半信半疑,bànxìn-bànyí,,,,既有点 儿 相信，又有点 儿 怀疑,
29167,2,油茶,yóuchá,,,名,一种地方小吃。把面粉掺上牛油或牛骨髓、香油等炒熟，并加糖、芝麻等制成油茶面 儿 ，吃时用开水冲调成糊状,
29257,1,留连,liúlián,,,,现在规范词形写作“ 流连 ”,
29277,2,小兄弟,xiǎoxiōngdi,,,名,特指讲哥 儿 们义气的同伙 他有一帮 小兄弟,
29358,1,埃博拉,āibólā,,,名,英语 Ebola 音译。急性传染病，主要症状为高烧和一系列出血症。因曾在刚果民主共和国北部埃博拉河地区大规模流行，故称,
29487,1,牛马,niúmǎ,,,名,牛和马；比喻为生活所迫受人驱使从事繁重体力活 儿 的劳苦人 谁愿意做奴隶，谁愿意当 牛马 !,
29579,1,微博,wēibó,,,名,英语 microblog 音意合译 微型博客的简称。字数一般不超过140个，可以通过手机、网络更新内容,
29740,1,上座率,shàngzuòlǜ,,,名,上座 儿 的数量与全部座位数的比率 这场戏的 上座率 只有六成,
29754,1,妇孺,fùrú,,,名,妇女和小孩 儿 妇孺 皆知,
29797,2,托福,tuōfú,,,名,英语缩写词 TOEFL 音译 ，指美国对非英语国家留学生的英语考试,
29817,1,村姑,cūngū,,,名,乡村女孩 儿 粗野的女子 俗夫 村姑,
