rank,hanzi,pinyin,raw_html
76,第,dì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script>第 1 <x-pr> dì</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>次序<x-f>。</x-f></dt><dd><x-ex>次<x-key>第</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>本指封建社会中官僚、贵族的不同等级的住宅；泛指大宅子<x-f>。</x-f></dt><dd><x-ex>府<x-key>第</x-key></x-ex><x-ex><x-lb> | </x-lb>宅<x-key>第</x-key></x-ex></dd>
<dt><x-sn>③</x-sn><sbl>→</sbl><x-g>词</x-g>的前缀。加在整数前面，表示次序<x-f>。</x-f></dt><dd><x-ex><x-key>第</x-key>一个</x-ex><x-ex><x-lb> | </x-lb><x-key>第</x-key>二次</x-ex><x-ex><x-lb> | </x-lb><x-key>第</x-key>五</x-ex></dd>
<dt><x-sn>④</x-sn><sbl>→</sbl><x-g>名</x-g>科第<x-f>。</x-f></dt><dd><x-ex>进士及<x-key>第</x-key></x-ex><x-ex><x-lb> | </x-lb>落<x-key>第</x-key></x-ex></dd>
<dt><x-sn>⑤</x-sn><sbl2>○</sbl2><x-g>名</x-g>姓<x-f>。</x-f></dt></dt><hr><dt class='title'>第 2 <x-pr> dì</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>副</x-gram>表示动作不受条件限制或不必考虑条件，相当于“只管”<x-f>。</x-f></dt><dd><x-ex><x-key>第</x-key>举兵（只管起兵），吾从此助公<x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>连</x-g>连接分句，表示转折关系，相当于“但是”<x-f>。</x-f></dt><dd><x-ex>乃知此物世上多有，<x-key>第</x-key>人不识耳<x-f>。</x-f></x-ex></dd><t-note><x-lb>用法说明</x-lb>“第”字跟“笫（zǐ）”形、音、义都不同<x-f>。</x-f></t-note>
"
223,安,ān,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script>安 1 <x-pr> ān</x-pr>
<dt><x-sn>①</x-sn><x-gram>形</x-gram>安全（跟“危”相对）<x-f>。</x-f></dt><dd><x-ex>居<x-key>安</x-key>思危</x-ex><x-ex><x-lb> | </x-lb>平<x-key>安</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>形</x-g>平静；稳定<x-f>。</x-f></dt><dd><x-ex>坐立不<x-key>安</x-key></x-ex><x-ex><x-lb> | </x-lb><x-key>安</x-key>定</x-ex></dd>
<dt><x-sn>③</x-sn><sbl3>⇒</sbl3><x-g>动</x-g>使稳定<x-f>。</x-f></dt><dd><x-ex><x-key>安</x-key>邦定国</x-ex><x-ex><x-lb> | </x-lb><x-key>安</x-key>神</x-ex><x-ex><x-lb> | </x-lb><x-key>安</x-key>慰</x-ex></dd>
<dt><x-sn>④</x-sn><sbl3>⇒</sbl3><x-g>形</x-g>舒适；快乐<x-f>。</x-f></dt><dd><x-ex><x-key>安</x-key>乐</x-ex><x-ex><x-lb> | </x-lb><x-key>安</x-key>逸</x-ex></dd>
<dt><x-sn>⑤</x-sn><x-g>动</x-g> 感到满足<x-f>。</x-f></dt><dd><x-ex><x-key>安</x-key>于现状</x-ex><x-ex><x-lb> | </x-lb><x-key>安</x-key>土重迁</x-ex></dd>
<dt><x-sn>⑥</x-sn><sbl>→</sbl><x-g>动</x-g>安置<x-f>。</x-f></dt><dd><x-ex><x-key>安</x-key>家落户</x-ex><x-ex><x-lb> | </x-lb><x-key>安</x-key>顿</x-ex></dd>
<dt><x-sn>⑦</x-sn><x-g>动</x-g> 安装；装置<x-f>。</x-f></dt><dd><x-ex><x-key>安</x-key>玻璃</x-ex><x-ex><x-lb> | </x-lb><x-key>安</x-key>电话</x-ex></dd>
<dt><x-sn>⑧</x-sn><x-g>动</x-g> 怀着（不好的念头）<x-f>。</x-f></dt><dd><x-ex>没<x-key>安</x-key>好心</x-ex></dd>
<dt><x-sn>⑨</x-sn><x-g>动</x-g> 加上（名分、称号等）<x-f>。</x-f></dt><dd><x-ex>给他<x-key>安</x-key>了个罪名</x-ex></dd>
<dt><x-sn>⑩</x-sn><sbl2>○</sbl2><x-g>名</x-g>姓<x-f>。</x-f></dt></dt><hr><dt class='title'>安 2 <x-pr> ān</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>代</x-gram>表示疑问，询问处所，相当于“哪里”<x-f>。</x-f></dt><dd><x-ex>沛公<x-key>安</x-key>在?</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>代</x-g>表示反问，相当于“怎么” “哪里”<x-f>。</x-f></dt><dd><x-ex>燕雀<x-key>安</x-key>知鸿鹄之志哉?</x-ex></dd></dt><hr><dt class='title'>安 3 <x-pr> ān</x-pr>
<dt><x-gram>量</x-gram>安培的简称<x-f>。</x-f></dt>
"
352,调,diào,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script>调 1 <x-pr> diào</x-pr>（調）
<dt><x-sn>①</x-sn><x-gram>动</x-gram>使（人员、物品等）从一处移到另一处<x-f>。</x-f></dt><dd><x-ex>把他<x-key>调</x-key>到领导机关</x-ex><x-ex><x-lb> | </x-lb><x-key>调</x-key>兵遣将</x-ex><x-ex><x-lb> | </x-lb>抽<x-key>调</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>动</x-g>调查<x-f>。</x-f></dt><dd><x-ex>内查外<x-key>调</x-key></x-ex><x-ex><x-lb> | </x-lb>函<x-key>调</x-key></x-ex></dd></dt><hr><dt class='title'>调 1 <x-pr> tiáo</x-pr>（調）
<dt><x-sn>①</x-sn><x-gram>形</x-gram>和谐；配合得当<x-f>。</x-f></dt><dd><x-ex>风<x-key>调</x-key>雨顺</x-ex><x-ex><x-lb> | </x-lb>协<x-key>调</x-key></x-ex><x-ex><x-lb> | </x-lb>比例失<x-key>调</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>动</x-g>使配合得当<x-f>。</x-f></dt><dd><x-ex>把加了稀料的油漆<x-key>调</x-key>了<x-key>调</x-key></x-ex><x-ex><x-lb> | </x-lb>这台收音机总是<x-key>调</x-key>不好</x-ex><x-ex><x-lb> | </x-lb><x-key>调</x-key>味</x-ex></dd>
<dt><x-sn>③</x-sn><sbl>→</sbl><x-g>动</x-g>调解；使和谐<x-f>。</x-f></dt><dd><x-ex><x-key>调</x-key>处（chǔ）</x-ex><x-ex><x-lb> | </x-lb><x-key>调</x-key>停</x-ex></dd>
<dt><x-sn>④</x-sn><sbl>→</sbl><x-g>动</x-g>调整<x-f>。</x-f></dt><dd><x-ex><x-key>调</x-key>工资</x-ex><x-ex><x-lb> | </x-lb><x-key>调</x-key>价</x-ex><x-ex><x-lb> | </x-lb><x-key>调</x-key>节</x-ex></dd></dt><hr><dt class='title'>调 2 <x-pr> diào</x-pr>（調）
<dt><x-sn>①</x-sn><x-gram>名</x-gram>标示乐音音高的名称。乐曲用什么音作 do（基音），就是什么调，比如现代乐谱中用A作 do 就是A调，传统乐谱中用“工”作基音就是“工”字调<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>曲调，不同高低长短的声音配合起来组成的旋律，能表现一定的音乐意义<x-f>。</x-f></dt><dd><x-ex>这首歌的<x-key>调</x-key>很好听<x-f>。</x-f></x-ex></dd>
<dt><x-sn>③</x-sn><sbl3>⇒</sbl3><x-g>名</x-g>特指戏曲中成系统的曲调<x-f>。</x-f></dt><dd><x-ex>西皮<x-key>调</x-key></x-ex><x-ex><x-lb> | </x-lb>二黄<x-key>调</x-key></x-ex></dd>
<dt><x-sn>④</x-sn><sbl3>⇒</sbl3><x-g>名</x-g>指说话的声音特点；口音<x-f>。</x-f></dt><dd><x-ex>他说话的<x-key>调</x-key><x-er>儿</x-er>，不像北京人</x-ex><x-ex><x-lb> | </x-lb>南腔北<x-key>调</x-key></x-ex></dd>
<dt><x-sn>⑤</x-sn><sbl>→</sbl><x-g>名</x-g>比喻风格、才情等<x-f>。</x-f></dt><dd><x-ex>格<x-key>调</x-key></x-ex><x-ex><x-lb> | </x-lb>笔<x-key>调</x-key></x-ex><x-ex><x-lb> | </x-lb>情<x-key>调</x-key></x-ex></dd>
<dt><x-sn>⑥</x-sn><sbl>→</sbl><x-g>名</x-g>指语音上的声调，即字音的高低升降<x-f>。</x-f></dt><dd><x-ex><x-key>调</x-key>类</x-ex><x-ex><x-lb> | </x-lb><x-key>调</x-key>值</x-ex></dd><t-note><x-lb>用法说明</x-lb>“调”字读 diào，指动作、行为时都与转移或调查有关，如“调动” “函调”。读 tiáo，形容和谐，如“协调” “失调” “风调雨顺”；引申为使调和，如“调节” “调理” “调味”；再引申为拨动、搬弄，如“调戏” “调唆”<x-f>。</x-f></t-note><x-ref>另见</x-ref><a href=""entry://调"" type=""seealso"">tiáo</a><x-f>。</x-f></dt><hr><dt class='title'>调 2 <x-pr> tiáo</x-pr>（調）
<dt><x-sn>①</x-sn><x-gram>动</x-gram>嘲弄；挑逗<x-f>。</x-f></dt><dd><x-ex><x-key>调</x-key>笑</x-ex><x-ex><x-lb> | </x-lb><x-key>调</x-key>侃</x-ex><x-ex><x-lb> | </x-lb><x-key>调</x-key>戏</x-ex><x-ex><x-lb> | </x-lb><x-key>调</x-key>情</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>动</x-g>挑拨；教唆<x-f>。</x-f></dt><dd><x-ex><x-key>调</x-key>唆</x-ex></dd>
<dt><x-ref>另见</x-ref><a href=""entry://调"" type=""seealso"">diào</a><x-f>。</x-f>
"
526,哪,né,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>哪</x-hw><x-pr> na</x-pr>
<dt><x-gram>助</x-gram>“啊（a）”受前一个字韵尾n的影响而产生的音变<x-f>。</x-f></dt><dd><x-ex>你让我等多少年（nián）<x-key>哪</x-key>!</x-ex><x-ex><x-lb> | </x-lb>这<x-er>儿</x-er>怎么没有人（rén）<x-key>哪</x-key>?</x-ex><x-ex><x-lb> | </x-lb>这里的河水可真浑（hún）<x-key>哪</x-key>!</x-ex></dd>
<dt><x-ref>另见</x-ref><a href=""entry://哪"" type=""seealso"">nǎ</a><x-f>；</x-f><a href=""entry://哪"" type=""seealso"">nǎi</a><x-f>；</x-f><a href=""entry://哪"" type=""seealso"">né</a><x-f>；</x-f><a href=""entry://哪"" type=""seealso"">něi</a><x-f>。</x-f></dt><hr><dt class='title'><x-hw>哪</x-hw><x-pr> nǎ</x-pr>
<dt><x-sn>①</x-sn><x-gram>代</x-gram>表示疑问，要求在同类事物中加以确认<x-f>。</x-f></dt>
<dt><x-a>a.</x-a> 单用<x-f>。</x-f></dt><x-dd>▷</x-dd><x-ex>分不清<x-key>哪</x-key>是对，<x-key>哪</x-key>是错<x-f>。</x-f></x-ex>
<dt><x-a>b.</x-a> 用在量词或数量短语前面<x-f>。</x-f></dt><dd><x-ex><x-key>哪</x-key>把铁锹是你的?</x-ex><x-ex><x-lb> | </x-lb>你喜欢<x-key>哪</x-key>几种花色?</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>代</x-g>指任何一个，后面常有“都” “也”呼应，或用两个“哪”前后呼应<x-f>。</x-f></dt><dd><x-ex><x-key>哪</x-key>双鞋也不合适</x-ex><x-ex><x-lb> | </x-lb><x-key>哪</x-key>件质量好买<x-key>哪</x-key>件<x-f>。</x-f></x-ex></dd>
<dt><x-sn>③</x-sn><sbl>→</sbl><x-g>代</x-g>指不确定的一个<x-f>。</x-f></dt><dd><x-ex><x-key>哪</x-key>天有空<x-er>儿</x-er>我得进趟城<x-f>。</x-f></x-ex></dd>
<dt><x-sn>④</x-sn><sbl>→</sbl><x-g>代</x-g>用于反问，表示否定<x-f>。</x-f></dt><dd><x-ex>天下<x-key>哪</x-key>有这样的事?</x-ex></dd><t-note><x-lb>用法说明</x-lb>㊀口语里，“哪”①—③单用时读 nǎ；后面跟着量词或数量短语时常读 něi 或 nǎi，是“哪一”的合音。㊁读 na，是句末语气词；读 né，用于音译词“哪吒（zhā）”（佛教护法神名）<x-f>。</x-f></t-note><x-ref>另见</x-ref><a href=""entry://哪"" type=""seealso"">na</a><x-f>；</x-f><a href=""entry://哪"" type=""seealso"">nǎi</a><x-f>；</x-f><a href=""entry://哪"" type=""seealso"">né</a><x-f>；</x-f><a href=""entry://哪"" type=""seealso"">něi</a><x-f>。</x-f></dt><hr><dt class='title'><x-hw>哪</x-hw><x-pr> nǎi</x-pr>义同“哪（nǎ）”①—③，用于口语<x-f>。</x-f></dt>
<dt><x-ref>另见</x-ref><a href=""entry://哪"" type=""seealso"">nǎ</a><x-f>；</x-f><a href=""entry://哪"" type=""seealso"">na</a><x-f>；</x-f><a href=""entry://哪"" type=""seealso"">né</a><x-f>；</x-f><a href=""entry://哪"" type=""seealso"">něi</a><x-f>。</x-f></dt><hr><dt class='title'><x-hw>哪</x-hw><x-pr> né</x-pr>哪吒<x-pr> nézhā</x-pr> <x-g>名</x-g> 
<dt>梵语音译词“哪吒俱伐罗（Nalakūvara 或 Nalakūbara）”的简称。原为佛教中的护法神，传说是毗沙门天王之子；后来成为神话小说《西游记》《封神演义》中的一个人物<x-f>。</x-f></dt><t-note><x-lb>用法说明</x-lb>“吒”读 zhà 时是“咤”的异体字；读 zhā，用于“哪吒”等神话中的人名时，是规范字<x-f>。</x-f></t-note><x-ref>另见</x-ref><a href=""entry://哪"" type=""seealso"">nǎ</a><x-f>；</x-f><a href=""entry://哪"" type=""seealso"">na</a><x-f>；</x-f><a href=""entry://哪"" type=""seealso"">nǎi</a><x-f>；</x-f><a href=""entry://哪"" type=""seealso"">něi</a><x-f>。</x-f></dt><hr><dt class='title'><x-hw>哪</x-hw><x-pr> něi</x-pr>义同“哪（nǎ）”①—③，用于口语<x-f>。</x-f></dt>
<dt><x-ref>另见</x-ref><a href=""entry://哪"" type=""seealso"">nǎ</a><x-f>；</x-f><a href=""entry://哪"" type=""seealso"">na</a><x-f>；</x-f><a href=""entry://哪"" type=""seealso"">nǎi</a><x-f>；</x-f><a href=""entry://哪"" type=""seealso"">né</a><x-f>。</x-f>
"
786,介,jiè,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script>介 1 <x-pr> jiè</x-pr>
<dt><x-sn>①</x-sn><x-gram>动</x-gram>处在两者之间<x-f>。</x-f></dt><dd><x-ex>产品质量<x-key>介</x-key>于优劣之间</x-ex><x-ex><x-lb> | </x-lb><x-key>介</x-key>入</x-ex><x-ex><x-lb> | </x-lb><x-key>介</x-key>音</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>动</x-g>使二者发生联系<x-f>。</x-f></dt><dd><x-ex><x-key>介</x-key>绍</x-ex><x-ex><x-lb> | </x-lb><x-key>介</x-key>词</x-ex></dd>
<dt><x-sn>③</x-sn><x-g>名</x-g> 使二者发生联系的人或事<x-f>。</x-f></dt><dd><x-ex>媒<x-key>介</x-key></x-ex><x-ex><x-lb> | </x-lb>中<x-key>介</x-key></x-ex></dd>
<dt><x-sn>④</x-sn><sbl2>○</sbl2><x-g>动</x-g>存留；放在（心里）<x-f>。</x-f></dt><dd><x-ex><x-key>介</x-key>意</x-ex><x-ex><x-lb> | </x-lb><x-key>介</x-key>怀</x-ex></dd>
<dt><x-sn>⑤</x-sn><sbl2>○</sbl2><x-g>名</x-g>姓<x-f>。</x-f></dt></dt><hr><dt class='title'>介 2 <x-pr> jiè</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>铠甲<x-f>。</x-f></dt><dd><x-ex><x-key>介</x-key>胄</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>甲壳<x-f>。</x-f></dt><dd><x-ex><x-key>介</x-key>虫</x-ex></dd>
<dt><x-sn>③</x-sn><x-g>名</x-g> 带甲壳的水生动物<x-f>。</x-f></dt><dd><x-ex>鳞<x-key>介</x-key></x-ex></dd></dt><hr><dt class='title'>介 3 <x-pr> jiè</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>量</x-gram>用于人，相当于“个”<x-f>。</x-f></dt><dd><x-ex>一<x-key>介</x-key>书生</x-ex><x-ex><x-lb> | </x-lb>一<x-key>介</x-key>武夫</x-ex></dd>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>形</x-g>正直；有骨气<x-f>。</x-f></dt><dd><x-ex>耿<x-key>介</x-key></x-ex><x-ex><x-lb> | </x-lb>贞<x-key>介</x-key></x-ex></dd></dt><hr><dt class='title'>介 4 <x-pr> jiè</x-pr>
<dt><x-gram>名</x-gram>古代戏曲剧本中指示动作、情态和效果的术语<x-f>。</x-f></dt><dd><x-ex>坐<x-key>介</x-key></x-ex><x-ex><x-lb> | </x-lb>哭<x-key>介</x-key></x-ex><x-ex><x-lb> | </x-lb>犬吠<x-key>介</x-key></x-ex></dd>
"
933,额,é,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>额</x-hw><x-pr> é</x-pr>（額*頟）
<dt><x-sn>①</x-sn><x-gram>名</x-gram>人的头发以下眉毛以上的部位；某些动物头部大致与此相当的部位。通称额头。俗称脑门<x-er>儿</x-er>、脑门子<x-f>。</x-f>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>物体上部接近顶端的部分<x-f>。</x-f></dt><dd><x-ex>门<x-key>额</x-key></x-ex><x-ex><x-lb> | </x-lb>碑<x-key>额</x-key></x-ex></dd>
<dt><x-sn>③</x-sn><sbl3>⇒</sbl3><x-g>名</x-g>挂在门楣上或墙上的匾<x-f>。</x-f></dt><dd><x-ex>匾<x-key>额</x-key></x-ex><x-ex><x-lb> | </x-lb>横<x-key>额</x-key></x-ex></dd>
<dt><x-sn>④</x-sn><sbl3>⇒</sbl3><x-g>名</x-g>数目的上限；限定的数目<x-f>。</x-f></dt><dd><x-ex>超<x-key>额</x-key></x-ex><x-ex><x-lb> | </x-lb>数<x-key>额</x-key></x-ex></dd>
<dt><x-sn>⑤</x-sn><sbl2>○</sbl2><x-g>名</x-g>姓<x-f>。</x-f></dt>
"
1014,固,gù,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script>固 1 <x-pr> gù</x-pr>
<dt><x-sn>①</x-sn><x-gram>形</x-gram>结实；牢靠<x-f>。</x-f></dt><dd><x-ex>本<x-key>固</x-key>枝荣</x-ex><x-ex><x-lb> | </x-lb>坚<x-key>固</x-key></x-ex><x-ex><x-lb> | </x-lb>牢<x-key>固</x-key></x-ex><x-ex><x-lb> | </x-lb>稳<x-key>固</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>动</x-g>使结实、牢靠<x-f>。</x-f></dt><dd><x-ex><x-key>固</x-key>沙造林</x-ex><x-ex><x-lb> | </x-lb><x-key>固</x-key>本</x-ex></dd>
<dt><x-sn>③</x-sn><sbl>→</sbl><x-g>形</x-g>坚硬<x-f>。</x-f></dt><dd><x-ex><x-key>固</x-key>体</x-ex><x-ex><x-lb> | </x-lb><x-key>固</x-key>态</x-ex><x-ex><x-lb> | </x-lb>凝<x-key>固</x-key></x-ex></dd>
<dt><x-sn>④</x-sn> <x-g>形</x-g> 不易改变的<x-f>。</x-f></dt><dd><x-ex><x-key>固</x-key>执</x-ex><x-ex><x-lb> | </x-lb>顽<x-key>固</x-key></x-ex></dd>
<dt><x-sn>⑤</x-sn> <x-g>副</x-g> 坚决地<x-f>。</x-f></dt><dd><x-ex><x-key>固</x-key>辞</x-ex><x-ex><x-lb> | </x-lb><x-key>固</x-key>守</x-ex><x-ex><x-lb> | </x-lb><x-key>固</x-key>请</x-ex></dd></dt><hr><dt class='title'>固 2 <x-pr> gù</x-pr>
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>副</x-gram>本来；原来<x-f>。</x-f></dt><dd><x-ex>人<x-key>固</x-key>有一死</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>连</x-g>固然<x-f>。</x-f></dt><dd><x-ex>人<x-key>固</x-key>不易知，知人亦未易也<x-f>。</x-f></x-ex></dd>
"
1162,莱,lái,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>莱</x-hw><x-pr> lái</x-pr>（萊）
<dt>〈文〉
<dt><x-sn>①</x-sn><x-gram>名</x-gram>藜<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>丛生的野草<x-f>。</x-f></dt><dd><x-ex>草<x-key>莱</x-key></x-ex></dd>
<dt><x-sn>③</x-sn><x-g>名</x-g> 郊外休耕的田地；荒地<x-f>。</x-f></dt><dd><x-ex>田<x-key>莱</x-key></x-ex></dd>
"
1475,仁,rén,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script>仁 1 <x-pr> rén</x-pr>
<dt><x-sn>①</x-sn><x-gram>形</x-gram>对人亲善友爱，有同情心<x-f>。</x-f></dt><dd><x-ex>为富不<x-key>仁</x-key></x-ex><x-ex><x-lb> | </x-lb><x-key>仁</x-key>爱</x-ex><x-ex><x-lb> | </x-lb><x-key>仁</x-key>慈</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>古代一种含义广泛的道德观念，核心是爱人、待人友善<x-f>。</x-f></dt><dd><x-ex><x-key>仁</x-key>至义尽</x-ex><x-ex><x-lb> | </x-lb>杀身成<x-key>仁</x-key></x-ex><x-ex><x-lb> | </x-lb><x-key>仁</x-key>政</x-ex></dd>
<dt><x-sn>③</x-sn><sbl>→</sbl><x-g>名</x-g>敬词，用于对朋友的尊称<x-f>。</x-f></dt><dd><x-ex><x-key>仁</x-key>兄</x-ex><x-ex><x-lb> | </x-lb><x-key>仁</x-key>弟</x-ex></dd>
<dt><x-sn>④</x-sn><sbl2>○</sbl2><x-g>名</x-g>姓<x-f>。</x-f></dt></dt><hr><dt class='title'>仁 2 <x-pr> rén</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>果核或果壳里的东西<x-f>。</x-f></dt><dd><x-ex>杏<x-key>仁</x-key><x-er>儿</x-er></x-ex><x-ex><x-lb> | </x-lb>花生<x-key>仁</x-key><x-er>儿</x-er></x-ex><x-ex><x-lb> | </x-lb>核桃<x-key>仁</x-key><x-er>儿</x-er></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>名</x-g>像仁<x-er>儿</x-er>的东西<x-f>。</x-f><dd><x-ex>虾<x-key>仁</x-key><x-er>儿</x-er></x-ex></dd>
"
1692,狠,hěn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>狠</x-hw><x-pr> hěn</x-pr>
<dt><x-sn>①</x-sn><x-gram>形</x-gram>凶恶；残暴<x-f>。</x-f></dt><dd><x-ex>暴徒的手段真<x-key>狠</x-key></x-ex><x-ex><x-lb> | </x-lb>心<x-key>狠</x-key>手辣</x-ex><x-ex><x-lb> | </x-lb><x-key>狠</x-key>毒</x-ex><x-ex><x-lb> | </x-lb>凶<x-key>狠</x-key></x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>形</x-g>严厉而坚决<x-f>。</x-f></dt><dd><x-ex>人要有股子<x-key>狠</x-key>劲<x-er>儿</x-er></x-ex><x-ex><x-lb> | </x-lb>下<x-key>狠</x-key>心</x-ex></dd>
<dt><x-sn>③</x-sn><x-g>动</x-g> 抑制情感；不犹豫（多叠用，或叠用中间加“了”）<x-f>。</x-f></dt><dd><x-ex>他<x-key>狠</x-key>了<x-key>狠</x-key>心，跟她分手了<x-f>。</x-f></x-ex></dd>
<dt><x-sn>④</x-sn><sbl>→</sbl><x-g>同</x-g> “<a href=""entry://很"" type=""sameas"">很</a>”<x-f>。</x-f>
"
