rank,cihui,pinyin,raw_html
20067,犹太教,yóutàijiào,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>犹太教</x-hw><x-pr> yóutàijiào</x-pr>
<dt><x-gram>名</x-gram>犹太人的民族宗教。信奉耶和华神，基督教的《旧约全书》原先就是犹太教的经典<x-f>（</x-f>犹太：希伯来语Yěhūdhi音译<x-f>）</x-f><x-f>。</x-f>（也说以色列教<x-f>。</x-f>）
"
20379,绷带,bēngdài,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>绷带</x-hw><x-pr> bēngdài</x-pr><br><x-gram>名</x-gram><x-etym>英语 bandage 音译<x-f>。</x-f></x-etym>用来包扎伤口或患处的纱布条<x-f>。</x-f></dt>
"
20467,云彩,yúncai,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>云彩</x-hw><x-pr> yúncai</x-pr>
<dt><x-gram>名</x-gram>云2①<x-f>。</x-f><dd><x-ex>太阳钻进了<x-key>云彩</x-key>里<x-f>。</x-f></x-ex></dd>
"
20555,德先生,déxiānshēng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>德先生</x-hw><x-pr> déxiānshēng</x-pr>
<dt><x-gram>名</x-gram>民主。英语 democracy 音译“德谟克拉西”的形象说法。常和另一个英语词 science（科学，又称“赛先生”）连用<x-f>。</x-f></dt>
"
20632,缩写,suōxiě,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>缩写</x-hw><x-pr> suōxiě</x-pr>
<dt><x-sn>①</x-sn><x-gram>动</x-gram>用拼音文字把一些常用词语或专名用比较简便的写法标出。通常是截取原词语的一个或几个字母来表示。如 USA 是 The United States of America 的缩写<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><x-g>动</x-g> 把长篇作品改写成篇幅较短的<x-f>。</x-f></dt><dd><x-ex><x-key>缩写</x-key>本</x-ex></dd>
"
20704,轴线,zhóuxiàn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>轴线</x-hw><x-pr> zhóuxiàn</x-pr>
<dt><x-gram>名</x-gram>缠在线轴<x-er>儿</x-er>上的线<x-f>。</x-f>
"
20816,菩提,pútí,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>菩提</x-hw><x-pr> pútí</x-pr>
<dt><x-gram>名</x-gram><x-etym>梵语 Bodhi 音译<x-f>。</x-f></x-etym>佛教指觉悟的境界<x-f>。</x-f></dt>
"
21005,吉他,jítā,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>吉他</x-hw><x-pr> jítā</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 guitar 音译<x-f>。</x-f></x-etym>弹拨乐器，有六根弦。种类很多，常见的有西班牙式和夏威夷式两种<x-f>。</x-f></dt>（也说六弦琴<x-f>。</x-f>）
"
21379,联接,liánjiē,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>联接</x-hw><x-pr> liánjiē</x-pr>
<dt>现在规范词形写作“<a href=""entry://连接"" type=""normalized"">连接</a>”<x-f>。</x-f>
"
21411,棋子,qízǐ,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>棋子</x-hw><x-pr> qízǐ</x-pr>
<dt><x-gram>名</x-gram>用木头或塑料等制成的供下棋用的小子<x-er>儿</x-er>。通常用颜色分为数目相等的两部分或几部分（围棋分黑白两部分），下棋的人各使用一部分<x-f>。</x-f>
"
21494,雀跃,quèyuè,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>雀跃</x-hw><x-pr> quèyuè</x-pr>
<dt><x-gram>动</x-gram>高兴得像雀<x-er>儿</x-er>那样蹦蹦跳跳<x-f>。</x-f><dd><x-ex>喜讯传来，人人<x-key>雀跃</x-key><x-f>。</x-f></x-ex></dd>
"
21510,打火机,dǎhuǒjī,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>打火机</x-hw><x-pr> dǎhuǒjī</x-pr>
<dt><x-gram>名</x-gram>一种主要用来点燃烟卷<x-er>儿</x-er>的微型取火器<x-f>。</x-f>
"
21640,台子,táizi,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>台子</x-hw><x-pr> táizi</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>台1①<x-f>。</x-f>
<dt><x-sn>②</x-sn><x-g>名</x-g> 台1③<x-f>。</x-f>
<dt><x-sn>③</x-sn><x-g>名</x-g> 〈口〉供打台球、乒乓球等使用的特制的桌子<x-f>。</x-f></dt><dd><x-ex>乒乓球<x-key>台子</x-key></x-ex></dd>
"
21673,变数,biànshù,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>变数</x-hw><x-pr> biànshù</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>表示变量的数。如x+y＝13中的x、y<x-f>。</x-f>
<dt><x-sn>②</x-sn><x-g>名</x-g> 泛指可变的因素<x-f>。</x-f></dt><dd><x-ex>时间拖得越长，<x-key>变数</x-key>就越大<x-f>。</x-f></x-ex></dd>
"
21700,针线,zhēnxiàn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>针线</x-hw><x-pr> zhēnxiàn</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>针和线<x-f>。</x-f></dt><dd><x-ex><x-key>针线</x-key>包</x-ex></dd>
<dt><x-sn>②</x-sn><x-g>名</x-g> 指针线活<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>小女孩<x-er>儿</x-er>学做<x-key>针线</x-key><x-f>。</x-f></x-ex></dd>
"
21799,刻划,kèhuà,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>刻划</x-hw><x-pr> kèhuà</x-pr>
<dt>现在规范词形写作“<a href=""entry://刻画"" type=""normalized"">刻画</a>”<x-f>。</x-f>
"
21843,乌托邦,wūtuōbāng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>乌托邦</x-hw><x-pr> wūtuōbāng</x-pr>
<dt><x-gram>名</x-gram><x-etym>拉丁语 Utopia 音译<x-f>。</x-f></x-etym>英国空想社会主义创始人托马斯·莫尔所著《关于最完美的国家制度和乌托邦新岛的既有益又有趣的金书》的简称。书中虚构了一个最理想、最美好的社会组织——乌托邦。在这个社会组织中废除了私有制，实行公有制，生产和消费都是有计划地进行。后用乌托邦泛指脱离现实的、空想的愿望、方案等<x-f>。</x-f>
"
21926,维纳斯,wéinàsī,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>维纳斯</x-hw><x-pr> wéinàsī</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 Venus 音译<x-f>。</x-f></x-etym>罗马神话中爱和美的女神。后来常把希腊神话中的阿佛洛狄忒称作维纳斯。发现于米洛斯岛的阿佛洛狄忒雕像，虽上肢残缺，但仍被奉为雕塑艺术极品<x-f>。</x-f></dt>
"
22030,不计其数,bùjì-qíshù,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>不计其数</x-hw><x-pr> bùjì-qíshù</x-pr>
<dt>没法<x-er>儿</x-er>计算数目。形容数量极多<x-f>。</x-f>
"
22182,货真价实,huòzhēn-jiàshí,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>货真价实</x-hw><x-pr> huòzhēn-jiàshí</x-pr>
<dt><x-sn>①</x-sn>货物质量可靠，价钱公道<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn>比喻实实在在，没有一点<x-er>儿</x-er>虚假<x-f>。</x-f>
"
22319,定单,dìngdān,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>定单</x-hw><x-pr> dìngdān</x-pr>
<dt>现在规范词形写作“<a href=""entry://订单"" type=""normalized"">订单</a>”<x-f>。</x-f>
"
22346,一声不响,yīshēng-bùxiǎng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>一声不响</x-hw><x-pr> yīshēng-bùxiǎng</x-pr>
<dt>形容口里不发出一点<x-er>儿</x-er>声响或不说话<x-f>。</x-f><dd><x-ex><x-key>一声不响</x-key>地躺着</x-ex></dd>
"
22533,手包,shǒubāo,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>手包</x-hw><x-pr> shǒubāo</x-pr>
<dt><x-gram>名</x-gram>随身携带的小包<x-er>儿</x-er>，多为女性使用<x-f>。</x-f>
"
22689,玩艺儿,wányìr,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>玩艺<x-er>儿</x-er></x-hw><x-pr> wányìr</x-pr>
<dt><a href=""entry://玩意儿"" type=""normalized"">现在规范词形写作“玩意<x-er>儿</x-er>”</a><x-f>。</x-f>
"
22998,水壶,shuǐhú,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>水壶</x-hw><x-pr> shuǐhú</x-pr>
<dt><x-gram>名</x-gram>盛水或用来烧水的容器，大肚小口，有盖有嘴，一般有把<x-er>儿</x-er>或提梁<x-f>。</x-f>
"
23009,田头,tiántóu,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>田头</x-hw><x-pr> tiántóu</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>田地的两头<x-er>儿</x-er>；田边<x-f>。</x-f><dd><x-ex><x-key>田头</x-key>地边</x-ex></dd>
<dt><x-sn>②</x-sn><x-g>名</x-g> 田地里<x-f>。</x-f></dt><dd><x-ex>整天在<x-key>田头</x-key>干活<x-er>儿</x-er><x-f>。</x-f></x-ex></dd>
"
23048,荡然无存,dàngrán-wúcún,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>荡然无存</x-hw><x-pr> dàngrán-wúcún</x-pr>
<dt>形容完全消失，一点<x-er>儿</x-er>也不存在了<x-f>。</x-f>
"
23096,大班,dàbān,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>大班</x-hw><x-pr> dàbān</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>幼儿园里的最高班级<x-f>。</x-f></dt><dd><x-ex>我孙子正在上<x-key>大班</x-key><x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-g>名</x-g><x-etym>英语 taipan 音译<x-f>。</x-f></x-etym>旧时称洋行经理<x-f>。</x-f></dt>
"
23227,释迦牟尼,shìjiāmóuní,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>释迦牟尼</x-hw><x-pr> shìjiāmóuní</x-pr>
<dt><x-gram>名</x-gram><x-etym>梵语 Śākyamuni 音译<x-f>。</x-f></x-etym>佛教创始人（约前565—前485），姓乔达摩，名悉达多，古印度释迦族人。29岁时出家修行，后“悟道成佛”。释迦牟尼是佛教徒对他的尊称，意思是释迦族的圣人<x-f>。</x-f></dt>
"
23229,满不在乎,mǎnbùzàihu,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>满不在乎</x-hw><x-pr> mǎnbùzàihu</x-pr>
<dt>一点<x-er>儿</x-er>也不在意<x-f>。</x-f><dd><x-ex>都火烧眉毛了，他还是<x-key>满不在乎</x-key><x-f>。</x-f></x-ex></dd>
"
23521,未知数,wèizhīshù,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>未知数</x-hw><x-pr> wèizhīshù</x-pr>
<dt><x-sn>①</x-sn><x-gram>名</x-gram>代数式或方程式中指需要经过运算才能确定的数（跟“已知数”相区别）。如“4y＋5＝13”中y就是未知数<x-f>。</x-f>
<dt><x-sn>②</x-sn><x-g>名</x-g> 借指还不清楚的情况<x-f>。</x-f></dt><dd><x-ex>这次试验能否成功，还是个<x-key>未知数</x-key><x-f>。</x-f></x-ex></dd>
"
23566,雪茄,xuějiā,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>雪茄</x-hw><x-pr> xuějiā</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 cigar 音译<x-f>。</x-f></x-etym>指直接用烟叶卷成的烟，比普通纸烟粗而长<x-f>。</x-f></dt><t-note><x-lb>用法说明</x-lb>“茄”这里不读 qié<x-f>。</x-f></t-note>
"
23574,白兰地,báilándì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>白兰地</x-hw><x-pr> báilándì</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 brandy 音译<x-f>。</x-f></x-etym>由葡萄或苹果等果汁发酵蒸馏制成的酒，酒精含量一般在40%左右<x-f>。</x-f></dt>
"
23611,威士忌,wēishìjì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>威士忌</x-hw><x-pr> wēishìjì</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 whisky 音译<x-f>。</x-f></x-etym>用大麦、黑麦等酿制的一种蒸馏酒<x-f>。</x-f></dt>
"
