rank,cihui,pinyin,raw_html
71212,维纶,wéilún,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>维纶</x-hw><x-pr> wéilún</x-pr>
<dt><x-gram>名</x-gram><x-etym>英语 vinylon 音译<x-f>。</x-f></x-etym>一种合成纤维，性质与棉相近，但较轻且耐磨，透气性较差<x-f>。</x-f></dt>（也说维尼纶<x-f>。</x-f>）
"
71323,冷荤,lěnghūn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>冷荤</x-hw><x-pr> lěnghūn</x-pr>
<dt><x-gram>名</x-gram>供凉吃的荤菜。如小肚<x-er>儿</x-er>、肉皮冻<x-er>儿</x-er>等<x-f>。</x-f>
"
71430,刀削面,dāoxiāomiàn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>刀削面</x-hw><x-pr> dāoxiāomiàn</x-pr>
<dt><x-gram>名</x-gram>一种山西风味面食。用弧形铁片把面团削成窄而长的面片<x-er>儿</x-er>煮着吃<x-f>。</x-f>（也说削面<x-f>。</x-f>）
"
71478,接腔,jiēqiāng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>接腔</x-hw><x-pr> jiēqiāng</x-pr>
<dt><x-gram>动</x-gram>接过别人的话茬<x-er>儿</x-er>说话<x-f>。</x-f><dd><x-ex>我的话还没说完，你先别<x-key>接腔</x-key><x-f>。</x-f></x-ex></dd>
"
71517,歹心,dǎixīn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>歹心</x-hw><x-pr> dǎixīn</x-pr>
<dt><x-gram>名</x-gram>恶毒的心肠；坏心眼<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>我可没安什么<x-key>歹心</x-key>，你别冤枉我<x-f>。</x-f></x-ex></dd>
"
71604,鱼具,yújù,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>鱼具</x-hw><x-pr> yújù</x-pr>
<dt>现在规范词形写作“<a href=""entry://渔具"" type=""normalized"">渔具</a>”<x-f>。</x-f>
"
71627,定户,dìnghù,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>定户</x-hw><x-pr> dìnghù</x-pr>
<dt>现在规范词形写作“<a href=""entry://订户"" type=""normalized"">订户</a>”<x-f>。</x-f>
"
71671,羊毫,yángháo,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>羊毫</x-hw><x-pr> yángháo</x-pr>
<dt><x-gram>名</x-gram>羊的毛；特指用柔软的羊毛做笔头<x-er>儿</x-er>的毛笔<x-f>。</x-f>
"
71800,麻团,mátuán,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>麻团</x-hw><x-pr> mátuán</x-pr>
<dt><x-gram>名</x-gram>一种食品。用糯米粉包糖馅<x-er>儿</x-er>做成圆球形，外面粘上芝麻，油炸而成<x-f>。</x-f>
"
71844,康拜因,kāngbàiyīn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>康拜因</x-hw><x-pr> kāngbàiyīn</x-pr><br><x-gram>名</x-gram><x-etym>英语 combine 音译<x-f>。</x-f></x-etym>联合收割机<x-f>。</x-f></dt>
"
71861,凿岩机,záoyánjī,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>凿岩机</x-hw><x-pr> záoyánjī</x-pr>
<dt><x-gram>名</x-gram>在岩石上打眼<x-er>儿</x-er>的机械。以压缩空气为动力，使活塞往复运动，冲击钎子，凿出孔眼<x-f>。</x-f>（也说风钻<x-f>。</x-f>）
"
72277,凑手,còushǒu,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>凑手</x-hw><x-pr> còushǒu</x-pr>
<dt><x-sn>①</x-sn><x-gram>形</x-gram>（钱、物、人等）现成就有，用着方便<x-f>。</x-f></dt><dd><x-ex>人不<x-key>凑手</x-key>，一时还开不了工<x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn> <x-g>形</x-g> 顺手；得劲<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>这把刀用着<x-key>凑手</x-key></x-ex></dd>
"
72305,铺盖卷儿,pūgaijuǎnr,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>铺盖卷<x-er>儿</x-er></x-hw><x-pr> pūgaijuǎnr</x-pr>
<dt><x-gram>名</x-gram>卷成卷<x-er>儿</x-er>的被褥<x-f>。</x-f>
"
72337,罗马数字,luómǎ shùzì,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>罗马数字</x-hw><x-pr> luómǎ shùzì</x-pr>
<dt>古罗马人的记数符号。1至10是：I II III IV V VI VII VIII IX X。L表示50,C表示100,D表示500,M表示1000。相同数字并列表示相加，如 II ＝2,XX ＝20。不同数字并列，右边的小于左边的表示相加。如 VI 是5+1＝6。左边的小于右边的表示相减，如 IX 是10-1＝9。数字上加一道横线表示一千倍。如x̅是10×1000＝10000<x-f>。</x-f></dt>
"
72504,乔其纱,qiáoqíshā,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>乔其纱</x-hw><x-pr> qiáoqíshā</x-pr>
<dt><x-gram>名</x-gram><x-etym>法语 crêpe georgette 音意合译<x-f>。</x-f></x-etym>一种丝织品，薄而透明，有细微均匀的皱纹。手感柔软，有良好的透气性和悬垂性。可用作衣料、装饰布等<x-f>。</x-f></dt>
"
72608,爱克斯射线,àikèsī shèxiàn,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>爱克斯射线</x-hw><x-pr> àikèsī shèxiàn</x-pr>
<dt>一种波长很短的电磁波，有很强的穿透能力，能使荧光物质发光，使照相胶片感光。常用于研究晶体结构、金属探伤、探查人体脏器和骨骼的病变与损伤等<x-f>（</x-f>爱克斯：英文字母X音译<x-f>）</x-f>。学名写作X射线。通称爱克斯光<x-f>。</x-f>
"
72700,酥糖,sūtáng,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>酥糖</x-hw><x-pr> sūtáng</x-pr>
<dt><x-gram>名</x-gram>用抽成细丝状的饴糖裹上豆面、米粉、芝麻末<x-er>儿</x-er>等制成的糖果，酥软香甜<x-f>。</x-f>
"
72799,入彀,rùgòu,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>入彀</x-hw><x-pr> rùgòu</x-pr>〈文〉
<dt><x-sn>①</x-sn><x-gram>动</x-gram>五代·王定保《唐摭言·述进士》：“文皇帝（指唐太宗）……尝私幸端门，见新进士缀行而出，喜曰：‘天下英雄入吾彀中矣!’”（彀：射箭所能达到的范围）后用“入彀”比喻人才被网罗，受人掌握<x-f>。</x-f>
<dt><x-sn>②</x-sn><x-g>动</x-g> 比喻合乎一定的程式、标准<x-f>。</x-f></dt>
<dt><x-sn>③</x-sn> <x-g>形</x-g> 投合；入神<x-f>。</x-f></dt><dd><x-ex>两人谈得<x-key>入彀</x-key></x-ex></dd>
<dt><x-sn>④</x-sn><x-g>动</x-g> 比喻中圈套<x-f>。</x-f></dt><dd><x-ex>引他<x-key>入彀</x-key></x-ex></dd>
"
