term,pinyin,cleaned_pinyin,updated_pinyin
函授,hánshòu,hánshòu,hán shòu
脑力,nǎolì,nǎolì,nǎo lì
设宴,shèyàn,shèyàn,shè yàn
杏仁,xìngrén,xìngrén,xìng rén
锋线,fēngxiàn,fēngxiàn,fēng xiàn
智商,zhìshāng,zhìshāng,zhì shāng
水火,shuǐhuǒ,shuǐhuǒ,shuǐ huǒ
贪图,tāntú,tāntú,tān tú
气喘吁吁,qìchuǎn-xūxū,qìchuǎn xūxū,qì chuǎn xū xū
轮机,lúnjī,lúnjī,lún jī
调侃,tiáokǎn,tiáokǎn,tiáo kǎn
周期性,zhōuqīxìng,zhōuqīxìng,zhōu qī xìng
一无所有,yīwúsuǒyǒu,yīwúsuǒyǒu,yī wú suǒ yǒu
成像,chéngxiàng,chéngxiàng,chéng xiàng
坚韧不拔,jiānrèn-bùbá,jiānrèn bùbá,jiān rèn bù bá
党旗,dǎngqí,dǎngqí,dǎng qí
意向书,yìxiàngshū,yìxiàngshū,yì xiàng shū
秸秆,jiēgǎn,jiēgǎn,jiē gǎn
情书,qíngshū,qíngshū,qíng shū
滋养,zīyǎng,zīyǎng,zī yǎng
目送,mùsòng,mùsòng,mù sòng
行礼,xínglǐ,xínglǐ,xíng lǐ
霹雳,pīlì,pīlì,pī lì
难听,nántīng,nántīng,nán tīng
分忧,fēnyōu,fēnyōu,fēn yōu
原貌,yuánmào,yuánmào,yuán mào
孤寡,gūguǎ,gūguǎ,gū guǎ
盘问,pánwèn,pánwèn,pán wèn
防盗,fángdào,fángdào,fáng dào
地方官,dìfāngguān,dìfāngguān,dì fāng guān
持重,chízhòng,chízhòng,chí zhòng
慧眼,huìyǎn,huìyǎn,huì yǎn
鞭策,biāncè,biāncè,biān cè
信守,xìnshǒu,xìnshǒu,xìn shǒu
摆弄,bǎinòng,bǎinòng,bǎi nòng
有若,yǒuruò,yǒuruò,yǒu ruò
萌生,méngshēng,méngshēng,méng shēng
被褥,bèirù,bèirù,bèi rù
野战军,yězhànjūn,yězhànjūn,yě zhàn jūn
摄取,shèqǔ,shèqǔ,shè qǔ
供职,gòngzhí,gòngzhí,gòng zhí
斗篷,dǒupeng,dǒupeng,dǒu peng
有缘,yǒuyuán,yǒuyuán,yǒu yuán
珠穆朗玛峰,zhūmùlǎngmǎfēng,zhūmùlǎngmǎfēng,zhū mù lǎng mǎ fēng
清贫,qīngpín,qīngpín,qīng pín
爽朗,shuǎnglǎng,shuǎnglǎng,shuǎng lǎng
喘气,chuǎnqì,chuǎnqì,chuǎn qì
窘境,jiǒngjìng,jiǒngjìng,jiǒng jìng
动因,dòngyīn,dòngyīn,dòng yīn
着眼点,zhuóyǎndiǎn,zhuóyǎndiǎn,zhuó yǎn diǎn
按说,ànshuō,ànshuō,àn shuō
开掘,kāijué,kāijué,kāi jué
棉袄,mián'ǎo,mián ǎo,mián ǎo
教头,jiàotóu,jiàotóu,jiào tóu
妇幼,fùyòu,fùyòu,fù yòu
浓密,nóngmì,nóngmì,nóng mì
治保,zhìbǎo,zhìbǎo,zhì bǎo
精制,jīngzhì,jīngzhì,jīng zhì
地租,dìzū,dìzū,dì zū
体谅,tǐliàng,tǐliàng,tǐ liàng
黑土,hēitǔ,hēitǔ,hēi tǔ
姑且,gūqiě,gūqiě,gū qiě
新台币,xīntáibì,xīntáibì,xīn tái bì
题名,tímíng,tímíng,tí míng
流离失所,liúlí-shīsuǒ,liúlí shīsuǒ,liú lí shī suǒ
大德,dàdé,dàdé,dà dé
排泄,páixiè,páixiè,pái xiè
吞没,tūnmò,tūnmò,tūn mò
铺路,pūlù,pūlù,pū lù
霓虹,níhóng,níhóng,ní hóng
加时赛,jiāshísài,jiāshísài,jiā shí sài
盲目性,mángmùxìng,mángmùxìng,máng mù xìng
舆论界,yúlùnjiè,yúlùnjiè,yú lùn jiè
昆曲,kūnqǔ,kūnqǔ,kūn qǔ
心领,xīnlǐng,xīnlǐng,xīn lǐng
硬仗,yìngzhàng,yìngzhàng,yìng zhàng
见外,jiànwài,jiànwài,jiàn wài
叶片,yèpiàn,yèpiàn,yè piàn
从属,cóngshǔ,cóngshǔ,cóng shǔ
堵截,dǔjié,dǔjié,dǔ jié
延迟,yánchí,yánchí,yán chí
杂物,záwù,záwù,zá wù
小可,xiǎokě,xiǎokě,xiǎo kě
报载,bàozǎi,bàozǎi,bào zǎi
专题片,zhuāntípiàn,zhuāntípiàn,zhuān tí piàn
铺张,pūzhāng,pūzhāng,pū zhāng
放光,fàngguāng,fàngguāng,fàng guāng
弱化,ruòhuà,ruòhuà,ruò huà
狠心,hěnxīn,hěnxīn,hěn xīn
纤细,xiānxì,xiānxì,xiān xì
训斥,xùnchì,xùnchì,xùn chì
胜仗,shèngzhàng,shèngzhàng,shèng zhàng
天命,tiānmìng,tiānmìng,tiān mìng
喷发,pēnfā,pēnfā,pēn fā
送别,sòngbié,sòngbié,sòng bié
计价,jìjià,jìjià,jì jià
新款,xīnkuǎn,xīnkuǎn,xīn kuǎn
稠密,chóumì,chóumì,chóu mì
齿轮,chǐlún,chǐlún,chǐ lún
专科学校,zhuānkē xuéxiào,zhuānkē xuéxiào,zhuān kē xué xiào
已婚,yǐhūn,yǐhūn,yǐ hūn
零配件,líng-pèijiàn,líng pèijiàn,líng pèi jiàn
记号,jìhao,jìhao,jì hao
领海,lǐnghǎi,lǐnghǎi,lǐng hǎi
文具,wénjù,wénjù,wén jù
青蛙,qīngwā,qīngwā,qīng wā
粗壮,cūzhuàng,cūzhuàng,cū zhuàng
歧途,qítú,qítú,qí tú
地边,dìbiān,dìbiān,dì biān
百日,bǎirì,bǎirì,bǎi rì
封山,fēngshān,fēngshān,fēng shān
种条,zhǒngtiáo,zhǒngtiáo,zhǒng tiáo
姐们儿,jiěmenr,jiěmenr,jiě men er
乡下人,xiāngxiarén,xiāngxiarén,xiāng xia rén
清泉,qīngquán,qīngquán,qīng quán
照旧,zhàojiù,zhàojiù,zhào jiù
一年四季,yīnián-sìjì,yīnián sìjì,yī nián sì jì
以还,yǐhuán,yǐhuán,yǐ huán
撇开,piēkāi,piēkāi,piē kāi
生员,shēngyuán,shēngyuán,shēng yuán
模块,mókuài,mókuài,mó kuài
图说,túshuō,túshuō,tú shuō
舰长,jiànzhǎng,jiànzhǎng,jiàn zhǎng
有劳,yǒuláo,yǒuláo,yǒu láo
行风,hángfēng,hángfēng,háng fēng
自拔,zìbá,zìbá,zì bá
应允,yīngyǔn,yīngyǔn,yīng yǔn
绳之以法,shéngzhīyǐfǎ,shéngzhīyǐfǎ,shéng zhī yǐ fǎ
初夏,chūxià,chūxià,chū xià
不待,bùdài,bùdài,bù dài
沙皇,shāhuáng,shāhuáng,shā huáng
苦思,kǔsī,kǔsī,kǔ sī
纷飞,fēnfēi,fēnfēi,fēn fēi
丢人,diūrén,diūrén,diū rén
大团结,dàtuánjié,dàtuánjié,dà tuán jié
远道,yuǎndào,yuǎndào,yuǎn dào
瞬息,shùnxī,shùnxī,shùn xī
睡梦,shuìmèng,shuìmèng,shuì mèng
近处,jìnchù,jìnchù,jìn chù
神明,shénmíng,shénmíng,shén míng
轧钢,zhágāng,zhágāng,zhá gāng
卓识,zhuóshí,zhuóshí,zhuó shí
使团,shǐtuán,shǐtuán,shǐ tuán
气馁,qìněi,qìněi,qì něi
库房,kùfáng,kùfáng,kù fáng
毁灭性,huǐmièxìng,huǐmièxìng,huǐ miè xìng
熟睡,shúshuì,shúshuì,shú shuì
意念,yìniàn,yìniàn,yì niàn
师表,shībiǎo,shībiǎo,shī biǎo
挂历,guàlì,guàlì,guà lì
阻塞,zǔsè,zǔsè,zǔ sè
生土,shēngtǔ,shēngtǔ,shēng tǔ
花鸟,huāniǎo,huāniǎo,huā niǎo
挚友,zhìyǒu,zhìyǒu,zhì yǒu
怀柔,huáiróu,huáiróu,huái róu
冲刷,chōngshuā,chōngshuā,chōng shuā
圆圈,yuánquān,yuánquān,yuán quān
新著,xīnzhù,xīnzhù,xīn zhù
嫖娼,piáochāng,piáochāng,piáo chāng
睿智,ruìzhì,ruìzhì,ruì zhì
潜移默化,qiányí-mòhuà,qiányí mòhuà,qián yí mò huà
长线,chángxiàn,chángxiàn,cháng xiàn
寝室,qǐnshì,qǐnshì,qǐn shì
柜子,guìzi,guìzi,guì zi
收留,shōuliú,shōuliú,shōu liú
广袤,guǎngmào,guǎngmào,guǎng mào
捣乱,dǎoluàn,dǎoluàn,dǎo luàn
剧种,jùzhǒng,jùzhǒng,jù zhǒng
实弹,shídàn,shídàn,shí dàn
侄女,zhínǚ,zhínǚ,zhí nǚ
富足,fùzú,fùzú,fù zú
种差,zhǒngchā,zhǒngchā,zhǒng chā
通史,tōngshǐ,tōngshǐ,tōng shǐ
返航,fǎnháng,fǎnháng,fǎn háng
谋略,móulüè,móulüè,móu lüè
隔开,gékāi,gékāi,gé kāi
睡衣,shuìyī,shuìyī,shuì yī
续建,xùjiàn,xùjiàn,xù jiàn
务求,wùqiú,wùqiú,wù qiú
北美洲,běiměizhōu,běiměizhōu,běi měi zhōu
巷子,xiàngzi,xiàngzi,xiàng zi
套装,tàozhuāng,tàozhuāng,tào zhuāng
臣民,chénmín,chénmín,chén mín
造谣,zàoyáo,zàoyáo,zào yáo
爱惜,àixī,àixī,ài xī
翠绿,cuìlǜ,cuìlǜ,cuì lǜ
风景线,fēngjǐngxiàn,fēngjǐngxiàn,fēng jǐng xiàn
控股公司,kònggǔ gōngsī,kònggǔ gōngsī,kòng gǔ gōng sī
针锋相对,zhēnfēng-xiāngduì,zhēnfēng xiāngduì,zhēn fēng xiāng duì
景致,jǐngzhì,jǐngzhì,jǐng zhì
案值,ànzhí,ànzhí,àn zhí
西药,xīyào,xīyào,xī yào
登载,dēngzǎi,dēngzǎi,dēng zǎi
头盔,tóukuī,tóukuī,tóu kuī
安检,ānjiǎn,ānjiǎn,ān jiǎn
票面,piàomiàn,piàomiàn,piào miàn
基点,jīdiǎn,jīdiǎn,jī diǎn
缺失,quēshī,quēshī,quē shī
双胞胎,shuāngbāotāi,shuāngbāotāi,shuāng bāo tāi
失意,shīyì,shīyì,shī yì
裨益,bìyì,bìyì,bì yì
石英,shíyīng,shíyīng,shí yīng
稳重,wěnzhòng,wěnzhòng,wěn zhòng
举步,jǔbù,jǔbù,jǔ bù
看护,kānhù,kānhù,kān hù
收发,shōufā,shōufā,shōu fā
津津乐道,jīnjīn-lèdào,jīnjīn lèdào,jīn jīn lè dào
大兵,dàbīng,dàbīng,dà bīng
品评,pǐnpíng,pǐnpíng,pǐn píng
极致,jízhì,jízhì,jí zhì
两口子,liǎngkǒuzi,liǎngkǒuzi,liǎng kǒu zi
处事,chǔshì,chǔshì,chǔ shì
变通,biàntōng,biàntōng,biàn tōng
递减,dìjiǎn,dìjiǎn,dì jiǎn
鱼雷,yúléi,yúléi,yú léi
蜜糖,mìtáng,mìtáng,mì táng
抚慰,fǔwèi,fǔwèi,fǔ wèi
摩的,módī,módī,mó dī
匿名,nìmíng,nìmíng,nì míng
随时随地,suíshí-suídì,suíshí suídì,suí shí suí dì
生财,shēngcái,shēngcái,shēng cái
首映,shǒuyìng,shǒuyìng,shǒu yìng
兄长,xiōngzhǎng,xiōngzhǎng,xiōng zhǎng
电压,diànyā,diànyā,diàn yā
木兰,mùlán,mùlán,mù lán
温热,wēnrè,wēnrè,wēn rè
帮教,bāngjiào,bāngjiào,bāng jiào
宏图,hóngtú,hóngtú,hóng tú
殉职,xùnzhí,xùnzhí,xùn zhí
同党,tóngdǎng,tóngdǎng,tóng dǎng
张罗,zhāngluo,zhāngluo,zhāng luo
咯咯,gēgē,gēgē,gē gē
诊疗,zhěnliáo,zhěnliáo,zhěn liáo
自谋,zìmóu,zìmóu,zì móu
族长,zúzhǎng,zúzhǎng,zú zhǎng
叔父,shūfù,shūfù,shū fù
博爱,bó'ài,bó ài,bó ài
麻袋,mádài,mádài,má dài
铭心,míngxīn,míngxīn,míng xīn
投影,tóuyǐng,tóuyǐng,tóu yǐng
门生,ménshēng,ménshēng,mén shēng
规避,guībì,guībì,guī bì
迁居,qiānjū,qiānjū,qiān jū
熟虑,shúlǜ,shúlǜ,shú lǜ
要冲,yàochōng,yàochōng,yào chōng
罂粟,yīngsù,yīngsù,yīng sù
费解,fèijiě,fèijiě,fèi jiě
不良贷款,bùliáng dàikuǎn,bùliáng dàikuǎn,bù liáng dài kuǎn
禁锢,jìngù,jìngù,jìn gù
存货,cúnhuò,cúnhuò,cún huò
叛军,pànjūn,pànjūn,pàn jūn
储蓄所,chǔxùsuǒ,chǔxùsuǒ,chǔ xù suǒ
强将,qiángjiàng,qiángjiàng,qiáng jiàng
浮雕,fúdiāo,fúdiāo,fú diāo
透水,tòushuǐ,tòushuǐ,tòu shuǐ
四通八达,sìtōng-bādá,sìtōng bādá,sì tōng bā dá
呜咽,wūyè,wūyè,wū yè
福气,fúqi,fúqi,fú qi
开具,kāijù,kāijù,kāi jù
亲兵,qīnbīng,qīnbīng,qīn bīng
革命化,gémìnghuà,gémìnghuà,gé mìng huà
母爱,mǔ'ài,mǔ ài,mǔ ài
入流,rùliú,rùliú,rù liú
乌有,wūyǒu,wūyǒu,wū yǒu
打牌,dǎpái,dǎpái,dǎ pái
刺绣,cìxiù,cìxiù,cì xiù
标点,biāodiǎn,biāodiǎn,biāo diǎn
告破,gàopò,gàopò,gào pò
体态,tǐtài,tǐtài,tǐ tài
骗局,piànjú,piànjú,piàn jú
精神产品,jīngshén chǎnpǐn,jīngshén chǎnpǐn,jīng shén chǎn pǐn
适中,shìzhōng,shìzhōng,shì zhōng
付息,fùxī,fùxī,fù xī
口令,kǒulìng,kǒulìng,kǒu lìng
床单,chuángdān,chuángdān,chuáng dān
清一色,qīngyīsè,qīngyīsè,qīng yī sè
田径赛,tiánjìngsài,tiánjìngsài,tián jìng sài
土家族,tǔjiāzú,tǔjiāzú,tǔ jiā zú
大科学,dàkēxué,dàkēxué,dà kē xué
短语,duǎnyǔ,duǎnyǔ,duǎn yǔ
新低,xīndī,xīndī,xīn dī
刺痛,cìtòng,cìtòng,cì tòng
品相,pǐnxiàng,pǐnxiàng,pǐn xiàng
光年,guāngnián,guāngnián,guāng nián
恶果,èguǒ,èguǒ,è guǒ
酒馆,jiǔguǎn,jiǔguǎn,jiǔ guǎn
兜售,dōushòu,dōushòu,dōu shòu
晨曦,chénxī,chénxī,chén xī
老练,lǎoliàn,lǎoliàn,lǎo liàn
关节炎,guānjiéyán,guānjiéyán,guān jié yán
职业学校,zhíyè xuéxiào,zhíyè xuéxiào,zhí yè xué xiào
铺天盖地,pūtiān-gàidì,pūtiān gàidì,pū tiān gài dì
投射,tóushè,tóushè,tóu shè
修辞,xiūcí,xiūcí,xiū cí
泪花,lèihuā,lèihuā,lèi huā
风潮,fēngcháo,fēngcháo,fēng cháo
锲而不舍,qiè'érbùshě,qiè érbùshě,qiè ér bù shě
封建主义,fēngjiàn zhǔyì,fēngjiàn zhǔyì,fēng jiàn zhǔ yì
心不在焉,xīnbùzàiyān,xīnbùzàiyān,xīn bù zài yān
见报,jiànbào,jiànbào,jiàn bào
赤诚,chìchéng,chìchéng,chì chéng
天数,tiānshù,tiānshù,tiān shù
外力,wàilì,wàilì,wài lì
哺育,bǔyù,bǔyù,bǔ yù
佛法,fófǎ,fófǎ,fó fǎ
错落,cuòluò,cuòluò,cuò luò
白费,báifèi,báifèi,bái fèi
论据,lùnjù,lùnjù,lùn jù
植物园,zhíwùyuán,zhíwùyuán,zhí wù yuán
喜出望外,xǐchūwàngwài,xǐchūwàngwài,xǐ chū wàng wài
瘦削,shòuxuē,shòuxuē,shòu xuē
胜诉,shèngsù,shèngsù,shèng sù
部首,bùshǒu,bùshǒu,bù shǒu
金鱼,jīnyú,jīnyú,jīn yú
广告牌,guǎnggàopái,guǎnggàopái,guǎng gào pái
安眠,ānmián,ānmián,ān mián
寒冬,hándōng,hándōng,hán dōng
发货,fāhuò,fāhuò,fā huò
