term,pinyin,cleaned_pinyin
群聚,qúnjù,qúnjù
挂钟,guàzhōng,guàzhōng
芳心,fāngxīn,fāngxīn
钻戒,zuànjiè,zuànjiè
喝令,hèlìng,hèlìng
丧心病狂,sàngxīn-bìngkuáng,sàngxīn bìngkuáng
向上爬,xiàngshàngpá,xiàngshàngpá
登陆舰,dēnglùjiàn,dēnglùjiàn
茶余饭后,cháyú-fànhòu,cháyú fànhòu
改邪归正,gǎixié-guīzhèng,gǎixié guīzhèng
戒骄戒躁,jièjiāo-jièzào,jièjiāo jièzào
倒伏,dǎofú,dǎofú
电子货币,diànzǐ huòbì,diànzǐ huòbì
电铃,diànlíng,diànlíng
影影绰绰,yǐngyǐng-chuòchuò,yǐngyǐng chuòchuò
急起直追,jíqǐ-zhízhuī,jíqǐ zhízhuī
导因,dǎoyīn,dǎoyīn
全本,quánběn,quánběn
羊肠小道,yángcháng xiǎodào,yángcháng xiǎodào
饮恨,yǐnhèn,yǐnhèn
壁挂,bìguà,bìguà
惹祸,rěhuò,rěhuò
小辈,xiǎobèi,xiǎobèi
依傍,yībàng,yībàng
减薪,jiǎnxīn,jiǎnxīn
胶带,jiāodài,jiāodài
说辞,shuōcí,shuōcí
恶鬼,èguǐ,èguǐ
前腿,qiántuǐ,qiántuǐ
任选,rènxuǎn,rènxuǎn
稀泥,xīní,xīní
麦片,màipiàn,màipiàn
陆运,lùyùn,lùyùn
犯上,fànshàng,fànshàng
冷面,lěngmiàn,lěngmiàn
联销,liánxiāo,liánxiāo
惧色,jùsè,jùsè
借住,jièzhù,jièzhù
白描,báimiáo,báimiáo
扣杀,kòushā,kòushā
特需,tèxū,tèxū
延寿,yánshòu,yánshòu
时鲜,shíxiān,shíxiān
斑鸠,bānjiū,bānjiū
选录,xuǎnlù,xuǎnlù
机变,jībiàn,jībiàn
包管,bāoguǎn,bāoguǎn
地沟,dìgōu,dìgōu
雄关,xióngguān,xióngguān
先世,xiānshì,xiānshì
保育院,bǎoyùyuàn,bǎoyùyuàn
稍逊,shāoxùn,shāoxùn
推脱,tuītuō,tuītuō
天火,tiānhuǒ,tiānhuǒ
官衔,guānxián,guānxián
见面礼,jiànmiànlǐ,jiànmiànlǐ
拓荒者,tuòhuāngzhě,tuòhuāngzhě
印痕,yìnhén,yìnhén
擦边,cābiān,cābiān
南拳,nánquán,nánquán
超一流,chāoyīliú,chāoyīliú
积重难返,jīzhòng-nánfǎn,jīzhòng nánfǎn
七上八下,qīshàng-bāxià,qīshàng bāxià
斗转星移,dǒuzhuǎn-xīngyí,dǒuzhuǎn xīngyí
兴师动众,xīngshī-dòngzhòng,xīngshī dòngzhòng
思前想后,sīqián-xiǎnghòu,sīqián xiǎnghòu
低声下气,dīshēng-xiàqì,dīshēng xiàqì
结对子,jiéduìzi,jiéduìzi
春风化雨,chūnfēng-huàyǔ,chūnfēng huàyǔ
情有可原,qíngyǒukěyuán,qíngyǒukěyuán
事出有因,shìchū-yǒuyīn,shìchū yǒuyīn
红极一时,hóngjí-yīshí,hóngjí yīshí
没精打采,méijīng-dǎcǎi,méijīng dǎcǎi
煤炉,méilú,méilú
撒拉族,sālāzú,sālāzú
至迟,zhìchí,zhìchí
追述,zhuīshù,zhuīshù
轶闻,yìwén,yìwén
示爱,shì'ài,shì ài
碑记,bēijì,bēijì
主诉,zhǔsù,zhǔsù
野驴,yělǘ,yělǘ
俯仰,fǔyǎng,fǔyǎng
容留,róngliú,róngliú
盘缠,pánchan,pánchan
恋战,liànzhàn,liànzhàn
插头,chātóu,chātóu
烟筒,yāntong,yāntong
祸事,huòshì,huòshì
扬尘,yángchén,yángchén
商队,shāngduì,shāngduì
云雨,yúnyǔ,yúnyǔ
消受,xiāoshòu,xiāoshòu
赌球,dǔqiú,dǔqiú
酸软,suānruǎn,suānruǎn
令尊,lìngzūn,lìngzūn
砖窑,zhuānyáo,zhuānyáo
顽石,wánshí,wánshí
荷塘,hétáng,hétáng
硫化氢,liúhuàqīng,liúhuàqīng
热处理,rèchǔlǐ,rèchǔlǐ
等价物,děngjiàwù,děngjiàwù
眼中钉,yǎnzhōngdīng,yǎnzhōngdīng
小宝宝,xiǎobǎobao,xiǎobǎobao
万事如意,wànshì-rúyì,wànshì rúyì
大大咧咧,dàda-liēliē,dàda liēliē
哆哆嗦嗦,duōduō-suōsuō,duōduō suōsuō
前车之鉴,qiánchēzhījiàn,qiánchēzhījiàn
万紫千红,wànzǐ-qiānhóng,wànzǐ qiānhóng
逼抢,bīqiǎng,bīqiǎng
南音,nányīn,nányīn
原汤,yuántāng,yuántāng
抛光,pāoguāng,pāoguāng
贻害,yíhài,yíhài
写景,xiějǐng,xiějǐng
费神,fèishén,fèishén
化瘀,huàyū,huàyū
寂然,jìrán,jìrán
访古,fǎnggǔ,fǎnggǔ
横越,héngyuè,héngyuè
搔痒,sāoyǎng,sāoyǎng
四乡,sìxiāng,sìxiāng
腥臭,xīngchòu,xīngchòu
见笑,jiànxiào,jiànxiào
井架,jǐngjià,jǐngjià
