term,pinyin,cleaned_pinyin
胳膊,gēbo,gēbo
风暴,fēngbào,fēngbào
抱怨,bàoyuàn,bàoyuàn
验证,yànzhèng,yànzhèng
大好,dàhǎo,dàhǎo
高考,gāokǎo,gāokǎo
无偿,wúcháng,wúcháng
探测,tàncè,tàncè
成年人,chéngniánrén,chéngniánrén
名词,míngcí,míngcí
卡车,kǎchē,kǎchē
的士,dīshì,dīshì
投放,tóufàng,tóufàng
层层,céngcéng,céngcéng
风貌,fēngmào,fēngmào
发动机,fādòngjī,fādòngjī
抵制,dǐzhì,dǐzhì
面目,miànmù,miànmù
集成,jíchéng,jíchéng
验收,yànshōu,yànshōu
收盘,shōupán,shōupán
行驶,xíngshǐ,xíngshǐ
身亡,shēnwáng,shēnwáng
师生,shīshēng,shīshēng
救济,jiùjì,jiùjì
中学生,zhōngxuéshēng,zhōngxuéshēng
丝绸,sīchóu,sīchóu
便于,biànyú,biànyú
客机,kèjī,kèjī
而今,érjīn,érjīn
歧视,qíshì,qíshì
客厅,kètīng,kètīng
西欧,xī'ōu,xī ōu
老爷,lǎoye,lǎoye
章程,zhāngchéng,zhāngchéng
王子,wángzǐ,wángzǐ
抵押,dǐyā,dǐyā
风云,fēngyún,fēngyún
联手,liánshǒu,liánshǒu
国际贸易,guójì màoyì,guójì màoyì
中毒,zhòngdú,zhòngdú
再就业,zàijiùyè,zàijiùyè
销毁,xiāohuǐ,xiāohuǐ
节省,jiéshěng,jiéshěng
入手,rùshǒu,rùshǒu
举世,jǔshì,jǔshì
亮相,liàngxiàng,liàngxiàng
推翻,tuīfān,tuīfān
流量,liúliàng,liúliàng
曲折,qūzhé,qūzhé
年均,niánjūn,niánjūn
偶尔,ǒu'ěr,ǒu ěr
征求,zhēngqiú,zhēngqiú
纯收入,chúnshōurù,chúnshōurù
味精,wèijīng,wèijīng
山地,shāndì,shāndì
施加,shījiā,shījiā
处置,chǔzhì,chǔzhì
处境,chǔjìng,chǔjìng
经商,jīngshāng,jīngshāng
窗户,chuānghu,chuānghu
世界卫生组织,shìjiè wèishēng zǔzhī,shìjiè wèishēng zǔzhī
有待,yǒudài,yǒudài
反动,fǎndòng,fǎndòng
部件,bùjiàn,bùjiàn
观赏,guānshǎng,guānshǎng
康复,kāngfù,kāngfù
造型,zàoxíng,zàoxíng
风情,fēngqíng,fēngqíng
使用权,shǐyòngquán,shǐyòngquán
管制,guǎnzhì,guǎnzhì
死者,sǐzhě,sǐzhě
在手,zàishǒu,zàishǒu
生人,shēngrén,shēngrén
帮忙,bāngmáng,bāngmáng
公主,gōngzhǔ,gōngzhǔ
攻势,gōngshì,gōngshì
年历,niánlì,niánlì
众生,zhòngshēng,zhòngshēng
任职,rènzhí,rènzhí
审核,shěnhé,shěnhé
重任,zhòngrèn,zhòngrèn
颁奖,bānjiǎng,bānjiǎng
护士,hùshi,hùshi
火车站,huǒchēzhàn,huǒchēzhàn
揭露,jiēlù,jiēlù
哪怕,nǎpà,nǎpà
万一,wànyī,wànyī
迷信,míxìn,míxìn
眼镜,yǎnjìng,yǎnjìng
宣称,xuānchēng,xuānchēng
崇拜,chóngbài,chóngbài
工作组,gōngzuòzǔ,gōngzuòzǔ
突发,tūfā,tūfā
响应,xiǎngyìng,xiǎngyìng
借口,jièkǒu,jièkǒu
回落,huíluò,huíluò
拿下,náxià,náxià
不法,bùfǎ,bùfǎ
租赁,zūlìn,zūlìn
开心,kāixīn,kāixīn
不当,bùdàng,bùdàng
丛书,cóngshū,cóngshū
弟子,dìzǐ,dìzǐ
公有制,gōngyǒuzhì,gōngyǒuzhì
迅猛,xùnměng,xùnměng
新高,xīngāo,xīngāo
折磨,zhémó,zhémó
尽早,jǐnzǎo,jǐnzǎo
国运,guóyùn,guóyùn
省份,shěngfèn,shěngfèn
流血,liúxuè,liúxuè
游击队,yóujīduì,yóujīduì
共享,gòngxiǎng,gòngxiǎng
专程,zhuānchéng,zhuānchéng
违纪,wéijì,wéijì
战斗机,zhàndòujī,zhàndòujī
前线,qiánxiàn,qiánxiàn
审美,shěnměi,shěnměi
值班,zhíbān,zhíbān
浓厚,nónghòu,nónghòu
三代,sāndài,sāndài
彩色,cǎisè,cǎisè
中国人民解放军,zhōngguó rénmín jiěfàngjūn,zhōngguó rénmín jiěfàngjūn
冒险,màoxiǎn,màoxiǎn
电视机,diànshìjī,diànshìjī
旋律,xuánlǜ,xuánlǜ
以内,yǐnèi,yǐnèi
打听,dǎting,dǎting
刊物,kānwù,kānwù
日后,rìhòu,rìhòu
业者,yèzhě,yèzhě
信息产业,xìnxī chǎnyè,xìnxī chǎnyè
抽象,chōuxiàng,chōuxiàng
前期,qiánqī,qiánqī
大意,dàyì,dàyì
大意,dàyi,dàyi
辩证,biànzhèng,biànzhèng
传染病,chuánrǎnbìng,chuánrǎnbìng
传达,chuándá,chuándá
力学,lìxué,lìxué
温柔,wēnróu,wēnróu
生产资料,shēngchǎn zīliào,shēngchǎn zīliào
辩论,biànlùn,biànlùn
防护,fánghù,fánghù
等候,děnghòu,děnghòu
转达,zhuǎndá,zhuǎndá
加之,jiāzhī,jiāzhī
珍惜,zhēnxī,zhēnxī
传真,chuánzhēn,chuánzhēn
赤字,chìzì,chìzì
预定,yùdìng,yùdìng
观光,guānguāng,guānguāng
成品,chéngpǐn,chéngpǐn
念头,niàntou,niàntou
个数,gèshù,gèshù
总共,zǒnggòng,zǒnggòng
起源,qǐyuán,qǐyuán
糊涂,hútu,hútu
治家,zhìjiā,zhìjiā
要好,yàohǎo,yàohǎo
族权,zúquán,zúquán
供水,gōngshuǐ,gōngshuǐ
经纪,jīngjì,jīngjì
以免,yǐmiǎn,yǐmiǎn
录取,lùqǔ,lùqǔ
轻重,qīngzhòng,qīngzhòng
学理,xuélǐ,xuélǐ
多多,duōduō,duōduō
歌声,gēshēng,gēshēng
责令,zélìng,zélìng
餐厅,cāntīng,cāntīng
演唱,yǎnchàng,yǎnchàng
供求,gōngqiú,gōngqiú
召集,zhàojí,zhàojí
手下,shǒuxià,shǒuxià
重伤,zhòngshāng,zhòngshāng
不胜,bùshèng,bùshèng
无穷,wúqióng,wúqióng
大风,dàfēng,dàfēng
生命力,shēngmìnglì,shēngmìnglì
竞技,jìngjì,jìngjì
衷心,zhōngxīn,zhōngxīn
恋爱,liàn'ài,liàn ài
撤销,chèxiāo,chèxiāo
本文,běnwén,běnwén
缺点,quēdiǎn,quēdiǎn
菜系,càixì,càixì
民办,mínbàn,mínbàn
宴会,yànhuì,yànhuì
事务所,shìwùsuǒ,shìwùsuǒ
挂牌,guàpái,guàpái
养成,yǎngchéng,yǎngchéng
小事,xiǎoshì,xiǎoshì
要人,yàorén,yàorén
物流,wùliú,wùliú
有期,yǒuqī,yǒuqī
因之,yīnzhī,yīnzhī
跨国公司,kuàguó gōngsī,kuàguó gōngsī
派出所,pàichūsuǒ,pàichūsuǒ
有为,yǒuwéi,yǒuwéi
输入,shūrù,shūrù
要地,yàodì,yàodì
台商,táishāng,táishāng
社会效益,shèhuì xiàoyì,shèhuì xiàoyì
坚定不移,jiāndìng-bùyí,jiāndìng bùyí
并进,bìngjìn,bìngjìn
暂停,zàntíng,zàntíng
相连,xiānglián,xiānglián
学人,xuérén,xuérén
征服,zhēngfú,zhēngfú
演奏,yǎnzòu,yǎnzòu
邪教,xiéjiào,xiéjiào
货运,huòyùn,huòyùn
强行,qiángxíng,qiángxíng
阵容,zhènróng,zhènróng
金融危机,jīnróng wēijī,jīnróng wēijī
将近,jiāngjìn,jiāngjìn
偷偷,tōutōu,tōutōu
上场,shàngchǎng,shàngchǎng
衰退,shuāituì,shuāituì
绝望,juéwàng,juéwàng
会期,huìqī,huìqī
雄厚,xiónghòu,xiónghòu
果断,guǒduàn,guǒduàn
举动,jǔdòng,jǔdòng
无产阶级,wúchǎn jiējí,wúchǎn jiējí
产销,chǎnxiāo,chǎnxiāo
化石,huàshí,huàshí
地主,dìzhǔ,dìzhǔ
自有,zìyǒu,zìyǒu
包袱,bāofu,bāofu
人头,réntóu,réntóu
原定,yuándìng,yuándìng
消费品,xiāofèipǐn,xiāofèipǐn
王朝,wángcháo,wángcháo
经销,jīngxiāo,jīngxiāo
朝阳,cháoyáng,cháoyáng
朝阳,zhāoyáng,zhāoyáng
通话,tōnghuà,tōnghuà
受贿,shòuhuì,shòuhuì
展览会,zhǎnlǎnhuì,zhǎnlǎnhuì
电视剧,diànshìjù,diànshìjù
从实,cóngshí,cóngshí
国力,guólì,guólì
银牌,yínpái,yínpái
军用,jūnyòng,jūnyòng
图案,tú'àn,tú àn
大脑,dànǎo,dànǎo
内人,nèirén,nèirén
行规,hángguī,hángguī
