term,pinyin
痕迹,hénjì
全体会议,quántǐ huìyì
狠抓,hěnzhuā
现年,xiànnián
毁灭,huǐmiè
剧本,jùběn
撤军,chèjūn
饲养,sìyǎng
铜牌,tóngpái
商贸,shāngmào
谋求,móuqiú
本领,běnlǐng
器材,qìcái
长久,chángjiǔ
纤维,xiānwéi
里程,lǐchéng
缓和,huǎnhé
改组,gǎizǔ
上交,shàngjiāo
契机,qìjī
时光,shíguāng
烦恼,fánnǎo
受损,shòusǔn
立体,lìtǐ
筹资,chóuzī
中人,zhōngrén
勇于,yǒngyú
陆地,lùdì
出场,chūchǎng
免疫,miǎnyì
签约,qiānyuē
欧佩克,ōupèikè
手工,shǒugōng
中央银行,zhōngyāng yínháng
时事,shíshì
新任,xīnrèn
政治家,zhèngzhìjiā
再现,zàixiàn
宇航,yǔháng
空袭,kōngxí
屠杀,túshā
化妆,huàzhuāng
备战,bèizhàn
散发,sànfā
常年,chángnián
回避,huíbì
虚假,xūjiǎ
用工,yònggōng
地步,dìbù
立国,lìguó
归来,guīlái
休闲,xiūxián
扭转,niǔzhuǎn
培训班,péixùnbān
护工,hùgōng
一共,yīgòng
忠诚,zhōngchéng
苦难,kǔnàn
温和,wēnhé
接见,jiējiàn
华南,huánán
饲料,sìliào
难忘,nánwàng
天时,tiānshí
好评,hǎopíng
目睹,mùdǔ
黑人,hēirén
这边,zhèbian
农副产品,nóng-fù chǎnpǐn
构建,gòujiàn
精确,jīngquè
债权,zhàiquán
国医,guóyī
监视,jiānshì
飞船,fēichuán
登山,dēngshān
特意,tèyì
有心,yǒuxīn
发票,fāpiào
乃是,nǎishì
搜索,sōusuǒ
年报,niánbào
自卫,zìwèi
迄今为止,qìjīn-wéizhǐ
拖欠,tuōqiàn
邮件,yóujiàn
商机,shāngjī
基督教,jīdūjiào
冰箱,bīngxiāng
上届,shàngjiè
要闻,yàowén
良性,liángxìng
天真,tiānzhēn
怕是,pàshì
声响,shēngxiǎng
预料,yùliào
单打,dāndǎ
笑声,xiàoshēng
元素,yuánsù
妇联,fùlián
声誉,shēngyù
大限,dàxiàn
说不定,shuōbudìng
库存,kùcún
可观,kěguān
智能,zhìnéng
繁殖,fánzhí
亲眼,qīnyǎn
号码,hàomǎ
热门,rèmén
华文,huáwén
玩具,wánjù
社科,shèkē
音乐会,yīnyuèhuì
奉行,fèngxíng
肌肉,jīròu
工夫,gōngfu
播放,bōfàng
什么的,shénmede
男篮,nánlán
人造,rénzào
步行,bùxíng
凝聚力,níngjùlì
影子,yǐngzi
后悔,hòuhuǐ
震动,zhèndòng
编写,biānxiě
进度,jìndù
排列,páiliè
补助,bǔzhù
何不,hébù
处以,chǔyǐ
录音,lùyīn
用心,yòngxīn
至关重要,zhìguān-zhòngyào
往事,wǎngshì
一发,yīfā
下乡,xiàxiāng
高等教育,gāoděng jiàoyù
下一步,xiàyībù
法学,fǎxué
通车,tōngchē
定向,dìngxiàng
音像,yīnxiàng
惊奇,jīngqí
关联,guānlián
猛烈,měngliè
连日,liánrì
争端,zhēngduān
检疫,jiǎnyì
实话,shíhuà
侦查,zhēnchá
四方,sìfāng
屏幕,píngmù
层面,céngmiàn
气体,qìtǐ
公共汽车,gōnggòng qìchē
明亮,míngliàng
对照,duìzhào
投身,tóushēn
大片,dàpiàn
全线,quánxiàn
看成,kànchéng
后卫,hòuwèi
增大,zēngdà
身影,shēnyǐng
自称,zìchēng
妨碍,fáng'ài
余年,yúnián
违规,wéiguī
仓库,cāngkù
反抗,fǎnkàng
尖锐,jiānruì
兴旺,xīngwàng
英勇,yīngyǒng
道歉,dàoqiàn
光芒,guāngmáng
破获,pòhuò
电讯,diànxùn
着急,zháojí
热潮,rècháo
兵团,bīngtuán
深切,shēnqiè
歌唱,gēchàng
爵士,juéshì
一齐,yīqí
全心全意,quánxīn-quányì
世界银行,shìjiè yínháng
温饱,wēnbǎo
实情,shíqíng
力求,lìqiú
法郎,fǎláng
携手,xiéshǒu
优点,yōudiǎn
反击,fǎnjī
此人,cǐrén
厕所,cèsuǒ
冶金,yějīn
言语,yányu
言语,yányǔ
出具,chūjù
犯人,fànrén
灰色,huīsè
削弱,xuēruò
车子,chēzi
在乎,zàihu
座位,zuòwèi
用途,yòngtú
自然科学,zìrán kēxué
酱油,jiàngyóu
先锋,xiānfēng
水量,shuǐliàng
