term,pinyin
画师,huàshī
海鸥,hǎi'ōu
人民民主专政,rénmín mínzhǔ zhuānzhèng
教职员,jiào-zhíyuán
默哀,mò'āi
财产保险,cáichǎnbǎoxiǎn
漠不关心,mòbùguānxīn
小金库,xiǎojīnkù
大我,dàwǒ
关系学,guānxixué
政论,zhènglùn
农闲,nóngxián
垂死,chuísǐ
描红,miáohóng
我行我素,wǒxíng-wǒsù
首尾,shǒuwěi
掘进,juéjìn
画院,huàyuàn
悖论,bèilùn
重洋,chóngyáng
六合,liùhé
货单,huòdān
小站,xiǎozhàn
创优,chuàngyōu
满嘴,mǎnzuǐ
煤窑,méiyáo
戍边,shùbiān
党首,dǎngshǒu
安度,āndù
利器,lìqì
瓶装,píngzhuāng
溶化,rónghuà
亡命,wángmìng
样机,yàngjī
易主,yìzhǔ
铮铮,zhēngzhēng
寄居,jìjū
口称,kǒuchēng
大吃大喝,dàchī-dàhē
突入,tūrù
彩色电视,cǎisèdiànshì
新老交替,xīnlǎo jiāotì
休会,xiūhuì
虚空,xūkōng
回电,huídiàn
折价,zhéjià
现行法,xiànxíngfǎ
昂然,ángrán
真丝,zhēnsī
错失,cuòshī
稻米,dàomǐ
舒坦,shūtan
除法,chúfǎ
婚纱,hūnshā
坟地,féndì
枝条,zhītiáo
判官,pànguān
百业,bǎiyè
不负众望,bùfù-zhòngwàng
生养,shēngyǎng
超速,chāosù
剪影,jiǎnyǐng
责任事故,zérèn shìgù
分门别类,fēnmén-biélèi
默不作声,mòbùzuòshēng
天涯海角,tiānyá-hǎijiǎo
照会,zhàohuì
迷途,mítú
海警,hǎijǐng
泪痕,lèihén
明摆着,míngbǎizhe
精疲力尽,jīngpí-lìjìn
不胫而走,bùjìng'érzǒu
有的放矢,yǒudì-fàngshǐ
不容置疑,bùróng-zhìyí
冠状病毒,guānzhuàng bìngdú
保单,bǎodān
养子,yǎngzǐ
判断力,pànduànlì
猫头鹰,māotóuyīng
隔膜,gémó
刻板,kèbǎn
偏执,piānzhí
奔忙,bēnmáng
信纸,xìnzhǐ
分科,fēnkē
副职,fùzhí
发情,fāqíng
念佛,niànfó
耐火,nàihuǒ
江防,jiāngfáng
乡音,xiāngyīn
同日而语,tóngrì'éryǔ
夜景,yèjǐng
老两口,lǎoliǎngkǒu
加害,jiāhài
丸子,wánzi
因循,yīnxún
受气,shòuqì
笔调,bǐdiào
色光,sèguāng
垦荒,kěnhuāng
师母,shīmǔ
概算,gàisuàn
调教,tiáojiào
核裁军,hécáijūn
点明,diǎnmíng
市布,shìbù
诵经,sòngjīng
口舌,kǒushé
单行本,dānxíngběn
红领巾,hónglǐngjīn
此道,cǐdào
翰林,hànlín
作罢,zuòbà
铸就,zhùjiù
余光,yúguāng
灼见,zhuójiàn
并力,bìnglì
商办,shāngbàn
主见,zhǔjiàn
走强,zǒuqiáng
取道,qǔdào
升级换代,shēngjí-huàndài
铺张浪费,pūzhāng-làngfèi
斗牛,dòuniú
每况愈下,měikuàng-yùxià
半封建,bànfēngjiàn
事半功倍,shìbàn-gōngbèi
桎梏,zhìgù
心静,xīnjìng
世袭,shìxí
回话,huíhuà
知识面,zhīshimiàn
前哨,qiánshào
计策,jìcè
平交,píngjiāo
骇人听闻,hàirén-tīngwén
险要,xiǎnyào
重彩,zhòngcǎi
倾覆,qīngfù
冬眠,dōngmián
柴火,cháihuo
至宝,zhìbǎo
巨匠,jùjiàng
整容,zhěngróng
痛感,tònggǎn
账目,zhàngmù
星宿,xīngxiù
凭吊,píngdiào
祝酒,zhùjiǔ
粗细,cūxì
扉页,fēiyè
轻浮,qīngfú
堵车,dǔchē
题记,tíjì
报章,bàozhāng
军兵种,jūn-bīngzhǒng
除开,chúkāi
导管,dǎoguǎn
专文,zhuānwén
彩云,cǎiyún
尼姑,nígū
先驱者,xiānqūzhě
网罗,wǎngluó
空头,kōngtóu
支气管,zhīqìguǎn
足下,zúxià
呜呼,wūhū
白鹤,báihè
雨衣,yǔyī
玉成,yùchéng
交口,jiāokǒu
岳母,yuèmǔ
绝症,juézhèng
明镜,míngjìng
有底,yǒudǐ
水彩,shuǐcǎi
情思,qíngsī
击毁,jīhuǐ
暗处,ànchù
馆子,guǎnzi
卫戍,wèishù
烟消云散,yānxiāo-yúnsàn
励精图治,lìjīng-túzhì
用得着,yòngdezháo
翻版,fānbǎn
节育,jiéyù
公证处,gōngzhèngchù
沾染,zhānrǎn
成气候,chéngqìhòu
地方病,dìfāngbìng
打印机,dǎyìnjī
绒毛,róngmáo
突兀,tūwù
臭名,chòumíng
烤鸭,kǎoyā
主峰,zhǔfēng
帮困,bāngkùn
助词,zhùcí
启航,qǐháng
名句,míngjù
血染,xuèrǎn
入骨,rùgǔ
奴才,núcai
准绳,zhǔnshéng
夜饭,yèfàn
化外,huàwài
印度教,yìndùjiào
共同语,gòngtóngyǔ
基础工业,jīchǔ gōngyè
身先士卒,shēnxiānshìzú
大失所望,dàshī-suǒwàng
制革,zhìgé
伤兵,shāngbīng
忙活,mánghuo
唾液,tuòyè
萎靡,wěimǐ
高就,gāojiù
世态,shìtài
断代,duàndài
切中,qièzhòng
何故,hégù
复古,fùgǔ
鸦雀无声,yāquè-wúshēng
正教,zhèngjiào
开凿,kāizáo
一站式,yīzhànshì
平明,píngmíng
往复,wǎngfù
文化层,wénhuàcéng
不要脸,bùyàoliǎn
陈皮,chénpí
奇缺,qíquē
紫荆,zǐjīng
补足,bǔzú
济贫,jìpín
穗子,suìzi
灯会,dēnghuì
唧唧,jījī
情网,qíngwǎng
铜钱,tóngqián
塞外,sàiwài
连篇,liánpiān
登科,dēngkē
玉玺,yùxǐ
画坛,huàtán
侧耳,cè'ěr
打垮,dǎkuǎ
传唱,chuánchàng
综艺,zōngyì
湍急,tuānjí
战略导弹,zhànlüè dǎodàn
拜师,bàishī
统考,tǒngkǎo
知情权,zhīqíngquán
蒙古包,měnggǔbāo
稳当,wěndang
余悸,yújì
病残,bìngcán
穷尽,qióngjìn
前妻,qiánqī
梳头,shūtóu
叠加,diéjiā
幸事,xìngshì
金玉,jīnyù
玲玲,línglíng
依偎,yīwēi
不巧,bùqiǎo
斩断,zhǎnduàn
国粹,guócuì
当机立断,dāngjī-lìduàn
起居室,qǐjūshì
黑匣子,hēixiázi
电视塔,diànshìtǎ
羊毛衫,yángmáoshān
词曲,cíqǔ
镜片,jìngpiàn
抹杀,mǒshā
西子,xīzǐ
绽开,zhànkāi
发软,fāruǎn
粉丝,fěnsī
恶臭,èchòu
住嘴,zhùzuǐ
教区,jiàoqū
追捧,zhuīpěng
窥探,kuītàn
居民身份证,jūmín shēnfènzhèng
特殊教育,tèshū jiàoyù
慢性病,mànxìngbìng
处女作,chǔnǚzuò
改口,gǎikǒu
鸣枪,míngqiāng
两江,liǎngjiāng
温带,wēndài
懒散,lǎnsǎn
爱不释手,àibùshìshǒu
爽口,shuǎngkǒu
野地,yědì
北疆,běijiāng
饭盒,fànhé
年届,niánjiè
减刑,jiǎnxíng
旅费,lǚfèi
品学兼优,pǐnxué-jiānyōu
有机体,yǒujītǐ
啼笑皆非,tíxiào-jiēfēi
谢天谢地,xiètiān-xièdì
代代相传,dàidài-xiāngchuán
水文站,shuǐwénzhàn
牧人,mùrén
全称,quánchēng
踱步,duóbù
选本,xuǎnběn
修剪,xiūjiǎn
种蛋,zhǒngdàn
沉迷,chénmí
迭出,diéchū
工装,gōngzhuāng
让路,rànglù
徒然,túrán
应答,yìngdá
谨防,jǐnfáng
害处,hàichu
镀金,dùjīn
叩头,kòutóu
解题,jiětí
中观,zhōngguān
年轮,niánlún
奴仆,núpú
辩驳,biànbó
居住面积,jūzhù miànjī
房舍,fángshè
柳条,liǔtiáo
筵席,yánxí
路风,lùfēng
自荐,zìjiàn
散会,sànhuì
轻薄,qīngbó
终了,zhōngliǎo
人身权,rénshēnquán
严于律己,yányúlǜjǐ
商法,shāngfǎ
刀枪,dāoqiāng
妃子,fēizi
叛国,pànguó
答谢,dáxiè
绑匪,bǎngfěi
冠冕,guānmiǎn
入迷,rùmí
横梁,héngliáng
茅庐,máolú
对火,duìhuǒ
校庆,xiàoqìng
偏激,piānjī
才具,cáijù
窃窃,qièqiè
导线,dǎoxiàn
旗子,qízi
驾驶室,jiàshǐshì
寄语,jìyǔ
灯亮儿,dēngliàngr
蛇头,shétóu
出轨,chūguǐ
活计,huóji
降落伞,jiàngluòsǎn
视网膜,shìwǎngmó
擦肩而过,cājiān'érguò
恰如其分,qiàrúqífèn
助人为乐,zhùrén-wéilè
渗出,shènchū
迫降,pòjiàng
迫降,pòxiáng
抢眼,qiǎngyǎn
岩层,yáncéng
经事,jīngshì
健身房,jiànshēnfáng
鲜见,xiǎnjiàn
笛子,dízi
烧烤,shāokǎo
亡灵,wánglíng
烟云,yānyún
迁都,qiāndū
标示,biāoshì
吱声,zīshēng
现职,xiànzhí
鲸鱼,jīngyú
警员,jǐngyuán
买断,mǎiduàn
飞溅,fēijiàn
点数,diǎnshù
派系,pàixì
绝后,juéhòu
渣滓,zhāzǐ
无精打采,wújīng-dǎcǎi
桥头堡,qiáotóubǎo
富农,fùnóng
洞房,dòngfáng
补交,bǔjiāo
皇城,huángchéng
围堰,wéiyàn
妖魔,yāomó
对攻,duìgōng
黑地,hēidì
套书,tàoshū
扫墓,sǎomù
爱女,àinǚ
障碍物,zhàng'àiwù
合众国,hézhòngguó
微观经济,wēiguān jīngjì
舒缓,shūhuǎn
物美价廉,wùměi-jiàlián
群策群力,qúncè-qúnlì
奋发图强,fènfā-túqiáng
半圆,bànyuán
电传,diànchuán
惊骇,jīnghài
义地,yìdì
挨家挨户,āijiā-āihù
领工,lǐnggōng
锐气,ruìqì
流行性,liúxíngxìng
闲人,xiánrén
巨轮,jùlún
葱花,cōnghuā
识见,shíjiàn
话把儿,huàbàr
补时,bǔshí
混血儿,hùnxuè'ér
浅海,qiǎnhǎi
青稞,qīngkē
啜泣,chuòqì
货机,huòjī
发声,fāshēng
鞍马,ānmǎ
相知,xiāngzhī
行骗,xíngpiàn
如释重负,rúshìzhòngfù
糊里糊涂,húlihútú
宇宙飞船,yǔzhòu fēichuán
实用主义,shíyòng zhǔyì
供暖,gōngnuǎn
遭殃,zāoyāng
现代舞,xiàndàiwǔ
倾向性,qīngxiàngxìng
图腾,túténg
专管,zhuānguǎn
银元,yínyuán
夫家,fūjiā
禀报,bǐngbào
万贯,wànguàn
后路,hòulù
紧锁,jǐnsuǒ
再利用,zàilìyòng
工本,gōngběn
寒意,hányì
啼哭,tíkū
繁体,fántǐ
暖流,nuǎnliú
简练,jiǎnliàn
油水,yóushui
酸甜苦辣,suān-tián-kǔ-là
庞然大物,pángrán-dàwù
从天而降,cóngtiān'érjiàng
气象卫星,qìxiàng wèixīng
文豪,wénháo
俊美,jùnměi
湮没,yānmò
热度,rèdù
乱说,luànshuō
勤勉,qínmiǎn
野猪,yězhū
白净,báijing
好色,hàosè
液态,yètài
幽深,yōushēn
守备,shǒubèi
器乐,qìyuè
笔会,bǐhuì
耷拉,dāla
痢疾,lìji
厂主,chǎngzhǔ
圈养,juànyǎng
增建,zēngjiàn
伐木,fámù
字条,zìtiáo
风车,fēngchē
拥政爱民,yōngzhèng-àimín
乳制品,rǔzhìpǐn
保护神,bǎohùshén
母公司,mǔgōngsī
私企,sīqǐ
私房,sīfáng
私房,sīfang
子部,zǐbù
高士,gāoshì
乡民,xiāngmín
火球,huǒqiú
高射炮,gāoshèpào
捉弄,zhuōnòng
伞兵,sǎnbīng
农耕,nónggēng
奇葩,qípā
书卷,shūjuàn
墨镜,mòjìng
犀牛,xīniú
竹笋,zhúsǔn
神速,shénsù
愧疚,kuìjiù
停办,tíngbàn
风寒,fēnghán
厚礼,hòulǐ
抄录,chāolù
夜深人静,yèshēn-rénjìng
敬酒,jìngjiǔ
索道,suǒdào
钟楼,zhōnglóu
补缺,bǔquē
回民,huímín
洗衣粉,xǐyīfěn
眼巴巴,yǎnbābā
连用,liányòng
考据,kǎojù
阎王,yánwang
拆毁,chāihuǐ
手镯,shǒuzhuó
仕途,shìtú
野性,yěxìng
周长,zhōucháng
落花,luòhuā
口角,kǒujiǎo
口角,kǒujué
湛蓝,zhànlán
铁饼,tiěbǐng
仁爱,rén'ài
齐名,qímíng
舞美,wǔměi
春色,chūnsè
男方,nánfāng
铝合金,lǚhéjīn
云霞,yúnxiá
烈焰,lièyàn
宙斯,zhòusī
大器,dàqì
人文主义,rénwén zhǔyì
舷梯,xiántī
习用,xíyòng
阀门,fámén
食客,shíkè
打气,dǎqì
门帘,ménlián
方舟,fāngzhōu
就教,jiùjiào
动手术,dòngshǒushù
天蓝,tiānlán
发电站,fādiànzhàn
飘动,piāodòng
上钩,shànggōu
冥冥,míngmíng
皮靴,píxuē
生物圈,shēngwùquān
磁铁,cítiě
容人,róngrén
红脸,hóngliǎn
翻来覆去,fānlái-fùqù
荷包,hébāo
细语,xìyǔ
排骨,páigǔ
后起之秀,hòuqǐzhīxiù
整装,zhěngzhuāng
礼金,lǐjīn
压缩机,yāsuōjī
凶器,xiōngqì
当铺,dàngpù
城隍,chénghuáng
华发,huáfà
缓急,huǎnjí
蚕茧,cánjiǎn
双全,shuāngquán
发炎,fāyán
罪责,zuìzé
清洁能源,qīngjié néngyuán
瞬息万变,shùnxī-wànbiàn
飘忽,piāohū
骨科,gǔkē
蛊惑,gǔhuò
女真,nǚzhēn
高利贷,gāolìdài
伤脑筋,shāngnǎojīn
雍容,yōngróng
群情,qúnqíng
凶险,xiōngxiǎn
球拍,qiúpāi
未可,wèikě
加宽,jiākuān
专横,zhuānhèng
楼群,lóuqún
女巫,nǚwū
划算,huásuàn
眩晕,xuànyùn
打搅,dǎjiǎo
译名,yìmíng
青衣,qīngyī
军旗,jūnqí
后来人,hòuláirén
现身说法,xiànshēn-shuōfǎ
鸣叫,míngjiào
红眼,hóngyǎn
老爹,lǎodiē
兴学,xīngxué
卖主,màizhǔ
试问,shìwèn
合十,héshí
千篇一律,qiānpiān-yīlǜ
达赖喇嘛,dálài lǎma
闷闷不乐,mènmèn-bùlè
正传,zhèngzhuàn
送葬,sòngzàng
告慰,gàowèi
孩子气,háiziqì
长矛,chángmáo
静听,jìngtīng
扬眉吐气,yángméi-tǔqì
农妇,nóngfù
召集人,zhàojírén
边境线,biānjìngxiàn
背脊,bèijǐ
草根,cǎogēn
零食,língshí
旅社,lǚshè
宗法,zōngfǎ
左邻右舍,zuǒlín-yòushè
礼宾,lǐbīn
不爽,bùshuǎng
雕琢,diāozhuó
宋词,sòngcí
弹指,tánzhǐ
孕期,yùnqī
累赘,léizhui
织女,zhīnǚ
踌躇满志,chóuchú-mǎnzhì
战利品,zhànlìpǐn
走过场,zǒuguòchǎng
旅行团,lǚxíngtuán
过意不去,guòyìbùqù
知识青年,zhīshi qīngnián
镯子,zhuózi
乱子,luànzi
唁电,yàndiàn
春水,chūnshuǐ
驼背,tuóbèi
泼辣,pōla
王权,wángquán
跑马,pǎomǎ
查考,chákǎo
透气,tòuqì
皮衣,píyī
宛若,wǎnruò
擒获,qínhuò
闭眼,bìyǎn
霸占,bàzhàn
水花,shuǐhuā
坡度,pōdù
各司其职,gèsīqízhí
剩余价值,shèngyú jiàzhí
沾沾自喜,zhānzhān-zìxǐ
唾弃,tuòqì
隐忧,yǐnyōu
礼花,lǐhuā
胆略,dǎnlüè
边界线,biānjièxiàn
青霉素,qīngméisù
经书,jīngshū
传诵,chuánsòng
异己,yìjǐ
温床,wēnchuáng
难耐,nánnài
已极,yǐjí
来潮,láicháo
受旱,shòuhàn
夹缝,jiāfèng
排版,páibǎn
要挟,yāoxié
繁茂,fánmào
下饭,xiàfàn
并联,bìnglián
泪眼,lèiyǎn
擦拭,cāshì
计费,jìfèi
肠子,chángzi
坐立不安,zuòlì-bù'ān
一塌糊涂,yītā-hútú
封顶,fēngdǐng
照章,zhàozhāng
银币,yínbì
后心,hòuxīn
蒸汽机,zhēngqìjī
面壁,miànbì
感谢信,gǎnxièxìn
蓝宝石,lánbǎoshí
不同凡响,bùtóng-fánxiǎng
下辖,xiàxiá
日间,rìjiān
出炉,chūlú
了断,liǎoduàn
玄武,xuánwǔ
钱庄,qiánzhuāng
台灯,táidēng
振荡,zhèndàng
船主,chuánzhǔ
徽章,huīzhāng
哨声,shàoshēng
远郊,yuǎnjiāo
保修,bǎoxiū
球体,qiútǐ
爆裂,bàoliè
底气,dǐqì
宠儿,chǒng'ér
咧咧,liēlie
扬威,yángwēi
亦然,yìrán
面生,miànshēng
修士,xiūshì
蹦跳,bèngtiào
甜菜,tiáncài
问责,wènzé
棺木,guānmù
飞身,fēishēn
戴帽儿,dàimàor
同犯,tóngfàn
战史,zhànshǐ
痒痒,yǎngyang
焦炭,jiāotàn
病院,bìngyuàn
心理障碍,xīnlǐ zhàng'ài
七嘴八舌,qīzuǐ-bāshé
情状,qíngzhuàng
一统天下,yītǒng-tiānxià
饭厅,fàntīng
头雁,tóuyàn
运动量,yùndòngliàng
统帅部,tǒngshuàibù
联络员,liánluòyuán
鼎力,dǐnglì
终裁,zhōngcái
溶洞,róngdòng
分群,fēnqún
雪中送炭,xuězhōng-sòngtàn
一见钟情,yījiàn-zhōngqíng
文化站,wénhuàzhàn
酌情,zhuóqíng
开脱,kāituō
创制,chuàngzhì
反扑,fǎnpū
义卖,yìmài
甲烷,jiǎwán
发报,fābào
预审,yùshěn
总动员,zǒngdòngyuán
金刚石,jīngāngshí
端午节,duānwǔjié
生态工程,shēngtài gōngchéng
法律制裁,fǎlǜ zhìcái
抑郁症,yìyùzhèng
受罚,shòufá
课业,kèyè
秋千,qiūqiān
消融,xiāoróng
向前看,xiàngqiánkàn
奇遇,qíyù
体高,tǐgāo
领受,lǐngshòu
小跑,xiǎopǎo
丁点儿,dīngdiǎnr
石青,shíqīng
阔气,kuòqi
老病,lǎobìng
蜗牛,wōniú
麋鹿,mílù
脸谱,liǎnpǔ
浑浊,húnzhuó
缄默,jiānmò
纠集,jiūjí
腋下,yèxià
余粮,yúliáng
会友,huìyǒu
创设,chuàngshè
局外人,júwàirén
优越感,yōuyuègǎn
唐人街,tángrénjiē
回娘家,huíniángjia
首肯,shǒukěn
慷慨激昂,kāngkǎi-jī'áng
人山人海,rénshān-rénhǎi
白手起家,báishǒu-qǐjiā
冤案,yuān'àn
峥嵘,zhēngróng
美美,měiměi
古堡,gǔbǎo
人满为患,rénmǎn-wéihuàn
善行,shànxíng
自纠,zìjiū
德性,déxing
减半,jiǎnbàn
扬帆,yángfān
帮子,bāngzi
小肠,xiǎocháng
宣纸,xuānzhǐ
精诚,jīngchéng
拐角,guǎijiǎo
流明,liúmíng
复印机,fùyìnjī
顺水,shùnshuǐ
红颜,hóngyán
一边倒,yībiāndǎo
铁板,tiěbǎn
发号施令,fāhào-shīlìng
发人深思,fārén-shēnsī
无可非议,wúkěfēiyì
雷动,léidòng
通条,tōngtiáo
瞒报,mánbào
良苦,liángkǔ
睡意,shuìyì
掩体,yǎntǐ
奉劝,fèngquàn
保释,bǎoshì
吓倒,xiàdǎo
吹捧,chuīpěng
出证,chūzhèng
亘古,gèngǔ
旺销,wàngxiāo
棚子,péngzi
难产,nánchǎn
毒瘤,dúliú
花布,huābù
顾家,gùjiā
附会,fùhuì
环境科学,huánjìng kēxué
袖手旁观,xiùshǒu-pángguān
消费基金,xiāofèi jījīn
恳请,kěnqǐng
吃食,chīshi
吃食,chīshí
单人滑,dānrénhuá
引咎,yǐnjiù
山荒,shānhuāng
叫绝,jiàojué
歼击,jiānjī
级差,jíchā
当空,dāngkōng
墨迹,mòjì
分晓,fēnxiǎo
代称,dàichēng
停息,tíngxī
失窃,shīqiè
爱子,àizǐ
明渠,míngqú
交臂,jiāobì
蒸馏,zhēngliú
桃仁,táorén
托儿所,tuō'érsuǒ
唯物论,wéiwùlùn
魔王,mówáng
星体,xīngtǐ
心魄,xīnpò
承传,chéngchuán
攻陷,gōngxiàn
心旷神怡,xīnkuàng-shényí
忍辱,rěnrǔ
六甲,liùjiǎ
礼炮,lǐpào
中波,zhōngbō
抽奖,chōujiǎng
劝慰,quànwèi
皮纸,pízhǐ
歌咏,gēyǒng
惨死,cǎnsǐ
生肖,shēngxiào
亢奋,kàngfèn
设点,shèdiǎn
中枢神经,zhōngshū shénjīng
皆大欢喜,jiēdàhuānxǐ
天理,tiānlǐ
危险品,wēixiǎnpǐn
持久战,chíjiǔzhàn
电风扇,diànfēngshàn
预警机,yùjǐngjī
开方,kāifāng
金卡,jīnkǎ
离境,líjìng
茸茸,róngróng
补办,bǔbàn
对位,duìwèi
转送,zhuǎnsòng
好心人,hǎoxīnrén
学习机,xuéxíjī
忘情,wàngqíng
娇小,jiāoxiǎo
腿脚,tuǐjiǎo
昭著,zhāozhù
赋诗,fùshī
母乳,mǔrǔ
谩骂,mànmà
接线,jiēxiàn
听筒,tīngtǒng
年号,niánhào
邮品,yóupǐn
守恒,shǒuhéng
熊掌,xióngzhǎng
结缘,jiéyuán
抄家,chāojiā
打磨,dǎmó
假释,jiǎshì
烟盒,yānhé
代行,dàixíng
预兆,yùzhào
社情,shèqíng
收尾,shōuwěi
牌楼,páilou
麻疹,mázhěn
生产工具,shēngchǎn gōngjù
吞吞吐吐,tūntūn-tǔtǔ
大员,dàyuán
升任,shēngrèn
夏娃,xiàwá
并驾齐驱,bìngjià-qíqū
山色,shānsè
谦和,qiānhé
省力,shěnglì
双语,shuāngyǔ
反光,fǎnguāng
绊倒,bàndǎo
高个子,gāogèzi
正理,zhènglǐ
车带,chēdài
哀思,āisī
水球,shuǐqiú
谎称,huǎngchēng
于是乎,yúshìhū
中转站,zhōngzhuǎnzhàn
相视,xiāngshì
备齐,bèiqí
不兴,bùxīng
半世,bànshì
队日,duìrì
锻造,duànzào
坚贞,jiānzhēn
作伴,zuòbàn
延时,yánshí
情分,qíngfèn
打压,dǎyā
苦读,kǔdú
遗言,yíyán
时代感,shídàigǎn
考点,kǎodiǎn
信实,xìnshí
发胖,fāpàng
痛斥,tòngchì
画图,huàtú
夹道,jiādào
水晶宫,shuǐjīnggōng
中间人,zhōngjiānrén
豁然开朗,huòrán-kāilǎng
存留,cúnliú
辅佐,fǔzuǒ
清洁生产,qīngjié shēngchǎn
血本,xuèběn
一臂之力,yībìzhīlì
十全十美,shíquán-shíměi
接济,jiējì
丁克,dīngkè
天敌,tiāndí
扶养,fúyǎng
两全,liǎngquán
棍棒,gùnbàng
响动,xiǎngdong
瑟瑟,sèsè
王侯,wánghóu
野鸭,yěyā
皮肤病,pífūbìng
示意图,shìyìtú
晶体管,jīngtǐguǎn
三令五申,sānlìng-wǔshēn
田家,tiánjiā
置办,zhìbàn
败局,bàijú
独居,dújū
电荷,diànhè
选秀,xuǎnxiù
房客,fángkè
生菜,shēngcài
票证,piàozhèng
絮语,xùyǔ
炒菜,chǎocài
技校,jìxiào
通病,tōngbìng
针刺,zhēncì
高估,gāogū
邮箱,yóuxiāng
刊号,kānhào
清苦,qīngkǔ
行书,xíngshū
手书,shǒushū
容光,róngguāng
花环,huāhuán
前无古人,qiánwúgǔrén
支离破碎,zhīlí-pòsuì
急于求成,jíyú-qiúchéng
真知灼见,zhēnzhī-zhuójiàn
饮食业,yǐnshíyè
草棚,cǎopéng
下力,xiàlì
冒牌,màopái
反观,fǎnguān
脱俗,tuōsú
失散,shīsàn
打住,dǎzhù
偷听,tōutīng
国情咨文,guóqíng zīwén
单机,dānjī
辅料,fǔliào
恤金,xùjīn
蓬蓬,péngpéng
内海,nèihǎi
村学,cūnxué
自修,zìxiū
婶婶,shěnshen
失真,shīzhēn
早产,zǎochǎn
博弈,bóyì
碟子,diézi
讨饭,tǎofàn
动迁,dòngqiān
丹青,dānqīng
当班,dāngbān
记性,jìxing
代劳,dàiláo
合眼,héyǎn
并产,bìngchǎn
接续,jiēxù
纸浆,zhǐjiāng
创见,chuàngjiàn
援军,yuánjūn
龙卷风,lóngjuǎnfēng
清淤,qīngyū
军事化,jūnshìhuà
唱主角,chàngzhǔjué
启运,qǐyùn
墓室,mùshì
城管,chéngguǎn
战壕,zhànháo
影集,yǐngjí
春播,chūnbō
重文,chóngwén
注水,zhùshuǐ
大菜,dàcài
眼红,yǎnhóng
完满,wánmǎn
晦涩,huìsè
可资,kězī
外星人,wàixīngrén
抢滩,qiǎngtān
上品,shàngpǐn
金碧辉煌,jīnbì-huīhuáng
匹敌,pǐdí
甘露,gānlù
施放,shīfàng
温差,wēnchā
这么着,zhèmezhe
老大爷,lǎodàye
地方戏,dìfāngxì
造像,zàoxiàng
笔耕,bǐgēng
历险,lìxiǎn
计算机病毒,jìsuànjī bìngdú
门板,ménbǎn
天方夜谭,tiānfāng-yètán
侍奉,shìfèng
视事,shìshì
雪亮,xuěliàng
悻悻,xìngxìng
瓷砖,cízhuān
敢问,gǎnwèn
润滑油,rùnhuáyóu
水银,shuǐyín
头前,tóuqián
撒娇,sājiāo
展团,zhǎntuán
花会,huāhuì
物料,wùliào
醉人,zuìrén
母语,mǔyǔ
补品,bǔpǐn
开场白,kāichǎngbái
年富力强,niánfù-lìqiáng
黑压压,hēiyāyā
高洁,gāojié
航路,hánglù
自慰,zìwèi
别离,biélí
出首,chūshǒu
探听,tàntīng
该当,gāidāng
结肠,jiécháng
天书,tiānshū
盛宴,shèngyàn
自娱,zìyú
歪斜,wāixié
卸货,xièhuò
保守派,bǎoshǒupài
容积,róngjī
教民,jiàomín
杂谈,zátán
磐石,pánshí
静电,jìngdiàn
双轨,shuāngguǐ
腥味儿,xīngwèir
成约,chéngyuē
乘凉,chéngliáng
诡秘,guǐmì
怎么的,zěnmedì
死胡同,sǐhútòng
一尘不染,yīchén-bùrǎn
施救,shījiù
守望,shǒuwàng
保收,bǎoshōu
疏漏,shūlòu
违抗,wéikàng
政见,zhèngjiàn
山火,shānhuǒ
反潜,fǎnqián
相好,xiānghǎo
驿站,yìzhàn
洪大,hóngdà
青椒,qīngjiāo
东张西望,dōngzhāng-xīwàng
历史文物,lìshǐ wénwù
曾几何时,céngjǐhéshí
行旅,xínglǚ
三包,sānbāo
破败,pòbài
狐疑,húyí
海马,hǎimǎ
里弄,lǐlòng
春雷,chūnléi
打字机,dǎzìjī
直逼,zhíbī
鼎沸,dǐngfèi
隽永,juànyǒng
无余,wúyú
日晒,rìshài
苦役,kǔyì
冒名,màomíng
背水一战,bèishuǐ-yīzhàn
音色,yīnsè
学养,xuéyǎng
票贩子,piàofànzi
发面,fāmiàn
坏处,huàichu
吞食,tūnshí
订正,dìngzhèng
剃头,tìtóu
祖上,zǔshàng
苦脸,kǔliǎn
扫视,sǎoshì
小艇,xiǎotǐng
上篮,shànglán
放大镜,fàngdàjìng
底价,dǐjià
楼台,lóutái
得不偿失,débùchángshī
捷足先登,jiézú-xiāndēng
欢天喜地,huāntiān-xǐdì
畅快,chàngkuài
塞上,sàishàng
嫌弃,xiánqì
下跪,xiàguì
历法,lìfǎ
羁绊,jībàn
开列,kāiliè
雨声,yǔshēng
存单,cúndān
割舍,gēshě
金贵,jīnguì
低息,dīxī
随想,suíxiǎng
加速度,jiāsùdù
米袋子,mǐdàizi
小时工,xiǎoshígōng
黑恶势力,hēi'è shìlì
过得去,guòdeqù
私生活,sīshēnghuó
痴痴,chīchī
候车室,hòuchēshì
自告奋勇,zìgào-fènyǒng
仿照,fǎngzhào
设身处地,shèshēn-chǔdì
苦工,kǔgōng
损人,sǔnrén
柔美,róuměi
玩味,wánwèi
冒风险,màofēngxiǎn
无记名投票,wújìmíng tóupiào
作祟,zuòsuì
跌势,diēshì
有请,yǒuqǐng
粉笔,fěnbǐ
荣登,róngdēng
袖口,xiùkǒu
草人,cǎorén
长裙,chángqún
磨坊,mòfáng
周至,zhōuzhì
国际劳动节,guójì láodòngjié
