definition_id,pinyin_id,ref_hanzi,ref_pinyin,definition_sn,pos,definition_cn
13163,4119,,,1,量词,"古代长度单位,8尺或7尺为1仞"
13164,4120,,,1,动词,用针线把衣、被的面子和里子以及其中的棉絮等稀疏地缝缀在一起，使不分离滑动
13165,4121,,,1,名词,我国西北黄土高原上的一种地貌。周围被流水冲刷而形成沟壑，边缘陡峭，顶上仍保持原来形成时比较平坦的状态。如陕北的洛川塬、陇东的董志塬等
13166,4122,,,1,名词,金属元素，符号：Ir。银白色，质硬而脆，高温时有延展性，熔点很高，是化学性质最稳定的金属。多用于制造科学仪器
13167,4123,,,1,名词,鱼类体内可以胀缩的囊状器官。内部充有气体，收缩时鱼下沉，膨胀时鱼上浮。有调节身体密度或在缺氧时辅助呼吸的作用。可供食用或制鳔胶
13168,4123,,,2,名词,鳔胶
13169,4124,,,1,动词,把凉的东西紧靠热的东西，使变暖
13170,4125,,,1,形容词,〈口〉矮小
13171,4125,,,2,动词,身子往下缩；向下降
13172,4126,,,1,动词,物体经长时间浸泡或密集堆积而变质
13173,4127,,,1,名词,水中的气泡
13174,4128,,,1,动词,烹调方法，把易熟的食物放到开水锅里稍煮一下
13175,4128,,,2,动词,〈口〉用汆子烧（水）
13176,4128,,,3,名词,〈口〉汆子
13177,4129,,,1,叹词,表示惊讶或赞叹
13178,4129,,,2,拟声词,模拟笑声
13179,4130,,,1,叹词,〈文〉表示悲叹伤感，相当于“唉”
13180,4131,,,1,名词,铜制打击乐器，两个圆片为一副，中间凸起成半球状，正中有孔，可以穿绸布条供手持，两片相击发声
13181,4132,,,1,动词,（食品、衣物等）被烧烤而变焦、变黄或变黑
13182,4133,,,1,拟声词,模拟快速行动或摩擦的声音
13183,4134,噌吰,chēnghóng,1,,模拟钟鼓的声音
13184,4135,,,1,动词,（用席、布等）覆盖；遮蔽
13185,4136,,,1,名词,用草编成的覆盖或铺垫的用具
13186,4137,,,1,名词,青蛙、乌龟、鸭子、水獭等水栖或有水栖习性的动物脚趾间的皮膜，便于划水
13187,4137,,,2,名词,像蹼一样的用具
13188,4138,,,1,量词,牵引犁、耙等农具的畜力单位。能拉动一张犁或耙的畜力叫一犋
13189,4139,,,1,名词,滑稽有趣的动作、语言或表情
13190,4139,,,2,形容词,〈口〉滑稽；有趣
13191,4140,,,1,动词,欺骗；哄骗
