rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
65129,五绝,wǔjué,,,,见“ 绝句 ”,
65341,汉隶,hànlì,,,,见“ 隶书 ”,
65483,热带低压,rèdài dīyā,,,,见“ 热带气旋 ”,
65495,凤尾鱼,fèngwěiyú,,,,见“ 鲚 ”,
65561,脑颅,nǎolú,,,,见“ 颅骨 ”,
66008,电子手表,diànzǐ shǒubiǎo,,,,见“ 电子表 ”,
66175,透漏,tòulòu,,,,见“ 透露 ” 现在一般写作“透露”,
66332,文韬武略,wéntāo-wǔlüè,,,,见“ 韬略 ”,
66514,尾椎,wěizhuī,,,,见“ 脊柱 ”,
66724,人造毛,rénzàomáo,,,,见“ 人造纤维 ”,
66817,扁桃腺,biǎntáoxiàn,,,,见“ 扁桃体 ”,
67064,石英表,shíyīngbiǎo,,,,见“ 石英钟 ”,
67179,圈操,quāncāo,,,,见“ 艺术体操 ”,
67271,新雨,xīnyǔ,,,,见“ 旧雨 ”,
67470,舒张压,shūzhāngyā,,,,见“ 血压 ”,
67860,呢料,níliào,,,,见“ 呢子 ”,
67953,警督,jǐngdū,,,,见“ 警衔 ”,
68071,脚踏板,jiǎotàbǎn,,,,见“ 踏板 ”,
68223,绳操,shéngcāo,,,,见“ 艺术体操 ”,
68378,百衲本,bǎinàběn,,,,见“ 百衲衣 ”,
68385,莲蓬头,liánpengtóu,,,,见“ 喷头 ”,
68422,后悔药,hòuhuǐyào,,,,见“ 吃后悔药 ”,
68535,妙笔生花,miàobǐ-shēnghuā,,,,见“ 生花妙笔 ”,
68662,黄皮书,huángpíshū,,,,见“ 白皮书 ”,
68737,闲雅,xiányǎ,,,,见“ 娴雅 ” 现在一般写作“娴雅”,
68886,北温带,běiwēndài,,,,见“ 温带 ”,
69007,南极圈,nánjíquān,,,,见“ 极圈 ”,
69201,骨牌效应,gǔpái xiàoyìng,,,,见“ 多米诺骨牌 ”,
69397,车裂,chēliè,,,,见“ 五马分尸 ”,
69763,奉为圭臬,fèngwéi-guīniè,,,,见“ 圭臬 ”,
69868,唱独角戏,chàngdújiǎoxì,,,,见“ 独角戏 ”,
69872,无事不登三宝殿,wúshì bù dēng sānbǎodiàn,,,,见“ 三宝 ”,
69924,辩手,biànshǒu,,,,见“ 辩论赛 ”,
69994,大国沙文主义,dàguó shāwén zhǔyì,,,,见“ 沙文主义 ”,
