rank,hanzi,pinyin,mismatch_parsed,invalid_parsed,has_subdefs,raw_html
3501,耶,yē,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>耶</x-hw><x-pr> yé</x-pr>
<dt><x-sn>①</x-sn><x-gram>助</x-gram>〈文〉用在句末，表示疑问或反问的语气，相当于“吗” “呢”<x-f>。</x-f></dt><dd><x-ex>然则何时而乐<x-key>耶</x-key>?</x-ex></dd>
<dt><x-sn>②</x-sn><sbl2>○</sbl2>古同“<a href=""entry://爷"" type=""sameas"">爷</a>”<x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>读 yē，用于音译，如“耶稣” “耶路撒冷”<x-f>。</x-f></t-note><x-ref>另见</x-ref><a href=""entry://耶"" type=""seealso"">yē</a><x-f>。</x-f></dt><hr><dt class='title'><x-hw>耶</x-hw><x-pr> yē</x-pr>音译用字，用于“耶稣” “耶路撒冷”（地名，在亚洲西部）等<x-f>。</x-f></dt>
<dt><x-ref>另见</x-ref><a href=""entry://耶"" type=""seealso"">yé</a><x-f>。</x-f>
"
3502,嗯,ěng,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>嗯</x-hw><x-pr> ěng</x-pr><br>〈口〉<x-gram>叹</x-gram>表示不以为然或出乎意料<x-f>。</x-f></dt><dd><x-ex><x-key>嗯</x-key>，没有那么严重吧!</x-ex><x-ex><x-lb> | </x-lb><x-key>嗯</x-key>，怎么会呢!</x-ex></dd>
<dt><x-ref>另见</x-ref><a href=""entry://嗯"" type=""seealso"">éng</a><x-f>；</x-f><a href=""entry://嗯"" type=""seealso"">èng</a><x-f>。</x-f></dt><hr><dt class='title'><x-hw>嗯</x-hw><x-pr> èng</x-pr><br>〈口〉<x-gram>叹</x-gram>表示应诺<x-f>。</x-f></dt><dd><x-ex><x-key>嗯</x-key>，就照你说的办吧</x-ex><x-ex><x-lb> | </x-lb>（在电话中）<x-key>嗯</x-key>，<x-key>嗯</x-key>，你说吧<x-f>。</x-f></x-ex></dd>
<dt><x-ref>另见</x-ref><a href=""entry://嗯"" type=""seealso"">éng</a><x-f>；</x-f><a href=""entry://嗯"" type=""seealso"">ěng</a><x-f>。</x-f></dt><hr><dt class='title'><x-hw>嗯</x-hw><x-pr> éng</x-pr>
<dt>〈口〉<x-gram>叹</x-gram>表示疑问<x-f>。</x-f></dt><dd><x-ex><x-key>嗯</x-key>?你怎么不说话了?</x-ex><x-ex><x-lb> | </x-lb>你说什么，<x-key>嗯</x-key>?</x-ex></dd>
<dt><x-ref>另见</x-ref><a href=""entry://嗯"" type=""seealso"">ěng</a><x-f>；</x-f><a href=""entry://嗯"" type=""seealso"">èng</a><x-f>。</x-f>
"
3503,咯,gē,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>咯</x-hw><x-pr> gē</x-pr>
<dt>见下。<a href=""entry://咯噔"">咯噔</a><x-f>，</x-f><a href=""entry://咯咯"">咯咯</a><x-f>，</x-f><a href=""entry://咯吱"">咯吱</a><x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>读 kǎ，表示动作，指东西从咽喉里咳出来，如“咯血” “把鱼刺咯出来”；读 gē，拟声词，如“皮鞋咯咯作响”；读 luò，音译用字，如“吡咯”<x-f>。</x-f></t-note><x-ref>另见</x-ref><a href=""entry://咯"" type=""seealso"">kǎ</a><x-f>；</x-f><a href=""entry://咯"" type=""seealso"">luò</a><x-f>。</x-f></dt><hr><dt class='title'><x-hw>咯</x-hw><x-pr> kǎ</x-pr>
<dt><x-gram>动</x-gram>用力把东西从食道或气管里咳出来<x-f>。</x-f></dt><dd><x-ex>把鱼刺<x-key>咯</x-key>出来</x-ex><x-ex><x-lb> | </x-lb><x-key>咯</x-key>痰</x-ex><x-ex><x-lb> | </x-lb><x-key>咯</x-key>血</x-ex></dd>
<dt><x-ref>另见</x-ref><a href=""entry://咯"" type=""seealso"">gē</a><x-f>；</x-f><a href=""entry://咯"" type=""seealso"">luò</a><x-f>。</x-f></dt><hr><dt class='title'><x-hw>咯</x-hw><x-pr> luò</x-pr>
<dt>音译用字，用于“吡（bǐ）咯”等<x-f>。</x-f></dt>
<dt><x-ref>另见</x-ref><a href=""entry://咯"" type=""seealso"">gē</a><x-f>；</x-f><a href=""entry://咯"" type=""seealso"">kǎ</a><x-f>。</x-f>
"
3504,麽,mó,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>麽</x-hw><x-pr> mó</x-pr>
<dt><x-sn>①</x-sn>见“<a href=""entry://幺麽"" type=""see"">幺（yāo）麽</a>”<x-f>。</x-f>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-gram>名</x-gram>姓<x-f>。</x-f></dt>
<dt>另见 me“<a href=""entry://么"" type=""seealso"">么</a>”<x-f>。</x-f>
"
3505,噢,ō,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>噢</x-hw><x-pr> ō</x-pr>
<dt><x-gram>叹</x-gram>表示知道<x-f>。</x-f></dt><dd><x-ex><x-key>噢</x-key>，明白了!</x-ex></dd>
"
3506,於,wū,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>於</x-hw><x-pr> wū</x-pr>
<dt>见下。<a href=""entry://於戏"">於戏</a><x-f>，</x-f><a href=""entry://於菟"">於菟</a><x-f>。</x-f><br><x-ref>另见</x-ref><a href=""entry://於"" type=""seealso"">yū</a><x-f>；</x-f><a href=""entry://於"" type=""seealso"">yú</a><x-f>。</x-f></dt><hr><dt class='title'><x-hw>於</x-hw><x-pr> yū</x-pr>
<dt><x-gram>名</x-gram>姓<x-f>。</x-f></dt>
<dt><x-ref>另见</x-ref><a href=""entry://於"" type=""seealso"">wū</a><x-f>；</x-f><a href=""entry://於"" type=""seealso"">yú</a><x-f>。</x-f></dt><hr><dt class='title'><x-hw>於</x-hw><x-pr> yú</x-pr>
<dt>用于地名。如：於陵，古地名，在今山东邹平东南；於潜，旧县名，在浙江,1960年并入临安<x-f>。</x-f></dt>
<dt><x-ref>另见</x-ref><a href=""entry://於"" type=""seealso"">wū</a><x-f>；</x-f><a href=""entry://於"" type=""seealso"">yū</a><x-f>。</x-f>
"
3507,唔,wú,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>唔</x-hw><x-pr> wú</x-pr><br>见“<a href=""entry://咿唔"" type=""see"">咿（yī）唔</a>”<x-f>。</x-f>
"
3508,暨,jì,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>暨</x-hw><x-pr> jì</x-pr>
<dt><x-sn>①</x-sn><x-gram>动</x-gram>〈文〉到；至<x-f>。</x-f></dt><dd><x-ex>自古<x-key>暨</x-key>今</x-ex></dd>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-g>连</x-g>连接并列的名词或名词性短语，相当于“和” “与” “及”<x-f>。</x-f></dt><dd><x-ex>竣工典礼<x-key>暨</x-key>庆功大会<x-f>。</x-f></x-ex></dd><t-note><x-lb>用法说明</x-lb>连词“暨”跟“及”不同。“暨”具有典雅庄重意味；“及”不具有这种特定意味<x-f>。</x-f></t-note>
"
3509,噶,gá,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>噶</x-hw><x-pr> gá</x-pr>
<dt>音译用字，用于“噶伦”（原西藏地方政府的主要官员）、“噶厦”（gáxià，原西藏地方政府）、“萨噶达瓦节”（藏族地区纪念释迦牟尼诞辰的节日）等<x-f>。</x-f></dt><t-note><x-lb>用法说明</x-lb>统读 gá，不读 gé<x-f>。</x-f></t-note>
"
3510,琛,chēn,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>琛</x-hw><x-pr> chēn</x-pr><br>〈文〉<x-gram>名</x-gram>珍宝<x-f>。</x-f></dt><t-note><x-lb>用法说明</x-lb>不读 shēn<x-f>。</x-f></t-note>
"
