rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
80080,申饬,shēnchì,,,,见“ 申斥 ” 现在一般写作“申斥”,
80412,一枕黄粱,yīzhěn-huángliáng,,,,见“ 黄粱梦 ” 用法说明 “粱”不要误写作“梁”,
80807,铅芯,qiānxīn,,,,见“ 铅笔 ”,
80968,纸煤,zhǐméi,,,,见“ 纸媒 ” 现在一般写作“纸媒”,
81390,放印子,fàngyìnzi,,,,见“ 印子钱 ”,
81668,工分值,gōngfēnzhí,,,,见“ 工分 ”,
81808,切诊,qièzhěn,,,,见“ 望闻问切 ”,
82276,形旁,xíngpáng,,,,见“ 形声 ”,
82520,南温带,nánwēndài,,,,见“ 温带 ”,
82569,唱双簧,chàngshuānghuáng,,,,见“ 双簧 ”,
82619,老宋体,lǎosòngtǐ,,,,见“ 宋体 ”,
82687,北寒带,běihándài,,,,见“ 寒带 ”,
82746,通用字,tōngyòngzì,,,,见“ 通用字表 ”,
82790,濡沫,rúmò,,,,见“ 相濡以沫 ”,
82799,熔体,róngtǐ,,,,见“ 熔断器 ”,
82850,暖炕,nuǎnkàng,,,,见“ 炕 ”,
82875,铜壶滴漏,tónghú dīlòu,,,,见“ 漏壶 ”,
83076,闻诊,wénzhěn,,,,见“ 望闻问切 ”,
83282,鼎峙,dǐngzhì,,,,见“ 鼎立 ”,
83315,警省,jǐngxǐng,,,,见“ 警醒 ” 现在一般写作“警醒”,
83479,铅直,qiānzhí,,,,见“ 铅垂线 ”,
83523,璧还,bìhuán,,,,见“ 完璧归赵 ”,
83619,熟石膏,shúshígāo,,,,见“ 石膏 ”,
83988,二伏,èrfú,,,,见“ 三伏 ”,
84103,伥鬼,chāngguǐ,,,,见“ 为虎作伥 ”,
84167,末伏,mòfú,,,,见“ 三伏 ”,
84271,全音,quányīn,,,,见“ 半音 ”,
84398,双糖,shuāngtáng,,,,见“ 碳水化合物 ”,
84940,梓里,zǐlǐ,,,,见“ 桑梓 ”,
