rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
80001,训读,xùndú,,,动,日文借用汉字书写日语原有的词，用日语读汉字。训读只借汉字的形和义，不读汉字的音,
80002,吐穗,tǔsuì,,,动,稻、麦、高粱等禾本科植物长出穗,吐穗 扬花
80003,蒜黄,suànhuáng,,,名,黄色蒜叶。大蒜在不受阳光照射并在适当的温度、湿度下培育成的蔬菜,
80007,萼片,èpiàn,,,名,组成花萼的叶状薄片,
80011,乞援,qǐyuán,,,动,乞求支援,向亲友 乞援
80014,邮售,yóushòu,,,动,通过邮递方式销售（物品）,
80016,铸字,zhùzì,,,动,指旧时浇铸铅字,
80018,虎劲,hǔjìn,,,名,像老虎那样勇猛无畏的劲头,
80020,剂子,jìzi,,,名,做馒头、饺子等面食时，把大面团揉成长条后再分成的均匀小块,馒头 剂子
80021,湖绉,húzhòu,,,名,浙江湖州出产的一种有皱纹的丝织品,
80023,发哑,fāyǎ,,,动,嗓音变得沙哑,感冒挺重，说话声音都 发哑 了 。
80025,联奏,liánzòu,,,动,把一组乐曲串联起来，由若干不同的乐器轮流演奏或同一团队依次演奏,
80029,胡缠,húchán,,,动,无理纠缠,一味 胡缠 ，不讲理 。
80031,番瓜,fānguā,,,名,某些地区指南瓜,
80032,厮熟,sīshú,,,形,彼此很熟悉,混得 厮熟
80034,巡哨,xúnshào,,,动,巡逻侦察,今晚二班 巡哨
80035,宣旨,xuānzhǐ,,,动,封建时代指宣布帝王的命令,
80036,搭脉,dāmài,,,动,诊脉,
80038,晚境,wǎnjìng,,,名,晚年的境况,
80041,私第,sīdì,,,名,私邸；私宅,
80042,奋击,fènjī,,,动,奋力攻击；奋力搏击,群起 奋击
80043,烤电,kǎodiàn,,,动,利用高频电流使人体患病部位受热，从而达到治疗目的,
80044,应卯,yìngmǎo,,,动,旧时官府的官吏和差役在每天卯时（清晨5—7时）听候点名，被点到名的人应声，称为应卯。后借指按例到场敷衍一下,
80045,村塾,cūnshú,,,名,村学,
80046,粹美,cuìměi,,,形,纯洁善良；纯正美好,品学 粹美
80046,粹美,cuìměi,,,形,精美,遣词造句， 粹美 精当 。
80048,催奶,cuīnǎi,,,动,用药物或食品促使产妇分泌较多的乳汁,喝鲫鱼汤 催奶
80049,风害,fēnghài,,,名,风灾,
80051,风级,fēngjí,,,名,气象学上指风力大小的等级，从0到17共18级。12级以上的风陆上极其罕见,
80054,农械,nóngxiè,,,名,农用器械；特指喷粉、喷雾等使用的器具,
80055,枉驾,wǎngjià,,,动,敬词，用于称对方来访，表示委屈大驾,先生 枉驾 光临，深感荣幸 。
80057,锋镝,fēngdí,,,名,刀刃和箭头（镝：箭头）。泛指兵器；也借指战争,藏 锋镝 于怀中
80057,锋镝,fēngdí,,,名,刀刃和箭头（镝：箭头）。泛指兵器；也借指战争,使城池幸免 锋镝
80060,水锈,shuǐxiù,,,名,水垢,
80060,水锈,shuǐxiù,,,名,器皿长期盛水留下的痕迹,
80063,相除,xiāngchú,,,动,两数用除法运算求其商,
80065,茨菰,cígū,,,,现在一般写作“慈姑”,
80066,拉后腿,lāhòutuǐ,,,,比喻利用亲情或密切的关系阻挠或牵制他人正当的行动,
80066,拉后腿,lāhòutuǐ,,,,比喻局部工作不力而影响全局工作的进展,
