rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
85088,呼嚎,hūháo,,,,见“呼号（háo）” 在一般写作“呼号”,
85317,陵迟,língchí,,,,见“ 凌迟 ” 现在一般写作“凌迟”,
85339,虚辞,xūcí,,,,见“ 虚词 ” 现在一般写作“虚词”,
85364,剔红,tīhóng,,,,见“ 雕漆 ”,
85430,侧足,cèzú,,,,见“ 厕足 ” 现在一般写作“厕足”,
85751,圆括号,yuánkuòhào,,,,见“ 括号 ”,
85764,遮阳镜,zhēyángjìng,,,,见“ 太阳镜 ”,
85839,南寒带,nánhándài,,,,见“ 寒带 ”,
86301,一唱百和,yīchàng-bǎihè,,,,见“ 一倡百和 ” 现在一般写作“一倡百和”,
86509,临深履薄,línshēn-lǚbó,,,,见“ 如临深渊，如履薄冰 ”,
86539,金属探伤,jīnshǔ tànshāng,,,,见“探伤”,
86609,百分表,bǎifēnbiǎo,,,,见“ 千分表 ”,
87036,钙化点,gàihuàdiǎn,,,,见“ 钙化 ”,
87232,曼延,mànyán,,,,见“ 蔓延 ” 现在一般写作“蔓延”,
87377,热孝,rèxiào,,,,见“ 戴孝 ”,
87465,枋子,fāngzi,,,,见“ 方子 ” 现在一般写作“方子”,
87510,伏帖,fútiē,,,,见“ 服帖 ” 现在一般写作“服帖”,
87510,伏帖,fútiē,,,,见“ 伏贴 ” 现在一般写作“伏贴”,
87587,别开蹊径,biékāi-xījìng,,,,见“ 独辟蹊径 ”,
87821,妄下雌黄,wàngxià-cíhuáng,,,,见“ 雌黄 ”,
88047,数伏,shǔfú,,,,见“伏天”,
88201,背躬,bèigōng,,,,见“ 旁白 ”,
88461,窥豹一斑,kuībào-yībān,,,,见“ 管中窥豹 ”,
88633,黔驴之技,qiánlǘzhījì,,,,见“ 黔驴技穷 ”,
88799,千虑一失,qiānlǜ-yīshī,,,,见“ 千虑一得 ”,
88903,重趼,chóngjiǎn,,,,见“ 重茧 ” 现在一般写作“重茧”,
89104,入国问禁,rùguó-wènjìn,,,,见“ 入境问俗 ”,
89160,等离子态,děnglízǐtài,,,,见“ 等离子体 ”,
89502,可丁可卯,kědīng-kěmǎo,,,,见“ 丁是丁，卯是卯 ”,
89523,超平彩电,chāopíngcǎidiàn,,,,见“ 超平显像管 ”,
89547,下马看花,xiàmǎ-kànhuā,,,,见“ 走马观花 ”,
89699,圪垯,gēda,,,,见“ 疙瘩 ” 现在一般写作“疙瘩”,
