rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
35136,牛郎,niúláng,,,,见“ 牛郎织女 ”,
35281,会元,huìyuán,,,,见“ 会试 ”,
35501,不人道,bùréndào,,,,见“ 人道 ”,
35604,电话局,diànhuàjú,,,,见“ 电信局 ”,
35622,五毒,wǔdú,,,,见“ 五反 ”,
35683,大前提,dàqiántí,,,,见“ 三段论 ”,
35834,视图,shìtú,,,,见“ 投影 ”,
35876,抵销,dǐxiāo,,,,见“ 抵消 ” 现在一般写作“抵消”,
35968,倾城,qīngchéng,,,,见“ 倾城倾国 ”,
36055,作俑,zuòyǒng,,,,见“ 始作俑者 ”,
36197,固态,gùtài,,,,见“ 固体 ”,
36497,开金,kāijīn,,,,见“开2”①,
36613,金桂,jīnguì,,,,见“ 桂花 ”,
36797,见仁见智,jiànrén-jiànzhì,,,,见“ 仁者见仁，智者见智 ”,
36831,生光,shēngguāng,,,,见“ 食相 ”,
37524,青年节,qīngniánjié,,,,见“ 五四青年节 ”,
37537,精练,jīngliàn,,,,见“ 精炼 ” 现在一般写作“精炼”,
37763,七律,qīlǜ,,,,见“ 律诗 ”,
37824,白种人,báizhǒngrén,,,,见“ 人种 ”,
37865,半夜三更,bànyè-sāngēng,,,,见“更（gēng）”,
38120,余辉,yúhuī,,,名,见“ 余晖 ” 现在规范词形写作“ 余晖 ” 发光器关闭后残留的光彩 长 余辉 节能霓虹灯,
38417,白玉兰,báiyùlán,,,,见“ 玉兰 ”,
38503,班禅额尔德尼,bānchán'é'ěrdéní,,,,见“ 班禅 ”,
38591,精兵简政,jīngbīng-jiǎnzhèng,,,,见“ 简政放权 ”,
38720,孳生,zīshēng,,,,见“ 滋生 ” 现在一般写作“滋生”,
38726,炎凉,yánliáng,,,,见“ 世态炎凉 ”,
39111,后事之师,hòushìzhīshī,,,,见“ 前事不忘，后事之师 ”,
39269,彩管,cǎiguǎn,,,,见“ 显像管 ”,
39619,樟木,zhāngmù,,,,见“ 樟 ”,
39755,伏天,fútiān,,,,见“ 三伏 ”,
39946,饱经沧桑,bǎojīng-cāngsāng,,,,见“ 沧海桑田 ”,
39996,欧亚大陆桥,ōu-yà dàlùqiáo,,,,见“ 大陆桥 ”,
