hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn,hsk_level
3408,嗯,3502,3856,èng,1,
3408,嗯,3502,3857,éng,2,
3408,嗯,3502,3858,ěng,3,
3409,咯,3503,3859,kǎ,1,
3409,咯,3503,3860,luò,2,
3410,噢,3505,3861,ō,1,
3411,嘎,3511,3862,gā,1,
3411,嘎,3511,3863,gǎ,2,
3412,酶,3513,3864,méi,1,
3413,嗨,3514,3865,hāi,1,
3413,嗨,3514,3866,hēi,2,
3414,噗,3517,3867,pū,1,
3415,咩,3523,3868,miē,1,
3416,铀,3527,3869,yóu,1,
3417,嘘,3531,3870,xū,1,
3417,嘘,3531,3871,shī,2,
3418,嘟,3532,3872,dū,1,
3419,狄,3548,3873,dí,1,
3420,咚,3557,3874,dōng,1,
3421,钡,3561,3875,bèi,1,
3422,钛,3564,3876,tài,1,
3423,镍,3578,3877,niè,1,
3424,樊,3579,3878,fán,1,
3425,柯,3582,3879,kē,1,
3426,毋,3596,3880,wú,1,
3427,妾,3598,3881,qiè,1,
3428,镭,3601,3882,léi,1,
3429,瞥,3603,3883,piē,1,
3430,陇,3615,3884,lǒng,1,
3431,焖,3618,3885,mèn,1,
3432,甄,3620,3886,zhēn,1,
3433,锭,3624,3887,dìng,1,
3434,咔,3627,3888,kā,1,
3434,咔,3627,3889,kǎ,2,
3435,妞,3629,3890,niū,1,
3436,奚,3633,3891,xī,1,
3437,靓,3639,3892,liàng,1,
3437,靓,3639,3893,jìng,2,
3438,踹,3642,3894,chuài,1,
3439,韦,3649,3895,wéi,1,
3440,兀,3653,3896,wù,1,
3441,侃,3670,3897,kǎn,1,
3442,蘸,3671,3898,zhàn,1,
3443,剁,3679,3899,duò,1,
3444,哽,3687,3900,gěng,1,
3445,炖,3697,3901,dùn,1,
3446,喵,3698,3902,miāo,1,
3447,遛,3710,3903,liù,1,
3448,臧,3720,3904,zāng,1,
3449,燎,3728,3905,liáo,1,
3449,燎,3728,3906,liǎo,2,
3450,沓,3729,3907,dá,1,
3450,沓,3729,3908,tà,2,
3451,攥,3730,3909,zuàn,1,
3452,诛,3732,3910,zhū,1,
3453,氟,3733,3911,fú,1,
3454,撂,3742,3912,liào,1,
3455,硒,3747,3913,xī,1,
3456,搪,3761,3914,táng,1,
3457,槌,3765,3915,chuí,1,
3458,哧,3768,3916,chī,1,
3459,犊,3770,3917,dú,1,
3460,偕,3787,3918,xié,1,
3461,疽,3807,3919,jū,1,
3462,撅,3808,3920,juē,1,
3463,舷,3809,3921,xián,1,
3464,覃,3813,3922,tán,1,
3465,饷,3824,3923,xiǎng,1,
3466,揖,3826,3924,yī,1,
3467,铡,3829,3925,zhá,1,
3468,掣,3830,3926,chè,1,
3469,盅,3832,3927,zhōng,1,
3470,亟,3834,3928,jí,1,
3470,亟,3834,3929,qì,2,
3471,镁,3843,3930,měi,1,
3472,幡,3845,3931,fān,1,
3473,辕,3858,3932,yuán,1,
3474,煸,3863,3933,biān,1,
3475,赊,3864,3934,shē,1,
3476,缄,3869,3935,jiān,1,
3477,掬,3889,3936,jū,1,
3478,黏,3901,3937,nián,1,
3479,煲,3911,3938,bāo,1,
3480,攒,3921,3939,zǎn,1,
3480,攒,3921,3940,cuán,2,
3481,牟,3934,3941,móu,1,
3481,牟,3934,3942,mù,2,
3482,鹫,3944,3943,jiù,1,
3483,镣,3955,3944,liào,1,
3484,奕,3960,3945,yì,1,
3485,呦,3961,3946,yōu,1,
3486,帧,3988,3947,zhēn,1,
3487,茹,3993,3948,rú,1,
3488,汲,3997,3949,jí,1,
3489,虞,3999,3950,yú,1,
3490,撸,4007,3951,lū,1,
3491,腌,4011,3952,yān,1,
3491,腌,4011,3953,ā,2,
3492,蹑,4015,3954,niè,1,
3493,痈,4040,3955,yōng,1,
3494,糜,4044,3956,mí,1,
3494,糜,4044,3957,méi,2,
3495,蜇,4046,3958,zhē,1,
3495,蜇,4046,3959,zhé,2,
3496,祁,4055,3960,qí,1,
3497,嫖,4056,3961,piáo,1,
3498,滕,4062,3962,téng,1,
3499,焙,4064,3963,bèi,1,
3500,腭,4066,3964,è,1,
3501,酊,4070,3965,dīng,1,
3502,泓,4074,3966,hóng,1,
3503,锉,4076,3967,cuò,1,
3504,迸,4079,3968,bèng,1,
3505,孬,4102,3969,nāo,1,
3506,鳃,4104,3970,sāi,1,
3507,娼,4111,3971,chāng,1,
3508,咦,4132,3972,yí,1,
3509,踝,4134,3973,huái,1,
