rank,cihui
75001,大漆
75002,去雄
75003,省便
75004,合卺
75005,译配
75006,窗眼
75007,露华
75008,漆雕
75009,高根
75010,桥台
75011,厄难
75012,悬乎
75013,称叹
75014,牛李
75015,谯楼
75016,宝号
75017,含怨
75018,役畜
75019,路劫
75020,量算
75021,地方民族主义
75022,巧辩
75023,叩齿
75024,承安
75025,耕夫
75026,土系
75027,家鸽
75028,沟堑
75029,砂型
75030,肛瘘
75031,窗扉
75032,德业
75033,寇仇
75034,条施
75035,供菜
75036,低昂
75037,彻里彻外
75038,打春
75039,牝牡
75040,苍海
75041,宠惯
75042,填房
75043,大疮
75044,刀山火海
75045,济助
75046,修眉
75047,鲁颂
75048,幽隐
75049,回驳
75050,踢腾
75051,徒长
75052,弹花
75053,辰星
75054,畴昔
75055,辩诬
75056,钩针
75057,漂儿
75058,环食
75059,贫化
75060,电料
75061,卢生
75062,白痢
75063,豆青
75064,幽闲
75065,鲍伊
75066,白磷
75067,厌腻
75068,低柔
75069,此据
75070,阻绝
75071,液冷
75072,夸道
75073,解悟
75074,周诗
75075,票夹
75076,藕色
75077,斧正
75078,佐伊
75079,芫花
75080,帮伙
75081,辅食
75082,胡燕
75083,鼻根
75084,硬脂
75085,灵棚
75086,文籍
75087,软驱
75088,俳优
75089,公比
75090,导标
75091,标函
75092,串话
75093,灵效
75094,驳正
75095,胡越
75096,金柜
75097,喜丧
75098,篙子
75099,穷忙
75100,操典
75101,端然
75102,背债
75103,相角
75104,梆硬
75105,壁虱
75106,费穆
75107,藩台
75108,按耐
75109,周鼎
75110,贝兹
75111,相里
75112,相逆
75113,卜通
75114,贝京
75115,白朴
75116,朴硝
75117,闺怨
75118,笔洗
75119,硬话
75120,锦鳞
75121,惠连
75122,白鳝
75123,从俭
75124,表里一致
75125,舍本求末
75126,稀有元素
75127,自由泛滥
75128,瑕瑜互见
75129,塔塔尔族
75130,里急后重
75131,适逢其会
75132,传呼电话
75133,人妖颠倒
75134,点头之交
75135,唇红齿白
75136,网络警察
75137,躬逢其盛
75138,九死不悔
75139,车轱辘话
75140,碧草如茵
75141,震天撼地
75142,尸位素餐
75143,徐娘半老
75144,一长一短
75145,始终不懈
75146,以德服人
75147,圆桌面
75148,颜延之
75149,含英咀华
75150,感叹词
75151,夫复何言
75152,隐蔽所
75153,顿足捶胸
75154,五更天
75155,指甲花
75156,民权主义
75157,赵公明
75158,翁同和
75159,周公旦
75160,五讲四美三热爱
75161,抽象劳动
75162,找窍门
75163,千里姻缘一线牵
75164,陪审制
75165,名山胜水
75166,脱脂棉
75167,目不旁视
75168,夜光表
75169,RMB
75170,吹吹拍拍
75171,格鲁克
75172,从谏如流
75173,错待
75174,究诘
75175,鸭苗
75176,大难不死，必有后福
75177,背理
75178,短绌
75179,气眼
75180,肩窝
75181,英迈
75182,密不通风
75183,赎当
75184,嬉耍
75185,土邦
75186,凶讯
75187,把势
75188,丛葬
75189,铅板
75190,汉姓
75191,周阳
75192,悼辞
75193,数念
75194,别异
75195,鹰扬
75196,水牢
75197,偏安一隅
75198,谱架
75199,汗法
75200,轮唱
75201,奥顿
75202,铁纱
75203,偷嘴
75204,主点
75205,膏血
75206,倒烟
