rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
85001,抽闲,chōuxián,,,动,抽空,忙中 抽闲
85002,糅杂,róuzá,,,动,杂糅,
85006,寸楷,cùnkǎi,,,名,大小约一寸见方的楷体毛笔字,壁上挂的是一幅 寸楷 的《治家格言》 。
85008,笛膜,dímó,,,名,贴在紧临吹孔的孔上的竹膜或苇膜，吹笛时可振动发声,
85010,石蒜,shísuàn,,,名,多年生草本植物，秋天开红色或白色伞状花。地下球形鳞茎有毒，含石蒜碱，可以做药材,
85011,麦粒肿,màilìzhǒng,,,名,急性睑腺炎。症状是眼睑边缘靠近睫毛处出现麦粒状小疙瘩，红肿，疼痛，化脓。多由葡萄球菌侵入眼睑的皮脂腺引起。通称针眼（yan）,
85012,脑贫血,nǎopínxuè,,,名,脑部血管血液过少的疾病，多由出血过多或营养不良等引起。症状有面色苍白、四肢无力、恶心、头痛、耳鸣等,
85014,橡皮糖,xiàngpítáng,,,名,质地类似橡皮的糖果,
85016,照面儿,zhàomiànr,,,名,短暂的碰面,打了个 照面儿
85016,照面儿,zhàomiànr,,,动,露面,他三天没 照面儿 了 。
85019,赶趟儿,gǎntàngr,,,动,赶得上；来得及,我来得太晚了，还 赶趟儿 吗?
85019,赶趟儿,gǎntàngr,,,动,赶得上；来得及,坐飞机去还赶得上趟 儿 。
85022,揭疮疤,jiēchuāngbā,,,,比喻揭露别人的短处或痛处,
85023,亲家公,qìngjiagōng,,,名,对儿子的岳丈或女儿的公公的称呼,
85027,花池子,huāchízi,,,名,中间种植花草、四周围有矮栏的地方,
85030,解小手,jiěxiǎoshǒu,,,动,小便,
85039,削肩,xuējiān,,,名,溜肩膀①,
85041,净口,jìngkǒu,,,动,曲艺表演中指去除粗俗、低级趣味的话，使语言净化,
85042,楦子,xuànzi,,,名,制作鞋帽时，放在鞋帽里面用来定型的木头模子,
85045,耠子,huōzi,,,名,一种松土的农具。中有高脊，比犁轻便。也用于开沟播种,
85047,付讫,fùqì,,,动,交清（多指款项）,邮资 付讫
85048,赶活儿,gǎnhuór,,,动,赶工,我正忙着 赶活儿 呢!
