rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
5042,老爷,lǎoye,,,,见“ 姥爷 ” 现在一般写作“姥爷”,
5162,辩证,biànzhèng,,,,见“ 辨证 ” 现在一般写作“辨证”,
5668,摄氏度,shèshìdù,,,,见“ 摄氏温标 ” 用法说明 不要拆开写作或读作摄氏×度,
5846,作法,zuòfǎ,,,,见“ 做法 ” 现在一般写作“做法”,
5930,左手,zuǒshǒu,,,,见“ 左首 ” 现在一般写作“左首”,
5935,警戒,jǐngjiè,,,,见“ 警诫 ” 现在一般写作“警诫”,
7445,少将,shàojiàng,,,,见“ 军衔 ”,
7523,上校,shàngxiào,,,,见“ 军衔 ”,
8083,界线,jièxiàn,,,,见“ 界限 ” 现在一般写作“界限”,
8170,火爆,huǒbào,,,,见“ 火暴 ” 现在一般写作“火暴”,
8401,年青,niánqīng,,,,见“ 年轻 ” 现在一般写作“年轻”,
8819,主队,zhǔduì,,,,见“ 主场 ”,
9323,木板,mùbǎn,,,,见“ 木版 ” 现在一般写作“木版”,
9407,气化,qìhuà,,,,见“ 汽化 ” 现在一般写作“汽化”,
9673,开盘,kāipán,,,,见“ 楼盘 ”,
9720,易经,yìjīng,,,,见“ 周易 ”,
9803,师父,shīfu,,,,见“ 师傅 ” 现在一般写作“师傅”,
