rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
567,分子,fēnzǐ,,,名,见“ 分数 ” ○ 由同种类物质原子或不同种类物质原子组成的能独立存在并保持组成物质性质的最小微粒 用法说明 跟“分子（fènzǐ）”不同,
749,突出,tūchū,,,,见“ 凸出 ” 现在一般写作“凸出”,
999,海外,hǎiwài,,,,见“ 海内 ”,
1287,纪录,jìlù,,,,见“ 记录 ” 现在一般写作“记录”,
1335,计算机,jìsuànjī,,,,见“ 电子计算机 ”,
1656,记录,jìlù,,,,见“ 纪录 ” 现在一般写作“纪录”,
2405,功夫,gōngfu,,,,见“ 工夫 ” 现在一般写作“工夫”,
2891,手机,shǒujī,,,,见“ 移动电话 ”,
3681,上将,shàngjiàng,,,,见“ 军衔 ”,
4085,千瓦,qiānwǎ,,,,见“ 瓦特 ” 用法说明 旧曾写作“瓩”。现在规范写作“千瓦”,
4274,中将,zhōngjiàng,,,,见“ 军衔 ”,
4936,右手,yòushǒu,,,,见“ 右首 ” 现在一般写作“右首”,
