rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
60247,党八股,dǎngbāgǔ,,,,见“ 八股 ”,
60308,五律,wǔlǜ,,,,见“ 律诗 ”,
60569,略见一斑,lüèjiàn-yībān,,,,见“ 管中窥豹 ”,
60664,耶稣教,yēsūjiào,,,,见“基督教”,
60734,蕙兰,huìlán,,,,见“ 兰花 ”,
61260,建兰,jiànlán,,,,见“ 兰花 ”,
61672,澡塘,zǎotáng,,,,见“ 澡堂 ” 现在一般写作“澡堂”,
61739,球操,qiúcāo,,,,见“ 艺术体操 ”,
61796,绳墨,shéngmò,,,,见“ 墨斗 ”,
61859,波罗蜜,bōluómì,,,,见“ 菠萝蜜 ” 现在一般写作“菠萝蜜”,
61945,中纬度,zhōngwěidù,,,,见“ 纬度 ”,
62051,红药水,hóngyàoshuǐ,,,,见“ 汞溴红 ”,
62127,上颌,shànghé,,,,见“ 颌 ”,
62219,罗纹,luówén,,,,见“ 螺纹 ” 现在一般写作“螺纹”,
62327,偏饭,piānfàn,,,,见“ 吃偏饭 ”,
62478,播弄,bōnòng,,,,见“ 拨弄 ” 现在一般写作“拨弄”,
62734,殃及池鱼,yāngjí-chíyú,,,,见“ 城门失火，殃及池鱼 ”,
63167,坐收渔利,zuòshōu-yúlì,,,,见“ 鹬蚌相争，渔翁得利 ”,
63279,吃回扣,chīhuíkòu,,,,见“ 回扣 ”,
63424,千赫,qiānhè,,,,见“ 赫兹 ”,
63437,续貂,xùdiāo,,,,见“ 狗尾续貂 ”,
63480,激光唱机,jīguāng chàngjī,,,,见“ 激光数码唱片 ”,
63731,山里红,shānlihóng,,,,见“ 山楂 ”,
63844,漂荡,piāodàng,,,,见“ 飘荡 ” 现在一般写作“飘荡”,
64074,长缨,chángyīng,,,,见“ 请缨 ”,
64127,妙着,miàozhāo,,,,见“ 妙招 ” 现在一般写作“妙招”,
64327,收缩压,shōusuōyā,,,,见“ 血压 ”,
64342,半老徐娘,bànlǎo-xúniáng,,,,见“ 徐娘半老 ”,
64431,手板,shǒubǎn,,,,见“ 手版 ” 现在一般写作“手版”,
64720,黑种人,hēizhǒngrén,,,,见“ 人种 ”,
64932,棒操,bàngcāo,,,,见“ 艺术体操 ”,
