definition_id,pinyin_id,ref_hanzi,ref_pinyin,definition_sn,pos,definition_cn
67012,47315,,,1,动词,摆出摊儿卖货。
67013,47316,,,1,,无论得宠还是受辱都不动心。形容把得失置之度外
67014,47317,,,1,名词,空闲时间
67015,47318,,,1,,热天已去，冷天到来。指四季更替，岁月流逝
67016,47319,,,1,动词,蜜蜂采集花蜜
67017,47319,,,2,动词,从蜜蜂蜂巢里采集蜂蜜
67018,47320,,,1,动词,没有料想到
67019,47320,,,2,名词,没有料想到的事情
67020,47321,,,1,,指设置有一至六各个年级的小学。简称完小
67021,47322,,,1,,比喻看问题时的成见或偏见
67022,47323,,,1,,道教指神仙居住的地方；泛指非常清幽的名山胜地
67023,47324,,,1,名词,一份浓硝酸和三份浓盐酸的混合液。腐蚀性极强，可以溶解黄金等金属。冶金工业中用作溶剂
67024,47325,,,1,名词,风垂直作用于物体表面的压强。是建筑工程上需要掌握的数据
67025,47326,,,1,名词,社会上流行的习惯和风尚
67026,47327,,,1,副词,【好歹】无论如何；不管怎么样
67027,47327,,,2,副词,【好歹】将就；凑和
67028,47327,,,3,名词,【好歹】好的和坏的
67029,47328,,,1,动词,假装；装作
67030,47329,,,1,动词,招人租用（房屋、设备等）
67031,47330,,,1,名词,木制梳子
67032,47331,,,1,形容词,萎靡颓废；特指乐声萎靡颓废
67033,47331,,,2,形容词,迟缓；柔弱
67034,47332,,,1,名词,指利用地区间差价，从事异地贩运以谋利的个体商贩。旧时因其未加入商业行帮，故称
67035,47333,,,1,动词,丢脸；出丑
67036,47334,,,1,名词,物质进行化学反应时放出的能量。如煤燃烧时放出的光和热
67037,47335,,,1,动词,减少、压缩
67038,47336,,,1,名词,言行轻率、莽撞的人
67039,47337,,,1,名词,三角形的短内裤
67040,47338,,,1,名词,套在膝关节处，起保护作用的用品
67041,47339,,,1,,原指每逢月初、月中吃一次肉食（牙祭：旧时店主、雇主向所雇用的人定期提供肉食）；现泛指偶尔吃一顿丰盛的饭菜
67042,47340,,,1,名词,统一考试中，为便于管理而划分的区域
67043,47341,,,1,名词,我国少数民族之一。主要分布在云南
67044,47342,,,1,名词,加工、制造物品剩下的零碎材料
67045,47343,,,1,名词,奶妈
67046,47344,,,1,名词,毛细血管
67047,47345,,,1,名词,某些地区指码头
67048,47346,,,1,动词,通常指摄影时的一种用光方法，即摄影时让光线从被摄物体的背后向摄影镜头射来。这种方法可以较清晰地勾勒物体轮廓或更突出地表现透明体
67049,47347,,,1,名词,宇航员穿的特制服装，由密闭服和密闭头盔等组成，可保持与地面相同的气压和氧气供应，保障宇航员的生命安全和工作能力
67050,47348,,,1,动词,对抗上级
67051,47349,,,1,名词,一种深蓝色染料。用蓼蓝叶加工制成，现在也可用化学方法合成。通称蓝靛
67052,47350,,,1,名词,机器零件、工件表面光洁的程度
67053,47351,,,1,名词,中医指12岁以下健康男孩儿的尿，可以做药材
67054,47352,,,1,名词,用线条表示电子线路的平面示意图
67055,47353,,,1,,比喻经济上发生困难
67056,47354,,,1,,指遭到严重灾荒，粮食歉收
67057,47355,,,1,名词,绣花用的细针
67058,47356,,,1,名词,从事救生工作的人员；特指在游泳场所抢救溺水者的专职人员
67059,47357,,,1,名词,巩膜
67060,47358,,,1,形容词,心里着急
67061,47359,,,1,名词,病毒引起的急性传染病，患者多为儿童。症状为发烧，全身皮肤出现小红丘疹，二三日转为水疱，结痂而愈。病愈后终身免疫
67062,47360,,,1,名词,比喻危害他人或社会的人
67063,47360,,,2,名词,指妖魔鬼怪及一切怪异反常的事物
67064,47361,,,1,名词,在耳垂上扎的小孔，可以佩戴耳饰
67065,47361,,,2,名词,外耳和内耳的通道
67066,47362,,,1,名词,金属部件焊接的部位或焊接留下的痕迹
67067,47362,,,2,动词,把金属工件的缝隙焊接起来
67068,47363,,,1,名词,我国一种民间舞蹈，通常由两人同披一张假狮皮，一人舞狮头，一人舞狮尾。另一人扮武士，手持绣球逗引狮子
67069,47364,,,1,动词,学生在取得正式学籍之前，先随班学习一段时间，供考查是否适应
67070,47365,,,1,名词,入冬后第一次下的雪
67071,47366,,,1,形容词,文雅沉静
67072,47366,,,2,形容词,幽雅宁静
67073,47367,,,1,动词,有意发出话来（向人透露自己或集体内部的某些意向，以达到某种目的）
67074,47368,,,1,名词,利用电子设备产生高温杀灭细菌的柜形消毒器具
67075,47369,,,1,形容词,形容勉强地或虚伪奸猾地笑
67076,47370,,,1,,原本是作假，结果却变成了真的
67077,47371,,,1,名词,连续多日不停的雨
67078,47372,,,1,动词,凝聚浓缩
67079,47373,,,1,名词,把誊清了的稿子经过一定编排直接贴在墙壁上的一种非正式出版物，多在较小的范围里供内部阅读。（也说墙报。）
67080,47374,,,1,动词,经受不起
67081,47375,,,1,名词,迷信指上吊而死的人的鬼魂；也指上吊而死的人
67082,47376,,,1,形容词,结实；扎实
67083,47377,,,1,名词,指贪图身体官能方面种种享受的不良欲望
67084,47378,,,1,名词,每10天出版1期的刊物
67085,47379,,,1,动词,全体都到约定地方会合
67086,47380,,,1,动词,企业因破产、停业或其他原因不再继续经营时，依法清点和处理全部资产
67087,47380,,,2,动词,指清理电子计算机上的磁盘或清除其磁盘上的所有信息
67088,47381,,,1,名词,一年生草本植物，形状像黍子，但籽实发黑而不黏。籽实也叫糜子，磨粉后可以制作食品。（也说穄（jì）子。）
67089,47382,,,1,,像神灵一样，猜度未来的事情非常准确
67090,47383,,,1,名词,一种男式发型。顶部头发长一厘米左右，发顶稍平
67091,47384,,,1,动词,推荐
67092,47385,,,1,动词,竞相回答（问题）
67093,47386,,,1,名词,煤燃烧后结成的焦渣
67094,47386,,,2,名词,冶炼金属过程中产生的渣滓。有的可用来制造水泥、化肥等
67095,47387,,,1,形容词,【纤细】瘦长
67096,47388,,,1,,成全他人的好事；帮助他人实现良好的愿望
