rank,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
3531,嘘,xū,,,动,〈文〉叹气,仰天而 嘘
3531,嘘,xū,,,拟,声模拟撮口吐气的声音，多用于表示制止,嘘 !别说话
3531,嘘,xū,,,动,○ 蒸汽或热力接触物体引起变化,让蒸汽 嘘 了
3531,嘘,xū,,,动,○ 蒸汽或热力接触物体引起变化,放炉子上 嘘 一 嘘
3532,嘟,dū,,,拟声,模拟某些发声器发出的声音,哨子吹得 嘟 嘟 响
3532,嘟,dū,,,动,○ 〈口〉（嘴巴）向前撅着,小孩 儿 嘟 起小嘴生气了 。
3533,祛,qū,,,动,祛除,祛 暑
3533,祛,qū,,,动,祛除,祛 痰
3534,俞,shù,,,,同 “ 腧 ” 现在一般写作“腧”,
3534,俞,yú,,,名,姓,
3535,郝,hǎo,,,名,姓,
3536,烯,xī,,,名,有机化合物的一类，分子中含碳-碳双键结构而具有不饱和性。如乙烯,
3537,嗷,áo,,,,见下。 嗷嗷 嗷嗷待哺,
3538,镖,biāo,,,名,旧时一种投掷用的暗器，形状像长矛的头,飞 镖
3538,镖,biāo,,,名,○ 旧时指由镖局替别人护送的财物,保 镖
3539,憬,jǐng,,,动,〈文〉 觉悟；醒悟,
3540,逍,xiāo,,,,见下。 逍遥 逍遥法外,
3541,晤,wù,,,动,相遇；见面,来访未 晤
3541,晤,wù,,,动,相遇；见面,晤 面
3541,晤,wù,,,动,相遇；见面,晤 谈
3541,晤,wù,,,动,相遇；见面,会 晤
3542,湛,zhàn,,,形,（学识、技术等）精深,精 湛
3542,湛,zhàn,,,形,（学识、技术等）精深,深 湛
3542,湛,zhàn,,,形,○ 清澈,湛 清
3542,湛,zhàn,,,名,○ 姓,
3543,奎,kuí,,,名,星宿名，二十八宿之一,
3543,奎,kuí,,,名,○ 姓,
3544,噜,lū,噜苏,lūsū,形,啰唆,
3545,娅,yà,,,名,〈文〉 连襟,姻 娅
3546,坞,wù,,,名,〈文〉 防守用的小城堡,结 坞 自守
3546,坞,wù,,,名,山坳；泛指四面高而中央低的地方,山 坞
3546,坞,wù,,,名,山坳；泛指四面高而中央低的地方,花 坞
3546,坞,wù,,,名,山坳；泛指四面高而中央低的地方,村 坞
3546,坞,wù,,,名,停船的港湾；建在水边的修造船只的场所,船 坞
3547,涅,niè,,,名,涅石,
3547,涅,niè,,,动,染黑,
3548,狄,dí,,,名,我国古代北方的一个民族；泛指古代北方各民族,
3548,狄,dí,,,名,○ 姓,
3549,龚,gōng,,,名,姓,
3550,孢,bāo,,,,见下。 孢子 孢子植物,
3551,瑜,yú,,,名,玉的光彩。常用来比喻优点（跟“瑕”相区别）,瑕不掩 瑜
3551,瑜,yú,,,名,○ 姓,
3552,婊,biǎo,婊子,biǎozi,名,妓女（多用作骂人的话）,
3553,癫,diān,,,形,神经错乱；精神失常,癫 狂
3553,癫,diān,,,形,神经错乱；精神失常,疯 癫
3553,癫,diān,,,形,神经错乱；精神失常,疯疯 癫 癫
3554,襄,xiāng,,,动,帮助；协助,襄 办
3554,襄,xiāng,,,动,帮助；协助,襄 理
3554,襄,xiāng,,,动,帮助；协助,襄 助
3555,甬,yǒng,,,名,甬江，水名，在浙江东北部，流经宁波,
3555,甬,yǒng,,,名,宁波的别称,沪杭 甬
3556,龋,qǔ,,,动,牙齿被腐蚀而形成空洞或残缺,龋 齿
3557,咚,dōng,,,拟声,模拟重物落下或击鼓、敲门等的声音,咚 的一声跳下墙头
3557,咚,dōng,,,拟声,模拟重物落下或击鼓、敲门等的声音,鼓敲得 咚 咚 响
3557,咚,dōng,,,拟声,模拟重物落下或击鼓、敲门等的声音,咚 咚 的敲门声
3558,鑫,xīn,,,形,〈文〉 财源兴盛（多用于商号名、人名）,
3559,酰,xiān,,,名,指酰基,硫 酰
3559,酰,xiān,,,名,指酰基,乙 酰
3560,孜,zī,,,,见下。 孜然 孜孜,
3561,钡,bèi,,,名,金属元素，符号 Ba。银白色，有延展性，易氧化。可用作去氧剂，也用于制造合金、焰火等,
3562,璇,xuán,,,名,〈文〉 美玉,
3563,雯,wén,,,名,〈文〉花纹状的云彩,
3563,雯,wén,,,名,○ 姓,
3564,钛,tài,,,名,金属元素，符号 Ti。银灰色，质硬而轻，延展性强，熔点较高，耐腐蚀。可用来制造特种合金钢,
3565,跻,jī,,,动,上升；登上,跻 于富强之列
3565,跻,jī,,,动,上升；登上,跻 升
3565,跻,jī,,,动,上升；登上,跻 身
3566,妍,yán,,,形,〈文〉 美；美好（跟“媸”相对）,不辨 妍 媸（chī）
3566,妍,yán,,,形,〈文〉 美；美好（跟“媸”相对）,百花争 妍
3567,阜,fù,,,名,土山；山,
3567,阜,fù,,,形,盛多；丰厚,物 阜 民丰
3567,阜,fù,,,形,盛多；丰厚,民康物 阜
