rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
70001,漫延,mànyán,,,,见“ 蔓延 ” 现在一般写作“蔓延”,
70009,赤县,chìxiàn,,,,见“ 神州 ”,
70241,滑旱冰,huáhànbīng,,,,见“ 旱冰 ”,
70288,渔人之利,yúrénzhīlì,,,,见“ 鹬蚌相争，渔翁得利 ”,
70409,软腭,ruǎn'è,,,,见“ 腭 ”,
70684,闲静,xiánjìng,,,,见“ 娴静 ” 现在一般写作“娴静”,
70872,大检察官,dàjiǎncháguān,,,,见“ 检察官 ”,
71002,母夜叉,mǔyèchā,,,,见“ 夜叉 ”,
71217,富裕中农,fùyù zhōngnóng,,,,见“ 中农 ”,
71392,小前提,xiǎoqiántí,,,,见“ 三段论 ”,
71394,人造棉,rénzàomián,,,,见“ 人造纤维 ”,
71417,派生词,pàishēngcí,,,,见“ 合成词 ”,
71582,南回归线,nánhuíguīxiàn,,,,见“ 回归线 ”,
71750,搭肩,dājiān,,,,见“ 褡裢 ”,
71809,词头,cítóu,,,,见“ 词缀 ”,
71882,火夫,huǒfū,,,,见“ 伙夫 ” 现在一般写作“伙夫”,
72209,日偏食,rìpiānshí,,,,见“ 日食 ”,
72253,脸厚,liǎnhòu,,,,见“ 脸皮 ”,
72669,别树一帜,biéshù-yīzhì,,,,见“ 独树一帜 ”,
72698,风魔,fēngmó,,,,见“ 疯魔 ” 现在一般写作“疯魔”,
72882,来鸿,láihóng,,,,见“ 鸿 ”,
73085,蛇足,shézú,,,,见“ 画蛇添足 ”,
73119,望诊,wàngzhěn,,,,见“ 望闻问切 ”,
73291,尖音,jiānyīn,,,,见“ 尖团音 ”,
73468,拾人牙慧,shírényáhuì,,,,见“ 牙慧 ”,
73576,今雨,jīnyǔ,,,,见“ 旧雨 ”,
73649,木栓,mùshuān,,,,见“ 软木 ”,
73707,吃商品粮,chīshāngpǐnliáng,,,,见“ 商品粮 ”,
73938,干啤,gānpí,,,,见“ 干酒 ”,
74143,五谷不分,wǔgǔ-bùfēn,,,,见“ 五谷 ”,
74250,走露,zǒulòu,,,,见“ 走漏 ” 现在一般写作“走漏”,
74490,祸起萧墙,huòqǐ-xiāoqiáng,,,,见“ 萧墙 ” 用法说明 “萧”不要误写作“肖”,
74632,宽洪,kuānhóng,,,,见“ 宽宏 ” 现在一般写作“宽宏”,
74714,总警监,zǒngjǐngjiān,,,,见“ 警衔 ”,
74941,畸零,jīlíng,,,,见“ 奇零 ” 现在一般写作“奇零”,
