definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img
7393511,739351,1,同same as‘端午’,Duānwǔ,
7394611,739461,1,see端午,Duānwǔ,
7395011,739501,1,(～儿,duānmiànr,
7396011,739601,1,(～儿,zhúgānr,
7396411,739641,1,同same as‘竹黄’,zhúhuáng,
7399011,739901,1,(～的,xiàoyīnyīn·de,
7399111,739911,1,(～的,xiàohēhē·de,
7399211,739921,1,(～的,xiàoliēliē·de,
7399411,739941,1,(～的,xiàoxīxī·de,
7400211,740021,1,同same as‘笑窝’,xiàowō,
7400311,740031,1,(～的,xiàomīmī·de,
7400411,740041,1,(～儿,xiàowōr,
7400711,740071,1,(～儿,xiàoliǎnr,
7400911,740091,1,same as笑柄,xiàobǐng,
7400912,740091,2,same as笑话,xiào·huɑ,
7403311,740331,1,(～儿,bǐmàor,
7404511,740451,1,(～儿,bǐjiàr,
7406713,740671,3,same as笔记,bǐjì,
7407711,740771,1,same as笛,dí,
7407811,740781,1,(～儿,dímór,
7408011,740801,1,same as‘抿子’,mǐn·zi,
7410611,741061,1,见see【鸦片战争】,Yāpiàn Zhànzhēng,
7414011,741401,1,[筀竹](guìzhú)同same as‘桂竹’,guìzhú,
7414711,741471,1,(～儿,děngfènr,
7415311,741531,1,〈书fml.〉same as等次,děngcì,
7418611,741861,1,same as‘搭腔’,dā∥qiāng,
7418811,741881,1,same as‘搭讪’,dā·shàn,
7420011,742001,1,同same as‘觱篥’(bìlì)。,,
7420511,742051,1,见see[筼筜],yúndāng,
7420811,742081,1,同same as‘管’,guǎn,
7420911,742091,1,〈书fml.〉同same as‘算’,suàn,
7421412,742141,2,same as筹措,chóucuò,
7423011,742301,1,same as签,qiān,
7423412,742341,2,same as扦子,qiān·zi,
7424311,742431,1,same as简化汉字,jiǎnhuà Hànzì,
7425111,742511,1,同same as‘简捷’,jiǎnjié,
7427311,742731,1,同same as‘簰’,pái,
7427611,742761,1,〈方dial.〉same as眼罩儿,yǎnzhàor,
7427811,742781,1,见see【符箓】,fúlù,
7428412,742841,2,same as算术,suànshù,
7429111,742911,1,(～儿,suàncǎor,
7429812,742981,2,(～儿,guǎn∥shìr,
7430811,743081,1,same as管保,guǎnbǎo,
7431311,743131,1,(～儿,guǎnpiànr,
7432111,743211,1,[补义〈zhuan>new sense]〈方dial.〉same as渠道{qúdào}②:协商～中断。{The consultation channel has been discontinued.},,
