rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
30001,蔗糖,zhètáng,,,名,有机化合物，白色结晶，有甜味。甘蔗和甜菜里含有丰富的蔗糖,
30001,蔗糖,zhètáng,,,名,特指用甘蔗汁熬成的糖,
30004,圆锥,yuánzhuī,,,名,直角三角形以其任意一条直角边为轴，旋转一周所形成的立体,圆锥 体
30006,弧线,húxiàn,,,名,弧②,球在空中划了一道 弧线 。
30007,铜锣,tóngluó,,,名,铜制盘状打击乐器。中心有脐，锣边有二孔，系绳提着击打,
30008,胡扯,húchě,,,动,随意瞎说,
30009,水雷,shuǐléi,,,名,布设在水中的一种爆炸武器，用来封锁港口、航道或炸毁舰艇,
30010,预知,yùzhī,,,动,事先知道,通过精密计算，能 预知 一千年内日食、月食的准确时刻 。
30011,蚕豆,cándòu,,,名,一年或二年生草本植物，茎方形中空，花白色或淡紫色，有紫斑，结大而肥厚的蚕形荚果。种子也叫蚕豆，椭圆扁平，可以食用,
30012,肚脐,dùqí,,,名,腹部中间脐带脱落后形成的瘢痕,
30014,遗志,yízhì,,,名,死者生前留下的志愿,继承先烈 遗志
30015,解渴,jiěkě,,,动,消除口渴的感觉；比喻满足要求、解决问题,喝茶比喝汽水 解渴
30015,解渴,jiěkě,,,动,消除口渴的感觉；比喻满足要求、解决问题,专家深入浅出的报告真 解渴 。
30018,班轮,bānlún,,,名,按固定航线定时航行的轮船,
30019,大管,dàguǎn,,,名,木管低音乐器，音色丰满有力,
30021,阴虚,yīnxū,,,名,中医指精血或津液亏损的病症。症状是午后潮热、盗汗、颧红、消瘦等,
30023,散热,sànrè,,,动,散发热量,保温杯 散热 慢些
30023,散热,sànrè,,,动,散发热量,散热 器
30024,抒写,shūxiě,,,动,抒发描写,抒写 历史新篇章
30025,洋务,yángwù,,,名,清末指与外国有关的事务；也指学习和仿效外国有关的事务,办 洋务
30025,洋务,yángwù,,,名,清末指与外国有关的事务；也指学习和仿效外国有关的事务,洋务 学堂
30025,洋务,yángwù,,,名,清末指与外国有关的事务；也指学习和仿效外国有关的事务,洋务 运 动
30026,住家,zhùjiā,,,动,家住（某处）,他在城里 住家
30026,住家,zhùjiā,,,名,居民家庭,大院里有六七户 住家 。
30028,法警,fǎjǐng,,,名,司法警察，即在法院和检察院中执行任务的警察。其任务有警卫法庭、维持法庭秩序、押解犯人或犯罪嫌疑人出庭受审、执行法院判决等,
30029,驰电,chídiàn,,,动,指火速发出电报,世界各国向受灾国 驰电 慰问 。
30030,鲜亮,xiānliang,,,形,鲜艳明亮；鲜艳漂亮,鲜亮 的红色
30030,鲜亮,xiānliang,,,形,鲜艳明亮；鲜艳漂亮,小姑娘打扮得挺 鲜亮 。
30031,独孤,dúgū,,,名,复姓,
30032,冬至,dōngzhì,,,名,二十四节气之一，在公历每年12月22日前后。这一天北半球白天最短，夜晚最长。南半球则相反,
30033,上情,shàngqíng,,,名,领导层的情况和意图,不了解 上情
30033,上情,shàngqíng,,,名,领导层的情况和意图,上情 下达
30034,情缘,qíngyuán,,,名,情爱的缘分,情缘 难续
30035,预科,yùkē,,,名,为高等学校培养合格新生而设置的机构,他当时正在读 预科
30035,预科,yùkē,,,名,为高等学校培养合格新生而设置的机构,预科 生
30036,英灵,yīnglíng,,,名,杰出的人死后的灵魂，用作对死者的敬称,告慰 英灵
30036,英灵,yīnglíng,,,名,杰出的人死后的灵魂，用作对死者的敬称,愧对先烈在天的 英灵 。
30037,心血来潮,xīnxuè-láicháo,,,,形容心里一时冲动，突然产生某种念头,
30040,雅俗共赏,yǎsú-gòngshǎng,,,,各种文化层次的人都能欣赏,
30041,命中注定,mìngzhōng-zhùdìng,,,,迷信认为人的生死祸福都是命中预先决定的；借指必然的遭际或前途,
30043,制黄,zhìhuáng,,,动,制作淫秽的书刊、录像带、光盘等,制黄 、贩黄分子难逃法网 。
30044,选聘,xuǎnpìn,,,动,挑选聘任,选聘 教师
30045,寨子,zhàizi,,,名,防守用的栅栏、围墙,
30045,寨子,zhàizi,,,名,寨④,
30046,拉闸,lāzhá,,,动,拉开电闸，停止供电,拉闸 限电
30047,平年,píngnián,,,名,公历没有闰日（即2月只有28天）或农历没有闰月（即1年只有12个月）的年份,
30047,平年,píngnián,,,名,农业收成一般的年份（跟“丰年” “歉年”相区别）,
30049,戛然,jiárán,,,形,形容鸟的叫声,戛然 长鸣
30049,戛然,jiárán,,,形,○ 形容声音突然停止,歌声 戛然 而止
30049,戛然,jiárán,,,动,事情突然停止,促销活动 戛然 而止 。
30050,鬼鬼祟祟,guǐguǐ-suìsuì,,,形,形容行为诡秘，不光明正大,
30051,绿化带,lǜhuàdài,,,名,种植树木花草的带状区,
30055,黄鱼,huángyú,,,名,大黄鱼和小黄鱼的统称,
30056,桥墩,qiáodūn,,,名,桥梁下面用以支承桥身的墩子，用石头或钢筋混凝土等筑成,
30057,娇艳,jiāoyàn,,,形,娇嫩艳丽,
30058,健步,jiànbù,,,名,矫健的步伐,健步 登山
30058,健步,jiànbù,,,名,矫健的步伐,健步 如飞
30059,彩霞,cǎixiá,,,名,霞,
30060,演播,yǎnbō,,,动,通过广播、电视等手段演出并播放,演播 新节目
30060,演播,yǎnbō,,,动,通过广播、电视等手段演出并播放,首次 演播 ，获得成功 。
30061,绝壁,juébì,,,名,极陡峭的山崖,悬崖 绝壁
30062,带宽,dàikuān,,,名,指可供信号占用的频率范围。如电视广播中图像信号的带宽是6兆赫,
30063,牛虻,niúméng,,,名,昆虫，成虫身体长椭圆形，有翅，灰黑或黄褐色。雄的吸食植物的汁液或花蜜，雌的吸食牛、马等家畜的血液,
30064,旱作,hànzuò,,,名,旱地农作物的简称,
30064,旱作,hànzuò,,,动,在旱地上种植,小麦适宜 旱作
30065,工艺流程,gōngyì liúchéng,,,,从原料投产到成品出产，按步骤连续地通过各种设备所进行的加工过程,
30066,皇甫,huángfǔ,,,名,复姓,
30067,偶而,ǒu'ér,,,,现在一般写作“偶尔”,
30068,岩溶,yánróng,,,名,喀斯特,
30069,娃子,wázi,,,名,旧时我国西南凉山等地的少数民族对奴隶的称呼,
30069,娃子,wázi,,,名,○ 某些地区对孩子的称呼,
30070,秭归,zǐguī,,,名,地名，在湖北,
30071,制版,zhìbǎn,,,动,制造印刷用的底版,
30073,扩招,kuòzhāo,,,动,在原定指标之外，增加招收人数,外语专业 扩招 20名新生 。
