rank,cihui
85001,抽闲
85002,糅杂
85003,憩室
85004,京承铁路
85005,展昭
85006,寸楷
85007,积小成大
85008,笛膜
85009,临朝称制
85010,石蒜
85011,麦粒肿
85012,脑贫血
85013,戈梅利
85014,橡皮糖
85015,蒋士铨
85016,照面儿
85017,科内尔
85018,科莫湖
85019,赶趟儿
85020,降结肠
85021,凉白开
85022,揭疮疤
85023,亲家公
85024,桡动脉
85025,仙人跳
85026,仙人柱
85027,花池子
85028,黄家驷
85029,相思子
85030,解小手
85031,秦越人
85032,俄罗斯芭蕾舞团
85033,湖广熟，天下足
85034,佛罗里达半岛
85035,过五关，斩六将
85036,不自由，毋宁死
85037,傲睨
85038,疏浅
85039,削肩
85040,海水不可斗量
85041,净口
85042,楦子
85043,搭坐
85044,斯特拉迪瓦里
85045,耠子
85046,孰若
85047,付讫
85048,赶活儿
85049,诈病
85050,挂羊头，卖狗肉
85051,熬头儿
85052,亲者痛，仇者快
85053,螺蛳壳里做道场
85054,干卿底事
85055,棺材瓤子
85056,旁系亲属
85057,朝夕与共
85058,旁逸斜出
85059,胚轴
85060,隆然
85061,秦楼楚馆
85062,扬名四海
85063,白日见鬼
85064,以人为鉴
85065,俊爽
85066,抱薪救火
85067,以手加额
85068,元亨利贞
85069,超尘拔俗
85070,香车宝马
85071,烈烈轰轰
85072,爱答不理
85073,力气活儿
85074,米寿
85075,不经之谈
85076,欣慕
85077,艺不压身
85078,众目昭彰
85079,正多边形
85080,流水行云
85081,载舟覆舟
85082,入境问俗
85083,达业
85084,曲意迎合
85085,富有四海
85086,不系之舟
85087,富强康乐
85088,呼嚎
85089,言简意深
85090,载波通信
85091,天涯咫尺
85092,深山大泽
85093,焦煳
85094,歧路亡羊
85095,杀鸡取蛋
85096,串街走巷
85097,囊中取物
85098,江州司马
85099,机械效率
85100,麦金利山
85101,深耕细作
85102,稳压电源
85103,独运匠心
85104,麦克卢汉
85105,大天白日
85106,江户幕府
85107,奇偶校验
85108,曲不离口
85109,艳如桃李
85110,飞蛾投火
85111,怆然涕下
85112,大有可观
85113,辅车相依
85114,涸泽而渔
85115,排筏
85116,各有所短
85117,指甲盖儿
85118,吹气如兰
85119,饥餐渴饮
85120,文风不动
85121,俯首就擒
85122,饱食暖衣
85123,采景
85124,寓情于景
85125,下笔成章
85126,抚心自问
85127,绝世佳人
85128,天崩地坼
85129,黑白不分
85130,恣情纵欲
85131,垂直传播
