hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn,hsk_level
44133,开颜,55001,44826,kāi yán,1,
44134,两清,55002,44827,liǎng qīng,1,
44135,赏鉴,55003,44828,shǎng jiàn,1,
44136,后嗣,55004,44829,hòu sì,1,
44137,坑骗,55006,44830,kēng piàn,1,
44138,秤杆,55007,44831,chèng gǎn,1,
44139,租价,55009,44832,zū jià,1,
44140,树敌,55011,44833,shù dí,1,
44141,纸型,55014,44834,zhǐ xíng,1,
44142,粉黛,55015,44835,fěn dài,1,
44143,保票,55016,44836,bǎo piào,1,
44144,怪模怪样,55020,44837,guài mú guài yàng,1,
44145,新婚燕尔,55021,44838,xīn hūn yàn ěr,1,
44146,一鳞半爪,55025,44839,yī lín bàn zhǎo,1,
44147,初露头角,55028,44840,chū lù tóu jiǎo,1,
44148,为富不仁,55030,44841,wéi fù bù rén,1,
44149,搔首弄姿,55031,44842,sāo shǒu nòng zī,1,
44150,非亲非故,55032,44843,fēi qīn fēi gù,1,
44151,穷则思变,55033,44844,qióng zé sī biàn,1,
44152,面有难色,55035,44845,miàn yǒu nán sè,1,
44153,借刀杀人,55037,44846,jiè dāo shā rén,1,
44154,相反相成,55038,44847,xiāng fǎn xiāng chéng,1,
44155,鞭辟入里,55039,44848,biān pì rù lǐ,1,
44156,深宅大院,55040,44849,shēn zhái dà yuàn,1,
44157,家慈,55043,44850,jiā cí,1,
44158,戴孝,55044,44851,dài xiào,1,
44159,粪肥,55046,44852,fèn féi,1,
44160,卖笑,55047,44853,mài xiào,1,
44161,远视,55050,44854,yuǎn shì,1,
44162,秋汛,55052,44855,qiū xùn,1,
44163,屁事,55053,44856,pì shì,1,
44164,洋财,55054,44857,yáng cái,1,
44165,侧柏,55055,44858,cè bǎi,1,
44166,硬纸板,55059,44859,yìng zhǐ bǎn,1,
44167,拥立,55060,44860,yōng lì,1,
44168,地垄,55061,44861,dì lǒng,1,
44169,救苦救难,55062,44862,jiù kǔ jiù nàn,1,
44170,学究气,55063,44863,xué jiū qì,1,
44171,逃课,55064,44864,táo kè,1,
44172,昏头昏脑,55066,44865,hūn tóu hūn nǎo,1,
44173,庇佑,55069,44866,bì yòu,1,
44174,石斑鱼,55071,44867,shí bān yú,1,
44175,胆魄,55074,44868,dǎn pò,1,
44176,夏种,55075,44869,xià zhòng,1,
44177,干呕,55076,44870,gān ǒu,1,
44178,文化沙漠,55079,44871,wén huà shā mò,1,
44179,笔势,55080,44872,bǐ shì,1,
44180,任便,55082,44873,rèn biàn,1,
44181,草菅人命,55083,44874,cǎo jiān rén mìng,1,
44182,后视镜,55088,44875,hòu shì jìng,1,
44183,邮袋,55089,44876,yóu dài,1,
44184,姜黄,55093,44877,jiāng huáng,1,
44185,环形山,55095,44878,huán xíng shān,1,
44186,电火花,55096,44879,diàn huǒ huā,1,
44187,途程,55097,44880,tú chéng,1,
44188,丸药,55098,44881,wán yào,1,
44189,减震器,55100,44882,jiǎn zhèn qì,1,
44190,贤哲,55102,44883,xián zhé,1,
44191,乳糖,55107,44884,rǔ táng,1,
44192,镐头,55108,44885,gǎo tou,1,
44193,投影仪,55109,44886,tóu yǐng yí,1,
44194,席次,55110,44887,xí cì,1,
44195,蛙鸣,55115,44888,wā míng,1,
44196,娼妇,55119,44889,chāng fù,1,
44197,愁思,55120,44890,chóu sī,1,
44198,合缝,55122,44891,hé fèng,1,
44199,摸头,55124,44892,mō tóu,1,
44200,孤儿寡母,55125,44893,gū ér guǎ mǔ,1,
44201,说项,55126,44894,shuō xiàng,1,
44202,幸会,55127,44895,xìng huì,1,
44203,爆米花,55128,44896,bào mǐ huā,1,
44204,急件,55129,44897,jí jiàn,1,
44205,作壁上观,55130,44898,zuò bì shàng guān,1,
44206,绝缘体,55131,44899,jué yuán tǐ,1,
44207,温软,55135,44900,wēn ruǎn,1,
44208,二黄,55136,44901,èr huáng,1,
44209,彩扩,55137,44902,cǎi kuò,1,
44210,访求,55138,44903,fǎng qiú,1,
44211,设障,55140,44904,shè zhàng,1,
44212,由此及彼,55141,44905,yóu cǐ jí bǐ,1,
44213,鹤发童颜,55143,44906,hè fà tóng yán,1,
44214,三缄其口,55145,44907,sān jiān qí kǒu,1,
44215,适意,55147,44908,shì yì,1,
44216,踩高跷,55149,44909,cǎi gāo qiāo,1,
44217,异姓,55152,44910,yì xìng,1,
44218,旁门左道,55154,44911,páng mén zuǒ dào,1,
44219,荡平,55155,44912,dàng píng,1,
44220,溜冰场,55157,44913,liū bīng chǎng,1,
44221,顺次,55160,44914,shùn cì,1,
44222,博导,55161,44915,bó dǎo,1,
44223,抱头鼠窜,55162,44916,bào tóu shǔ cuàn,1,
44224,圆周率,55165,44917,yuán zhōu lǜ,1,
44225,鉴戒,55166,44918,jiàn jiè,1,
