hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn,hsk_level
12610,放手,10165,13193,fàng shǒu,1,
12611,了了,10167,13194,liǎo liǎo,1,
12612,毗邻,10168,13195,pí lín,1,
12613,击毙,10169,13196,jī bì,1,
12614,身价,10170,13197,shēn jià,1,
12615,咬牙,10171,13198,yǎo yá,1,
12616,免去,10172,13199,miǎn qù,1,
12617,农历,10173,13200,nóng lì,1,
12618,送礼,10174,13201,sòng lǐ,1,
12619,全民公决,10175,13202,quán mín gōng jué,1,
12620,存有,10176,13203,cún yǒu,1,
12621,扣押,10177,13204,kòu yā,1,
12622,出厂,10178,13205,chū chǎng,1,
12623,津贴,10179,13206,jīn tiē,1,
12624,画作,10180,13207,huà zuò,1,
12625,断言,10181,13208,duàn yán,1,
12626,一星儿,10182,13209,yī xīng er,1,
12627,摔跤,10183,13210,shuāi jiāo,1,
12628,壁画,10185,13211,bì huà,1,
12629,界说,10186,13212,jiè shuō,1,
12630,亲热,10187,13213,qīn rè,1,
12631,气派,10188,13214,qì pài,1,
12632,新兵,10189,13215,xīn bīng,1,
12633,字号,10190,13216,zì hao,1,
12633,字号,10190,13217,zì hào,2,
12634,旁人,10192,13218,páng rén,1,
12635,有识之士,10194,13219,yǒu shí zhī shì,1,
12636,步子,10195,13220,bù zi,1,
12637,衣着,10196,13221,yī zhuó,1,
12638,旅途,10197,13222,lǚ tú,1,
12639,不要紧,10198,13223,bù yào jǐn,1,
12640,震荡,10200,13224,zhèn dàng,1,
12641,饮用水,10201,13225,yǐn yòng shuǐ,1,
12642,过世,10202,13226,guò shì,1,
12643,悬殊,10203,13227,xuán shū,1,
12644,长处,10204,13228,cháng chu,1,
12645,定律,10205,13229,dìng lǜ,1,
12646,保姆,10206,13230,bǎo mǔ,1,
12647,利用率,10207,13231,lì yòng lǜ,1,
12648,泄露,10208,13232,xiè lòu,1,
12649,日光,10209,13233,rì guāng,1,
12650,自筹,10210,13234,zì chóu,1,
12651,救国,10211,13235,jiù guó,1,
12652,订购,10212,13236,dìng gòu,1,
12653,倾注,10214,13237,qīng zhù,1,
12654,计较,10215,13238,jì jiào,1,
12655,入场券,10216,13239,rù chǎng quàn,1,
12656,脱困,10217,13240,tuō kùn,1,
12657,争胜,10218,13241,zhēng shèng,1,
12658,点收,10219,13242,diǎn shōu,1,
12659,舞弊,10220,13243,wǔ bì,1,
12660,追溯,10221,13244,zhuī sù,1,
12661,经由,10222,13245,jīng yóu,1,
12662,逐一,10223,13246,zhú yī,1,
12663,收市,10224,13247,shōu shì,1,
12664,戒指,10225,13248,jiè zhi,1,
12665,嘉宾,10226,13249,jiā bīn,1,
12666,小汽车,10227,13250,xiǎo qì chē,1,
12667,信封,10230,13251,xìn fēng,1,
12668,吉普,10231,13252,jí pǔ,1,
12669,年利,10232,13253,nián lì,1,
12670,破烂,10233,13254,pò làn,1,
12671,水道,10236,13255,shuǐ dào,1,
12672,呼喊,10237,13256,hū hǎn,1,
12673,病床,10238,13257,bìng chuáng,1,
12674,富人,10240,13258,fù rén,1,
12675,敏捷,10242,13259,mǐn jié,1,
12676,天国,10243,13260,tiān guó,1,
