rank,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
5510,菔,fú,,,,见“ 莱（lái）菔 ”,
5539,螬,cáo,,,,见“ 蛴（qí）螬 ” 用法说明 统读 cáo，不读 zāo,
5541,樨,xī,,,,见“ 木樨（xi） ” 用法说明 统读 xī，不读 xū,
5556,橼,yuán,,,,见“ 枸（jǔ）橼 ”,
5595,碡,zhou,,,,见“ 碌（liù）碡 ”,
5619,肭,nà,,,,见“ 腽（wà）肭 ”,
5654,蠊,lián,,,,见“ 蜚（fěi）蠊 ”,
5657,鹕,hú,,,,见“ 鹈（tí）鹕 ”,
5675,漶,huàn,,,,见“ 漫漶 ”,
5676,鹆,yù,,,,见“ 鸲（qú）鹆 ”,
5683,蚨,fú,,,,见“ 青蚨 ”,
5694,嫒,ài,,,名,见“ 令嫒 ” ○ 姓,
5699,怩,ní,,,,见“ 忸（niǔ）怩 ”,
5726,仃,dīng,,,,见“ 伶（líng）仃 ”,
5777,瓿,bù,,,,见“ 安瓿 ”,
5786,蜍,chú,,,,见“ 蟾（chán）蜍 ”,
5799,躅,zhú,,,,见“ 踯（zhí）躅 ”,
5800,胝,zhī,,,,见“ 胼（pián）胝 ”,
5804,穸,xī,,,,见“ 窀（zhūn）穸 ”,
5826,艽,jiāo,,,,见“ 秦艽 ”,
5838,袢,pàn,,,,见“ 袷（qiā）袢 ” ○ 襻 现在一般写作“襻”,
5890,氇,lǔ,,,,见“ 氆氇（pǔlu） ”,
5899,徨,huáng,,,,见“ 彷（páng）徨 ”,
5901,荬,mǎi,,,,见“ 苣（qǔ）荬菜 ”,
5905,蕖,qú,,,,见“ 芙蕖 ”,
5933,偬,zǒng,,,,见“ 倥（kǒng）偬 ”,
5946,瀣,xiè,,,,见“ 沆（hàng）瀣 ”,
6012,懑,mèn,,,,见“ 愤懑 ” 用法说明 不读 mǎn,
6054,唣,zào,,,,见“ 啰（luó）唣 ”,
6065,莶,xiān,,,,见“ 豨（xī）莶 ”,
6071,匐,fú,,,,见“ 匍（pú）匐 ”,
6076,鸹,guā,,,,见“ 老鸹 ”,
6086,毹,shū,,,,见“ 氍（qú）毹 ”,
6088,绻,quǎn,,,,见“ 缱（qiǎn）绻 ” 用法说明 不读 juǎn,
6095,狁,yǔn,,,,见“ 猃（xiǎn）狁 ”,
6104,菪,dàng,,,,见“ 莨（làng）菪 ”,
6108,鸶,sī,,,,见“ 鹭（lù）鸶 ”,
6133,眬,lóng,,,,见“ 蒙眬 ”,
6154,靼,dá,,,,见“ 鞑（dá）靼 ” 用法说明 不读 dàn,
6172,俜,pīng,,,,见“ 伶（líng）俜 ”,
6180,蠖,huò,,,名,见“ 尺蠖 ” ○ 姓 用法说明 统读 huò，不读 hù,
6223,脬,pāo,,,同,见“ 尿（suī）脬 ” “泡2（pāo）” 现在一般写作“泡” 用法说明 统读 pāo，不读 fú,
6229,舨,bǎn,,,,见“ 舢（shān）舨 ”,
6257,猡,luó,,,,见“ 猪猡 ”,
6265,篥,lì,,,,见“ 筚（bì）篥 ”,
6267,蛉,líng,,,,见“白蛉” 用法说明 统读 líng，不读 lìng,
6297,僳,sù,,,名,见“ 傈（lì）僳族 ” ○ 姓,
6312,瑢,róng,,,,见“瑽（cōng）瑢”,
6410,鞨,hé,,,,见“ 靺（mò）鞨 ”,
6430,蜴,yì,,,,见“ 蜥（xī）蜴 ”,
6436,膪,chuài,,,,见“ 囊（nāng）膪 ”,
6468,疭,zòng,,,,见“ 瘛（chì）疭 ”,
6492,蔹,liǎn,,,,见“ 白蔹 ”,
6495,鲡,lí,,,,见“ 鳗（mán）鲡 ”,
6500,槔,gāo,,,,见“ 桔（jié）槔 ” 用法说明 右下是“夲（tāo）”，不是“本”,
6504,屃,xì,,,,见“ 赑（bì）屃 ”,
6507,湲,yuán,,,,见“ 潺（chán）湲 ”,
6512,垯,da,,,,见“ 圪（gē）垯 ”,
6537,蓠,lí,,,,见“ 江蓠 ”,
6542,蠃,luǒ,,,,见“ 蜾（guǒ）蠃 ”,
6546,觫,sù,,,,见“ 觳（hú）觫 ”,
6551,澼,pì,,,,见“ 洴（píng）澼 ”,
6577,牁,kē,,,,见“ 牂（zāng）牁 ”,
6612,珧,yáo,,,名,见“ 江珧 ” ○ 蚌、蛤的甲壳，古代用作刀、弓等器物上的装饰,
6624,榖,gǔ,,,,见“构2” 用法说明 跟“榖”不同,
6630,狲,sūn,,,,见“ 猢（hú）狲 ”,
6634,蜞,qí,,,,见“ 蟛（péng）蜞 ”,
6652,玕,gān,,,,见“ 琅（láng）玕 ”,
6707,颃,háng,,,,见“ 颉（xié）颃 ”,
6726,鸰,líng,,,,见“ 鹡（jí）鸰 ”,
6794,昽,lóng,,,,见“ 曚（méng）昽 ”,
6795,滪,yù,,,,见“ 滟（yàn）滪堆 ”,
