rank,hanzi,pinyin,ref_pinyin,ref_hanzi,pos,definition,example
6443,蝤,qiú,qiúqí,蝤蛴,,天牛的幼虫，黄白色，胸足退化，体呈圆筒形。蛀食树木枝干，是桑树和果树的主要害虫。俗称锯树郎,
6473,湉,tián,tiántián,湉湉,,形容水流平静的样子,
6550,骙,kuí,kuíkuí,骙骙,,形容马威武雄壮,
6585,趑,zī,zījū,趑趄,,形容犹豫不前的样子,趑趄 却步
6600,伾,pī,pīpī,伾伾,,形容很有力气的样子,
6694,姽,guǐ,guǐhuà,姽婳,,形容女子娴静美好,
6705,忉,dāo,dāodāo,忉忉,,形容忧愁,
6718,矻,kū,kūkū,矻矻,,辛勤不懈,孜孜 矻矻
6718,矻,kū,kūkū,矻矻,,辛勤不懈,终年 矻矻
6724,慥,zào,zàozào,慥慥,,忠厚；诚恳,
6756,湝,jiē,jiējiē,湝湝,,形容水流动的样子,水流 湝湝
6796,镚,bèng,bèngzi,镚子,,旧指圆形无孔的小铜币，10个合1个铜元；现指小型硬币,
6796,镚,bèng,bèngzi,钢镚儿,,见 “钢镚 儿 ”,
