rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
60001,敬称,jìngchēng,,,动,尊敬地称呼,古人 敬称 梅、兰、竹、菊为“四君子” 。
60001,敬称,jìngchēng,,,名,尊敬的称呼,“孔子”是对孔丘的 敬称 。
60002,出摊儿,chūtānr,,,动,摆出摊 儿 卖货 天刚亮就 出摊儿,
60003,宠辱不惊,chǒngrǔ-bùjīng,,,,无论得宠还是受辱都不动心。形容把得失置之度外,
60005,闲空,xiánkòng,,,名,空闲时间,每天忙得一点 儿 闲空 都没有
60005,闲空,xiánkòng,,,名,空闲时间,有了 闲空 ，咱们去看场电影 。
60007,寒来暑往,hánlái-shǔwǎng,,,,热天已去，冷天到来。指四季更替，岁月流逝,
60010,采蜜,cǎimì,,,动,蜜蜂采集花蜜,
60010,采蜜,cǎimì,,,动,从蜜蜂蜂巢里采集蜂蜜,
60012,不虞,bùyú,,,动,没有料想到,不虞 之誉
60012,不虞,bùyú,,,动,没有料想到,不虞 中途遇雨，耽误归期 。
60012,不虞,bùyú,,,名,没有料想到的事情,有备无患，以防 不虞 。
60013,完全小学,wánquán xiǎoxué,,,,指设置有一至六各个年级的小学。简称完小,
60015,有色眼镜,yǒusè yǎnjìng,,,,比喻看问题时的成见或偏见,戴着 有色眼镜 看人，不可能看得正确 。
60019,洞天福地,dòngtiān-fúdì,,,,道教指神仙居住的地方；泛指非常清幽的名山胜地,
60020,王水,wángshuǐ,,,名,一份浓硝酸和三份浓盐酸的混合液。腐蚀性极强，可以溶解黄金等金属。冶金工业中用作溶剂,
60021,风压,fēngyā,,,名,风垂直作用于物体表面的压强。是建筑工程上需要掌握的数据,
60023,习尚,xíshàng,,,名,社会上流行的习惯和风尚,了解当地 习尚
60025,好赖,hǎolài,,,名,好歹①,
60025,好赖,hǎolài,,,副,好歹③,
60025,好赖,hǎolài,,,副,好歹④,
60026,佯作,yángzuò,,,动,假装；装作,佯作 不知
60030,招租,zhāozū,,,动,招人租用（房屋、设备等）,
60032,肺痨,fèiláo,,,名,中医指肺部虚损的慢性疾病（包括肺结核）,
60034,木梳,mùshū,,,名,木制梳子,
60035,靡靡,mǐmǐ,,,形,迟缓；柔弱,步履 靡靡
60035,靡靡,mǐmǐ,,,形,迟缓；柔弱,细雨 靡靡
60035,靡靡,mǐmǐ,,,形,萎靡颓废；特指乐声萎靡颓废,靡靡 情调
60035,靡靡,mǐmǐ,,,形,萎靡颓废；特指乐声萎靡颓废,靡靡 之音
60037,单帮,dānbāng,,,名,指利用地区间差价，从事异地贩运以谋利的个体商贩。旧时因其未加入商业行帮，故称,跑 单帮
60041,化学能,huàxuénéng,,,名,物质进行化学反应时放出的能量。如煤燃烧时放出的光和热,
60042,减缩,jiǎnsuō,,,动,减少、压缩,减缩 编制
60043,冒失鬼,màoshiguǐ,,,名,言行轻率、莽撞的人,
60044,三角裤,sānjiǎokù,,,名,三角形的短内裤,
60045,护膝,hùxī,,,名,套在膝关节处，起保护作用的用品,
60046,打牙祭,dǎyájì,,,,原指每逢月初、月中吃一次肉食（牙祭：旧时店主、雇主向所雇用的人定期提供肉食）；现泛指偶尔吃一顿丰盛的饭菜,
60047,考区,kǎoqū,,,名,统一考试中，为便于管理而划分的区域,北京 考区
60050,怒族,nùzú,,,名,我国少数民族之一。主要分布在云南,
60052,边角料,biānjiǎoliào,,,名,加工、制造物品剩下的零碎材料,利用做皮夹克的 边角料 做皮手套 。
60053,西南非,xīnánfēi,,,名,指非洲西南部地区。包括喀麦隆、加蓬、刚果等国家和地区,
60054,双声,shuāngshēng,,,名,汉语语音学上指两个或几个字声母相同的现象。如气球（qìqiú）、崎岖（qíqū）、参差（cēncī）,
60055,奶娘,nǎiniáng,,,名,奶妈,
60058,微血管,wēixuèguǎn,,,名,毛细血管,
60061,逆光,nìguāng,,,动,通常指摄影时的一种用光方法，即摄影时让光线从被摄物体的背后向摄影镜头射来。这种方法可以较清晰地勾勒物体轮廓或更突出地表现透明体,
60064,航天服,hánɡtiānfú,,,名,宇航员穿的特制服装，由密闭服和密闭头盔等组成，可保持与地面相同的气压和氧气供应，保障宇航员的生命安全和工作能力,
60065,抗上,kàngshàng,,,动,对抗上级,斗胆 抗上
60066,靛蓝,diànlán,,,名,一种深蓝色染料。用蓼蓝叶加工制成，现在也可用化学方法合成。通称蓝靛,
60067,光洁度,guāngjiédù,,,名,机器零件、工件表面光洁的程度,
60068,童便,tóngbiàn,,,名,中医指12岁以下健康男孩 儿 的尿，可以做药材,
60070,石羊,shíyáng,,,名,岩羊,
60071,线路图,xiànlùtú,,,名,用线条表示电子线路的平面示意图,
60072,闹饥荒,nàojīhuang,,,,比喻经济上发生困难,这阵子 闹饥荒 ，你能不能借点 儿 钱给我?
60072,闹饥荒,nàojīhuāng,,,,指遭到严重灾荒，粮食歉收,
60073,绣花针,xiùhuāzhēn,,,名,绣花用的细针,
60074,救生员,jiùshēngyuán,,,名,从事救生工作的人员；特指在游泳场所抢救溺水者的专职人员,
60075,白眼珠,báiyǎnzhū,,,名,巩膜,
60076,焦心,jiāoxīn,,,形,心里着急,流血不止，令人 焦心 。
60078,水痘,shuǐdòu,,,名,病毒引起的急性传染病，患者多为儿童。症状为发烧，全身皮肤出现小红丘疹，二三日转为水疱，结痂而愈。病愈后终身免疫,
60079,妖孽,yāoniè,,,名,指妖魔鬼怪及一切怪异反常的事物,
60079,妖孽,yāoniè,,,名,比喻危害他人或社会的人,铲除害国害民的 妖孽 。
60080,耳朵眼儿,ěrduoyǎnr,,,名,外耳和内耳的通道,
60080,耳朵眼儿,ěrduoyǎnr,,,名,在耳垂上扎的小孔，可以佩戴耳饰,
60082,焊缝,hànfèng,,,动,把金属工件的缝隙焊接起来,
60082,焊缝,hànfèng,,,名,金属部件焊接的部位或焊接留下的痕迹,
60084,狮子舞,shīziwǔ,,,名,我国一种民间舞蹈，通常由两人同披一张假狮皮，一人舞狮头，一人舞狮尾。另一人扮武士，手持绣球逗引狮子,
60085,试读,shìdú,,,动,学生在取得正式学籍之前，先随班学习一段时间，供考查是否适应,
60086,初雪,chūxuě,,,名,入冬后第一次下的雪,
60088,雅静,yǎjìng,,,形,幽雅宁静,树木葱郁的小山庄，非常 雅静 。
60088,雅静,yǎjìng,,,形,文雅沉静,端庄 雅静
60091,放话,fànghuà,,,动,有意发出话来（向人透露自己或集体内部的某些意向，以达到某种目的）,赛前他们队就 放话 要夺取冠军 。
60093,阴离子,yīnlízǐ,,,名,负离子,
60097,消毒柜,xiāodúguì,,,名,利用电子设备产生高温杀灭细菌的柜形消毒器具,
60100,皮笑肉不笑,pí xiào ròu bù xiào,,,,形容勉强地或虚伪奸猾地笑,
60102,弄假成真,nòngjiǎ-chéngzhēn,,,,原本是作假，结果却变成了真的,他俩原在戏台上演夫妻，后来 弄假成真 ，成了真夫妻 。
60103,连阴雨,liányīnyǔ,,,名,连续多日不停的雨,
60104,凝缩,níngsuō,,,动,凝聚浓缩,这座古城 凝缩 着两千多年的历史 。
60110,吊死鬼,diàosǐguǐ,,,名,迷信指上吊而死的人的鬼魂；也指上吊而死的人,
60114,感情投资,gǎnqíng tóuzī,,,,为了达到一定目的而投入金钱、时间、精力等与对方建立感情,
60114,感情投资,gǎnqíng tóuzī,,,,为了达到一定目的，与对方建立感情所投入的金钱、时间、精力等,
60115,父本,fùběn,,,名,参与杂交的动植物雄性个体,
60120,嗜欲,shìyù,,,名,指贪图身体官能方面种种享受的不良欲望,节制 嗜欲
60121,二板市场,èrbǎn shìchǎng,,,,创业板市场。因在主板市场之外，故称（跟“主板市场”相区别）,
60125,旬刊,xúnkān,,,名,每10天出版1期的刊物,
60126,飞虹,fēihóng,,,名,虹,
60127,海狗,hǎigǒu,,,名,哺乳动物，毛紫褐色或深灰色，四肢短，像鳍，有蹼，尾短，生活在海洋中，能在陆上爬行,
60128,聚齐,jùqí,,,动,全体都到约定地方会合,全班同学明晨8点在北海后门 聚齐 。
60129,清盘,qīngpán,,,动,企业因破产、停业或其他原因不再继续经营时，依法清点和处理全部资产,破产 清盘
60129,清盘,qīngpán,,,动,指清理电子计算机上的磁盘或清除其磁盘上的所有信息,
60134,小平头,xiǎopíngtóu,,,名,一种男式发型。顶部头发长一厘米左右，发顶稍平,
60138,肯綮,kěnqìng,,,名,筋骨结合处；比喻问题的关键、要害,切中 肯綮
60140,视域,shìyù,,,名,视野,视域 开阔
60142,一字一板,yīzì-yībǎn,,,,形容说话从容不迫，口齿清楚,
60147,衙内,yánèi,,,名,唐代指担任禁卫的官员，后多由官僚子弟充任，故泛指官僚子弟（多含贬义）,
60150,荐举,jiànjǔ,,,动,推荐,荐举 他当校长
60151,竞答,jìngdá,,,动,竞相回答（问题）,四位嘉宾 竞答 节目主持人提出的问题 。
