rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
30274,入阁,rùgé,,,,见“ 内阁制 ”,
30327,法西斯主义,fǎxīsī zhǔyì,,,,见“ 法西斯 ”,
30457,唯物辩证法,wéiwù biànzhèngfǎ,,,,见“ 辩证唯物主义 ”,
30669,县志,xiànzhì,,,,见“ 地方志 ”,
31249,大打出手,dàdǎchūshǒu,,,,见“ 打出手 ”,
31459,五保户,wǔbǎohù,,,,见“ 五保 ”,
31520,调转,diàozhuǎn,,,,见“ 掉转 ” 现在一般写作“掉转”,
31890,将官,jiàngguān,,,,见“ 军衔 ”,
31914,桃花源,táohuāyuán,,,,见“ 世外桃源 ” 用法说明 “源”不要误写作“园”,
32208,强台风,qiángtáifēng,,,,见“ 热带气旋 ”,
32296,全食,quánshí,,,,见“日食”,
32522,长性,chángxìng,,,,见“ 常性 ” 现在一般写作“常性”,
32645,少尉,shàowèi,,,,见“ 军衔 ”,
33274,页面,yèmiàn,,,,见“ 网页 ”,
33397,南昌起义,nánchāng qǐyì,,,,见“ 八一建军节 ”,
33899,眩目,xuànmù,,,,见“ 炫目 ” 现在一般写作“炫目”,
34073,造形,zàoxíng,,,,见“ 造型 ” 现在一般写作“造型”,
34114,橄榄枝,gǎnlǎnzhī,,,,见“ 和平鸽 ”,
34320,调头,diàotóu,,,,见“ 掉头 ” 现在一般写作“掉头”,
34383,黑黝黝,hēiyǒuyǒu,,,,见“ 黑油油 ” 现在一般写作“黑油油”,
34476,基本单位,jīběn dānwèi,,,,见“ 国际单位制 ”,
34661,下颌,xiàhé,,,,见“ 颌 ”,
