rank,hanzi
6019,鞅
6020,笸
6021,撄
6022,仵
6023,俵
6024,袼
6025,鬈
6026,珰
6027,檫
6028,骒
6029,畛
6030,佥
6031,猱
6032,猞
6033,洺
6034,嗥
6035,潵
6036,哙
6037,豸
6038,眵
6039,洇
6040,牾
6041,昴
6042,嬖
6043,笾
6044,铈
6045,娈
6046,皤
6047,礅
6048,穰
6049,鲹
6050,箨
6051,诎
6052,圬
6053,髭
6054,唣
6055,洨
6056,癯
6057,谂
6058,暾
6059,渫
6060,鳊
6061,颙
6062,劭
6063,氍
6064,朊
6065,莶
6066,彀
6067,髫
6068,罴
6069,锊
6070,彖
6071,匐
6072,俅
6073,跽
6074,沚
6075,诹
6076,鸹
6077,秾
6078,踬
6079,晳
6080,垱
6081,耪
6082,炅
6083,劬
6084,谠
6085,槊
6086,毹
6087,鹟
6088,绻
6089,泺
6090,悛
6091,艋
6092,鳢
6093,疰
6094,郤
6095,狁
6096,蜩
6097,趱
6098,醭
6099,琤
6100,魃
6101,隳
6102,醯
6103,濉
6104,菪
6105,帻
6106,焜
6107,翯
6108,鸶
6109,搋
6110,鼋
6111,郏
6112,憷
6113,溦
6114,戋
6115,戬
6116,湔
6117,鲼
6118,芾
6119,镅
6120,龠
6121,蟪
6122,曩
6123,刿
6124,虺
6125,苴
6126,惝
6127,阌
6128,埕
6129,嚄
6130,镘
6131,癀
6132,悒
6133,眬
6134,蹒
6135,瘿
6136,楯
6137,蝓
6138,杌
6139,沨
6140,鼷
6141,芨
6142,蚶
6143,鲥
6144,躔
6145,鼙
6146,淠
6147,奁
6148,荜
6149,锿
6150,崦
6151,烀
6152,逋
6153,芰
6154,靼
6155,疬
6156,饨
6157,椑
6158,蠲
6159,舴
6160,铑
6161,峣
6162,镦
6163,瑭
6164,荇
6165,箪
6166,厣
6167,胬
6168,锾
6169,蹀
6170,溱
6171,澌
6172,俜
6173,怍
6174,郐
6175,舣
6176,眚
6177,蜱
6178,宬
6179,绲
6180,蠖
6181,獍
6182,筲
6183,榍
6184,觏
6185,钍
6186,缏
6187,蛩
6188,仂
6189,屙
6190,罟
6191,眇
6192,菼
6193,虮
6194,铷
6195,讵
6196,镬
6197,曈
6198,诜
6199,愦
6200,觋
6201,诼
6202,谇
6203,碚
6204,骠
6205,剀
6206,伥
6207,镡
6208,艟
6209,耱
6210,铊
6211,缳
6212,鲎
6213,镆
6214,荙
6215,锕
6216,庋
6217,墼
6218,龀
6219,濞
6220,嫪
6221,莛
6222,剡
6223,脬
6224,埼
6225,铫
6226,筌
6227,铒
6228,涑
6229,舨
6230,汜
6231,剞
6232,匏
6233,烜
6234,埽
6235,耩
6236,嫘
6237,栊
6238,偲
6239,阍
6240,鹨
6241,漯
6242,衽
6243,珙
6244,邴
6245,虼
6246,媪
6247,鋈
6248,蠼
6249,鹡
6250,旆
6251,蚋
6252,锫
6253,揾
6254,镢
6255,锘
6256,鲚
6257,猡
6258,琎
6259,堠
6260,鼩
6261,伛
6262,袪
6263,耨
6264,椟
6265,篥
6266,鹮
6267,蛉
6268,褊
6269,洳
6270,陴
6271,铞
6272,铕
6273,唪
6274,狨
6275,苤
6276,嗌
6277,茛
6278,茳
6279,靺
6280,龆
6281,磲
6282,怛
6283,蹓
6284,菥
6285,鐾
6286,塍
6287,踔
6288,墀
6289,漭
6290,葜
6291,阊
6292,鳎
6293,蓥
6294,洚
6295,蓣
6296,萩
6297,僳
6298,螈
6299,圉
6300,沔
6301,鹛
6302,镨
6303,蕺
6304,骜
6305,邗
6306,塆
6307,雩
6308,鲔
6309,瘃
6310,泐
6311,歃
6312,瑢
6313,黼
6314,搛
6315,鏊
6316,酽
6317,劁
6318,烺
6319,禊
6320,缒
6321,枧
6322,曛
6323,茀
6324,缗
6325,鹎
6326,嗉
6327,裉
6328,髡
6329,刖
6330,徂
6331,堞
6332,篚
6333,抔
6334,玦
6335,锎
6336,飕
6337,霪
6338,栳
6339,筘
6340,埝
6341,刳
6342,饸
6343,鳐
6344,菝
6345,倻
6346,璈
6347,翚
6348,赉
6349,坼
6350,菹
6351,杪
6352,坻
6353,艿
6354,腒
6355,钔
6356,樗
6357,硗
6358,钲
6359,鹬
6360,骖
6361,鞒
6362,盱
6363,戡
6364,滏
6365,枇
6366,闶
6367,瞽
6368,辚
6369,滃
6370,昉
6371,坜
6372,粜
6373,殛
6374,秕
6375,耖
6376,芟
6377,笄
6378,戆
6379,肷
6380,颡
6381,摭
6382,刭
6383,侉
6384,罘
6385,仳
6386,橥
6387,耜
6388,氘
6389,埒
6390,筅
6391,抃
6392,眊
6393,郄
6394,沩
6395,艨
6396,玢
6397,珣
6398,慝
6399,坭
6400,虿
6401,揸
6402,迮
6403,耥
6404,涘
6405,黥
6406,鲆
6407,莩
6408,浯
6409,痃
6410,鞨
6411,涫
6412,宄
6413,浉
6414,纛
6415,铼
6416,鳡
6417,洫
6418,僬
6419,鞴
6420,瘆
6421,畎
6422,氚
6423,咴
6424,洧
6425,浥
6426,豳
6427,鹣
6428,隈
6429,綮
6430,蜴
6431,蜣
6432,砉
6433,芑
6434,鼹
6435,阼
6436,膪
6437,筇
6438,觌
6439,浐
6440,劐
6441,帑
6442,楗
6443,蝤
6444,鳤
6445,钆
6446,絷
6447,铽
6448,銎
6449,貘
6450,蛸
6451,庀
6452,蒎
6453,燠
6454,瘗
6455,茑
6456,蘧
6457,瘌
6458,鲧
6459,贶
6460,趵
6461,蚺
6462,篪
6463,胲
6464,郛
6465,蠓
6466,黟
6467,瘼
6468,疭
6469,牂
6470,镲
6471,慊
6472,阇
6473,湉
6474,砑
6475,怫
6476,剟
6477,毪
6478,朐
6479,茈
6480,桊
6481,郇
6482,媵
6483,峧
6484,榀
6485,铴
6486,掊
6487,陔
6488,茚
6489,缣
6490,溷
6491,癍
6492,蔹
6493,痄
6494,捩
6495,鲡
6496,罨
6497,殂
6498,腽
6499,鼯
6500,槔
6501,麇
6502,湜
6503,噀
6504,屃
6505,悫
6506,骎
6507,湲
6508,闿
6509,蒉
6510,孥
6511,稆
6512,垯
6513,馘
6514,亶
6515,硚
6516,镪
6517,栲
6518,堍
6519,铹
6520,堙
6521,甓
6522,耧
6523,靸
6524,柝
6525,碹
6526,陬
6527,拶
6528,噍
6529,鸮
6530,佴
6531,镵
6532,猄
6533,鄘
6534,罾
6535,蘩
6536,钋
6537,蓠
6538,屣
6539,趼
6540,嫫
6541,擐
6542,蠃
6543,淏
6544,骀
6545,扃
6546,觫
6547,墦
6548,缌
6549,纴
6550,骙
6551,澼
6552,浍
6553,鸻
6554,瞀
6555,祾
6556,瘐
6557,劓
6558,茝
6559,黉
6560,烝
6561,忭
6562,尜
6563,蝻
6564,扺
6565,塥
6566,浞
6567,枘
6568,轵
6569,掎
6570,迕
6571,髹
6572,耰
6573,钫
6574,钘
6575,酎
6576,殣
6577,牁
6578,枵
6579,裥
6580,诐
6581,镎
6582,狯
6583,殪
6584,镋
6585,趑
6586,圯
6587,蕻
6588,盉
6589,踣
6590,夼
6591,脎
6592,耔
6593,瞢
6594,菂
6595,铚
6596,胂
6597,眙
6598,鳆
6599,桄
6600,伾
6601,柁
6602,梃
6603,鲐
6604,赙
6605,轺
6606,哿
6607,蝽
6608,挢
6609,蘘
6610,汔
6611,嫜
6612,珧
6613,浈
6614,麈
6615,纩
6616,埴
6617,甏
6618,垧
6619,疢
6620,赇
6621,酤
6622,铥
6623,裒
6624,榖
6625,佾
6626,摅
6627,涠
6628,驺
6629,婞
6630,狲
6631,缵
6632,郿
6633,鲉
6634,蜞
6635,禤
6636,腙
6637,锜
6638,庤
6639,飐
6640,堌
6641,陧
6642,祆
6643,渑
6644,廨
6645,齉
6646,祓
6647,茌
6648,溇
6649,悝
6650,轷
6651,鸲
6652,玕
6653,梾
6654,郾
6655,藠
6656,鬏
6657,锪
6658,苘
6659,襕
6660,酲
6661,饹
6662,愔
6663,捭
6664,贳
6665,祧
6666,瘵
6667,瘅
6668,攉
6669,蜎
6670,蹅
6671,埯
6672,玠
6673,簠
6674,怃
6675,爝
6676,沘
6677,潟
6678,袆
6679,泚
6680,蠋
6681,嚆
6682,糇
6683,馉
6684,暅
6685,悃
6686,瘭
6687,眢
6688,杻
6689,辀
6690,脞
6691,棁
6692,镠
6693,繄
6694,姽
6695,敉
6696,飑
6697,疍
6698,珽
6699,砹
6700,栒
6701,桫
6702,搌
6703,戥
6704,埏
6705,忉
6706,洣
6707,颃
6708,垲
6709,鳁
6710,蓇
6711,漤
6712,锽
6713,柃
6714,厾
6715,簏
6716,忮
6717,铗
6718,矻
6719,鞡
6720,澴
6721,塄
6722,镃
6723,檑
6724,慥
6725,猸
6726,鸰
6727,廙
6728,骟
6729,槚
6730,轪
6731,馇
6732,捯
6733,靰
6734,骣
6735,甪
6736,梽
6737,澉
6738,棻
6739,冁
6740,鲀
6741,臜
6742,揞
6743,酦
6744,胩
6745,筜
6746,廒
6747,砮
6748,涢
6749,箦
6750,蹯
6751,洑
6752,蕰
6753,筼
6754,帡
6755,锧
6756,湝
6757,赪
6758,泖
6759,祃
6760,钷
6761,熥
6762,鲴
6763,亸
6764,悢
6765,鲯
6766,堉
6767,唝
6768,祲
6769,铻
6770,瀍
6771,拤
6772,眍
6773,镴
6774,揳
6775,鲊
6776,脶
6777,蹐
6778,塈
6779,汈
6780,鳘
6781,鳑
6782,獴
6783,骍
6784,剅
6785,螠
6786,搒
6787,僇
6788,朘
6789,馌
6790,龁
6791,簃
6792,嶓
6793,郚
6794,昽
6795,滪
6796,镚
6797,浕
6798,墈
6799,蹽
6800,毐
