rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
50143,围子,wéizi,,,,见“ 圩子 ” 现在一般写作“圩子”,
50143,围子,wéizi,,,,见“ 帷子 ” 现在一般写作“帷子”,
50233,效颦,xiàopín,,,,见“ 东施效颦 ”,
50363,北回归线,běihuíguīxiàn,,,,见“ 回归线 ”,
50396,哀嚎,āiháo,,,,见“ 哀号 ” 现在一般写作“哀号”,
50727,基因芯片,jīyīn xīnpiàn,,,,见“ 生物芯片 ”,
51052,护航舰,hùhángjiàn,,,,见“ 护卫舰 ”,
51434,系铃人,xìlíngrén,,,,见“ 解铃还须系铃人 ”,
51451,警司,jǐngsī,,,,见“ 警衔 ”,
51532,壁上观,bìshàngguān,,,,见“ 作壁上观 ”,
51690,归依,guīyī,,,,见“ 皈依 ” 现在一般写作“皈依”,
51691,婉辞,wǎncí,,,,见“ 婉词 ” 现在一般写作“婉词”,
51724,无机化合物,wújī huàhéwù,,,,见“ 无机物 ”,
51759,千卡,qiānkǎ,,,,见“ 卡路里 ”,
52526,煞车,shāchē,,,,见“ 刹车 ” 现在一般写作“刹车”,
52654,上等兵,shàngděngbīng,,,,见“ 军衔 ”,
52713,暗渡陈仓,àndù-chéncāng,,,,见“ 明修栈道，暗渡陈仓 ”,
52728,相变,xiàngbiàn,,,,见“相1”⑤,
52893,日全食,rìquánshí,,,,见“ 日食 ”,
53033,北极光,běijíguāng,,,,见“ 极光 ”,
53282,茸毛,róngmáo,,,,见“ 绒毛 ” 现在一般写作“绒毛”,
53328,桑椹,sāngshèn,,,,见“ 桑葚 ” 现在一般写作“桑葚”,
53518,穴头,xuétóu,,,,见“ 走穴 ”,
53553,丹桂,dānguì,,,,见“ 桂花 ”,
53700,反照,fǎnzhào,,,,见“ 返照 ” 现在一般写作“返照”,
53937,硅片,guīpiàn,,,,见“ 单晶硅 ”,
54086,列兵,lièbīng,,,,见“ 军衔 ”,
54533,人造丝,rénzàosī,,,,见“ 人造纤维 ”,
54586,干白,gānbái,,,,见“ 干酒 ”,
54747,高着,gāozhāo,,,,见“ 高招 ” 现在一般写作“高招”,
54814,低纬度,dīwěidù,,,,见“ 纬度 ”,
54820,尉官,wèiguān,,,,见“ 军衔 ”,
